"utc_time","stationId","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10"
2017-01-10 00:00:00,"CD9",7.3,14.1,70.7,"14","1","3","2017","4",9.1,22.2,3.8125,1006.325,92.38,18.2475,"NW",23.1,25
2017-01-10 01:00:00,"CD9",5.7,11.5,51.5,"15","1","3","2017","4",8.2,17.5,4.03,1005.9575,91.61,19.29,"W",15.9,18.7
2017-01-10 02:00:00,"CD9",3.6,10.3,43.5,"16","1","3","2017","4",6.9,20.7,4.255,1005.5875,90.8375,20.3625,"W",15.1,16.8
2017-01-10 03:00:00,"CD9",5.3,11.2,46.3,"17","1","3","2017","4",7.4,16.7,4.4775,1005.2175,90.07,21.465,"W",13.7,15.3
2017-01-10 04:00:00,"CD9",3.5,9.5,46.6,"18","1","3","2017","4",14.2,20.4,4.19,1005.135,90.2425,21.0375,"W",16.9,18.2
2017-01-10 05:00:00,"CD9",7.2,13.8,70.1,"19","1","3","2017","4",16.8,20.1,3.905,1005.0525,90.42,20.6125,"W",22.7,28.9
2017-01-10 06:00:00,"CD9",11.7,21.4,111.8,"20","1","3","2017","4",10.8,16.1,3.6175,1004.965,90.595,20.1875,"W",17.6,20.5
2017-01-10 07:00:00,"CD9",11.4,21.6,109.1,"21","1","3","2017","4",9.5,16.7,3.8825,1005.1775,90.32,20.71,"W",17.4,21
2017-01-10 08:00:00,"CD9",16.5,27.7,114.9,"22","1","3","2017","4",14.2,23.7,4.1425,1005.385,90.0425,21.2575,"W",24.3,27.2
2017-01-10 09:00:00,"CD9",14.4,26.4,119.7,"23","1","3","2017","4",9.7,12.7,4.4075,1005.595,89.77,21.8275,"W",17.5,19.5
2017-01-10 10:00:00,"CD9",9.6,20,101.3,"0","1","4","2017","4",2.9,6.7,5.1475,1005.95,88.01,20.87,"W",22.3,26.6
2017-01-10 11:00:00,"CD9",10.8,19.2,95.3,"1","1","4","2017","4",5,8.2,5.885,1006.3075,86.2525,20.02,"W",26.4,31.5
2017-01-10 12:00:00,"CD9",4.6,14.7,92,"2","1","4","2017","4",7.2,10.4,6.6225,1006.6675,84.4925,19.3,"W",23.9,25.5
2017-01-10 13:00:00,"CD9",9.6,20.6,79.3,"3","1","4","2017","4",7.2,9.7,6.7625,1006.7325,85.28,17.2225,"W",15,18.2
2017-01-10 14:00:00,"CD9",0,13.6,89,"4","1","4","2017","4",2.8,5.4,6.8975,1006.8,86.07,15.2975,"W",15.6,19.1
2017-01-10 15:00:00,"CD9",8,24.3,94,"5","1","4","2017","4",0.1,3.8,7.0375,1006.8675,86.8575,13.58,"W",15.7,19.4
2017-01-10 16:00:00,"CD9",17.4,33.7,102.4,"6","1","4","2017","4",8.2,10.6,6.3875,1007.15,89.565,12.8625,"W",21,26.8
2017-01-10 17:00:00,"CD9",12,30.4,105.9,"7","1","4","2017","4",5.8,8.7,5.735,1007.4325,92.28,12.5025,"W",18.2,22.4
2017-01-10 18:00:00,"CD9",14,30.4,122.9,"8","1","4","2017","4",8.1,10.5,5.0875,1007.715,94.9875,12.5275,"W",19.6,25.9
2017-01-10 19:00:00,"CD9",21.6,35.8,123.8,"9","1","4","2017","4",6.5,9.3,5.3775,1007.5825,95.2775,13.1125,"W",21.3,26.9
2017-01-10 20:00:00,"CD9",24,31.9,105.9,"10","1","4","2017","4",7.8,11.1,5.6675,1007.445,95.5675,13.74,"W",23.8,28.2
