"utc_time","stationId","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10"
2017-01-10 00:00:00,"HV1",7.2,12.5,34.2,"14","1","3","2017","4",8.8,19.5,3.68,1006.145,92.9525,17.275,"NW",29.1,31.9
2017-01-10 01:00:00,"HV1",4.2,9.4,29.4,"15","1","3","2017","4",10.9,17,3.825,1005.7425,92.4875,18.515,"W",33.7,35.9
2017-01-10 02:00:00,"HV1",6.1,11.7,35.1,"16","1","3","2017","4",9.4,15.2,3.9675,1005.3475,92.02,19.79,"W",19.9,21.6
2017-01-10 03:00:00,"HV1",13.7,18.5,30.3,"17","1","3","2017","4",5.7,9.9,4.1125,1004.95,91.555,21.095,"W",21.9,23.3
2017-01-10 04:00:00,"HV1",4.3,9.2,31.3,"18","1","3","2017","4",13.7,17.1,3.9575,1004.855,91.3325,21.06,"W",16.7,18.4
2017-01-10 05:00:00,"HV1",1.8,6.9,40.1,"19","1","3","2017","4",14.8,18.1,3.8,1004.7625,91.11,21.0325,"W",17.7,19.3
2017-01-10 06:00:00,"HV1",4.5,9.2,50.6,"20","1","3","2017","4",4.5,7.6,3.6425,1004.665,90.8925,21.005,"W",23.9,26.8
2017-01-10 07:00:00,"HV1",9.8,19.2,69.3,"21","1","3","2017","4",12.5,14.2,3.92,1004.86,90.46,21.845,"W",16.4,18.9
2017-01-10 08:00:00,"HV1",9.7,23.6,81.4,"22","1","3","2017","4",11.4,13.7,4.2,1005.055,90.0325,22.7175,"W",17.4,19.9
2017-01-10 09:00:00,"HV1",11.7,25.6,77.7,"23","1","3","2017","4",11,13.1,4.4775,1005.25,89.605,23.62,"W",22,26.6
2017-01-10 10:00:00,"HV1",7.1,21.4,77.6,"0","1","4","2017","4",13.6,15.4,5.2125,1005.6225,87.8825,22.6275,"W",31.1,37.6
2017-01-10 11:00:00,"HV1",12,29,68.5,"1","1","4","2017","4",4,6.8,5.9475,1006,86.1625,21.7475,"W",27.1,32.6
2017-01-10 12:00:00,"HV1",0,20.3,50.1,"2","1","4","2017","4",3,5.2,6.68,1006.3725,84.445,20.9975,"W",22.8,25.6
2017-01-10 13:00:00,"HV1",5.5,28.6,54.5,"3","1","4","2017","4",8.6,10.5,6.76,1006.47,85.3725,18.67,"W",19.4,22.5
2017-01-10 14:00:00,"HV1",6.9,32,59.2,"4","1","4","2017","4",7.7,9.6,6.8425,1006.5625,86.3025,16.475,"W",18.7,21.4
2017-01-10 15:00:00,"HV1",13.4,39.8,66.7,"5","1","4","2017","4",3,5.9,6.9175,1006.6575,87.2275,14.4875,"W",22.5,25.8
2017-01-10 16:00:00,"HV1",20.4,49,86.6,"6","1","4","2017","4",1.8,3.9,6.175,1006.9725,89.8725,13.615,"W",27.1,30.5
2017-01-10 17:00:00,"HV1",15.1,45.2,87.8,"7","1","4","2017","4",8.1,9.7,5.43,1007.29,92.51,13.1025,"W",21.4,24.3
2017-01-10 18:00:00,"HV1",7.5,30,75.6,"8","1","4","2017","4",3.8,6.2,4.685,1007.6025,95.1475,12.995,"W",23.8,23.6
2017-01-10 19:00:00,"HV1",7.5,24.9,81.1,"9","1","4","2017","4",5,6.4,5.0975,1007.48,95.15,13.5125,"W",5.7,7.6
2017-01-10 20:00:00,"HV1",12.8,24.6,66.8,"10","1","4","2017","4",1.4,3.2,5.515,1007.36,95.155,14.1,"W",3.2,4.9
2017-01-10 21:00:00,"HV1",9.3,14.5,60.2,"11","1","4","2017","4",7.3,12.2,5.925,1007.235,95.1575,14.7475,"W",8.7,10.6
2017-01-10 22:00:00,"HV1",13.8,17.8,52.6,"12","1","4","2017","4",12.1,19.3,5.6725,1007.0625,95.925,14.895,"W",8.4,9.9
2017-01-10 23:00:00,"HV1",16.2,18.5,37.7,"13","1","4","2017","4",5.2,13.9,5.4175,1006.89,96.69,15.095,"W",19.6,19.8
2017-01-11 00:00:00,"HV1",2.2,6,24.9,"14","1","4","2017","4",1.9,10.3,5.16,1006.7175,97.455,15.345,"W",26.4,25.8
2017-01-11 01:00:00,"HV1",12.7,15.8,23.4,"15","1","4","2017","4",9.8,18.5,5.4025,1005.95,97.2925,17.005,"W",21.3,20.8
2017-01-11 02:00:00,"HV1",13.1,16.4,20.6,"16","1","4","2017","4",2.8,12,5.65,1005.1825,97.1325,18.695,"W",18.7,18.7
2017-01-11 03:00:00,"HV1",5,10.7,20.4,"17","1","4","2017","4",5.3,13,5.8975,1004.4175,96.97,20.4,"W",15,15.7
2017-01-11 04:00:00,"HV1",10.4,17.3,19.4,"18","1","4","2017","4",7,13.9,6.8325,1004.1475,96.275,21.4725,"NW",18.1,18.4
2017-01-11 05:00:00,"HV1",13.6,20.8,28.8,"19","1","4","2017","4",6.4,12.5,7.765,1003.875,95.5825,23.065,"NW",16.5,17.6
2017-01-11 06:00:00,"HV1",8.8,13,38.6,"20","1","4","2017","4",8.3,14.8,8.6975,1003.61,94.8875,25.0925,"NW",15,16.8
2017-01-11 07:00:00,"HV1",7.6,13.2,56,"21","1","4","2017","4",7,12.6,8.8425,1003.7275,92.11,24.5725,"NW",7.2,10.9
2017-01-11 08:00:00,"HV1",5.8,14,71.3,"22","1","4","2017","4",7.4,12,8.9875,1003.85,89.33,24.345,"NW",5.2,10.5
2017-01-11 09:00:00,"HV1",6.4,16.6,65.4,"23","1","4","2017","4",8.3,12.8,9.135,1003.9725,86.5525,24.41,"NW",1.7,12.8
2017-01-11 10:00:00,"HV1",7.1,17.6,23.4,"0","1","5","2017","4",9.7,14.7,9.03,1004.77,83.015,26.0575,"NW",8.6,12.3
2017-01-11 11:00:00,"HV1",8.4,22,20.3,"1","1","5","2017","4",5,9.1,8.92,1005.5725,79.475,27.805,"NW",8.9,17.5
2017-01-11 12:00:00,"HV1",9.1,26.1,24.2,"2","1","5","2017","4",4.6,8.8,8.815,1006.3725,75.9375,29.63,"N",9.4,15.9
2017-01-11 13:00:00,"HV1",5.3,17.5,16.8,"3","1","5","2017","4",6.1,11,8.3825,1006.5775,75.885,26.7425,"N",14,19.7
2017-01-11 14:00:00,"HV1",0.4,13.8,23.3,"4","1","5","2017","4",6.3,10.3,7.95,1006.775,75.8275,23.8975,"N",10.8,15.5
2017-01-11 15:00:00,"HV1",6.3,17.1,28.4,"5","1","5","2017","4",10,13.8,7.5175,1006.98,75.775,21.1225,"N",4,9.6
2017-01-11 16:00:00,"HV1",3,20.3,42.3,"6","1","5","2017","4",10.9,15.7,7.08,1007.7575,75.9325,22.015,"N",1.4,5.8
2017-01-11 17:00:00,"HV1",11.4,27.1,42.2,"7","1","5","2017","4",14.6,19.9,6.6475,1008.54,76.0875,22.935,"NW",7.9,11
2017-01-11 18:00:00,"HV1",8.2,25.1,47.2,"8","1","5","2017","4",22.3,29,6.205,1009.32,76.245,23.88,"NW",5.2,6.8
2017-01-11 19:00:00,"HV1",8.2,22.9,59.8,"9","1","5","2017","4",20.8,28.3,6.0075,1009.355,76.36,23.985,"NW",8.4,12.7
2017-01-11 20:00:00,"HV1",10.6,23.7,52.1,"10","1","5","2017","4",18.5,23.8,5.8075,1009.3925,76.475,24.245,"NW",5,10.8
2017-01-11 21:00:00,"HV1",5.5,17,43.1,"11","1","5","2017","4",12.7,19.4,5.605,1009.4325,76.5875,24.655,"NW",3.4,9
2017-01-11 22:00:00,"HV1",7.8,18.4,42.9,"12","1","5","2017","4",9,17.8,5.2725,1009.57,77.0225,24.5575,"NW",1,7.3
2017-01-11 23:00:00,"HV1",4.4,14.1,31,"13","1","5","2017","4",8.9,23.5,4.9375,1009.715,77.46,24.46,"NW",2.2,8
2017-01-12 00:00:00,"HV1",1.7,11.5,23.8,"14","1","5","2017","4",13.4,24.9,4.605,1009.855,77.9,24.3675,"NW",7.2,12.5
2017-01-12 01:00:00,"HV1",6.2,14.8,20.1,"15","1","5","2017","4",11.9,20.2,4.5275,1009.6,78.41,23.9875,"NW",4.2,9.4
2017-01-12 02:00:00,"HV1",8.5,16.3,17.2,"16","1","5","2017","4",22.3,30.2,4.455,1009.335,78.925,23.6925,"NW",6.1,11.7
2017-01-12 03:00:00,"HV1",2.3,10.3,15.3,"17","1","5","2017","4",24.9,33.2,4.38,1009.08,79.4425,23.485,"NW",13.7,18.5
2017-01-12 04:00:00,"HV1",3.1,10.9,18.4,"18","1","5","2017","4",28.1,36.5,4.1175,1008.665,81.535,22.415,"NW",4.3,9.2
2017-01-12 05:00:00,"HV1",3,15,34.9,"19","1","5","2017","4",45.3,52.3,3.86,1008.2525,83.625,21.4375,"N",1.8,6.9
2017-01-12 06:00:00,"HV1",6.4,24.1,53,"20","1","5","2017","4",57.1,63.4,3.6,1007.8375,85.715,20.58,"N",4.5,9.2
2017-01-12 07:00:00,"HV1",3.7,25,61.2,"21","1","5","2017","4",54.4,58.9,4,1006.8375,86.245,20.515,"N",9.8,19.2
2017-01-12 08:00:00,"HV1",5.54764279232322,23.8675999339882,NA,"22","1","5","2017","4",53.6,58.2,4.4025,1005.8425,86.775,20.5225,"N",9.7,23.6
2017-01-12 09:00:00,"HV1",6.42953095085027,23.609232769731,NA,"23","1","5","2017","4",44.8,50.6,4.7975,1004.8425,87.3075,20.5925,"N",11.7,25.6
2017-01-12 10:00:00,"HV1",7.31141910937732,23.3508656054738,50.9,"0","1","6","2017","4",50,53.3,5.1075,1003.4275,87.9225,17.845,"N",7.1,21.4
2017-01-12 11:00:00,"HV1",8.19330726790437,23.0924984412166,53.7,"1","1","6","2017","4",46.2,49.6,5.4125,1002.0125,88.54,15.0975,"N",12,29
2017-01-12 12:00:00,"HV1",7.5,22.8341312769594,70.3,"2","1","6","2017","4",42.7,45.2,5.72,1000.595,89.1575,12.355,"N",0,20.3
2017-01-12 13:00:00,"HV1",15.5,22.5757641127022,82,"3","1","6","2017","4",53,55.3,5.3625,997.675,91.535,7.3225,"N",5.5,28.6
2017-01-12 14:00:00,"HV1",11.5,22.317396948445,71.9,"4","1","6","2017","4",41.8,43.6,5,994.75,93.91,5.4575,"N",6.9,32
2017-01-12 15:00:00,"HV1",7.9,22.0590297841878,80.5,"5","1","6","2017","4",41.2,40.7,4.645,991.825,96.2925,8.9675,"N",13.4,39.8
2017-01-12 16:00:00,"HV1",2.4,21.8006626199306,60,"6","1","6","2017","4",34.1,34.2,4.36,990.52,95.1,7.6775,"N",20.4,49
2017-01-12 17:00:00,"HV1",2.7,21.5422954556734,34.5,"7","1","6","2017","4",31.9,34.4,4.075,989.2175,93.9125,19.0525,"N",15.1,45.2
2017-01-12 18:00:00,"HV1",1.8,21.2839282914162,34,"8","1","6","2017","4",24.9,29.1,3.79,987.9125,92.7225,31.515,"N",7.5,30
2017-01-12 19:00:00,"HV1",5.1,21.0255611271591,17.2,"9","1","6","2017","4",18.9,25.7,3.1275,988.7225,91.23,31.8125,"NE",7.5,24.9
2017-01-12 20:00:00,"HV1",5.7,20.7671939629019,21.3,"10","1","6","2017","4",15.6,21.5,2.4625,989.53,89.7375,32.9325,"E",12.8,24.6
2017-01-12 21:00:00,"HV1",9.7,20.5088267986447,25.9,"11","1","6","2017","4",20.6,26.9,1.7975,990.34,88.245,34.8,"E",9.3,14.5
2017-01-12 22:00:00,"HV1",8.3,20.2504596343875,22.3,"12","1","6","2017","4",22.9,29,1.455,991.6275,87.65,32.615,"SE",13.8,17.8
2017-01-12 23:00:00,"HV1",5,19.9920924701303,18.5,"13","1","6","2017","4",29,35.7,1.1125,992.9125,87.0575,30.6825,"S",16.2,18.5
2017-01-13 00:00:00,"HV1",4.8,19.7337253058731,19.8,"14","1","6","2017","4",26.6,37,0.77,994.2,86.46,29.04,"S",2.2,6
2017-01-13 01:00:00,"HV1",1.6,19.4753581416159,27,"15","1","6","2017","4",17.9,28.1,0.4975,995.18,87.5525,27.5975,"S",12.7,15.8
2017-01-13 02:00:00,"HV1",0,19.2169909773587,21,"16","1","6","2017","4",27.3,33.9,0.2275,996.155,88.6475,26.2575,"S",13.1,16.4
2017-01-13 03:00:00,"HV1",2.1,18.9586238131015,25.3,"17","1","6","2017","4",24.7,30.4,-0.045,997.1375,89.7425,25.0475,"S",5,10.7
2017-01-13 04:00:00,"HV1",2.7,18.7002566488443,18.8,"18","1","6","2017","4",19,24.5,-0.02,998.3075,88.2025,25.195,"S",10.4,17.3
2017-01-13 05:00:00,"HV1",0.9,18.4418894845872,17.2,"19","1","6","2017","4",11.2,17.1,0.0025,999.4725,86.6575,25.62,"S",13.6,20.8
2017-01-13 06:00:00,"HV1",3.9,18.18352232033,55.9,"20","1","6","2017","4",9.8,14.1,0.0275,1000.64,85.1125,26.31,"S",8.8,13
2017-01-13 07:00:00,"HV1",1.9,17.9251551560728,56.6,"21","1","6","2017","4",8.5,11.3,0.13,1000.84,84.445,25.87,"S",7.6,13.2
2017-01-13 08:00:00,"HV1",6.5,17.6667879918156,47.2,"22","1","6","2017","4",11.1,12.8,0.2325,1001.0425,83.78,26.115,"S",5.8,14
2017-01-13 09:00:00,"HV1",6.7,17.4084208275584,54.8,"23","1","6","2017","4",3.5,3.8,0.3325,1001.245,83.11,27.0275,"S",6.4,16.6
2017-01-13 10:00:00,"HV1",13.1,17.1500536633012,38.5,"0","1","7","2017","4",7.4,8.1,1.6,1001.4775,83.0575,28.875,"S",7.1,17.6
2017-01-13 11:00:00,"HV1",8.6,16.891686499044,34.1,"1","1","7","2017","4",2.6,4.1,2.865,1001.7175,83.0025,32.39,"S",8.4,22
2017-01-13 12:00:00,"HV1",6.8,16.6333193347868,26.7,"2","1","7","2017","4",3.8,4.6,4.13,1001.9525,82.95,37.095,"S",9.1,26.1
2017-01-13 13:00:00,"HV1",3.1,16.3749521705296,22.5,"3","1","7","2017","4",0,0.5,3.8875,1002.965,82.8075,35.4175,"S",5.3,17.5
2017-01-13 14:00:00,"HV1",4.2,16.1165850062724,18.5,"4","1","7","2017","4",0.9,2.3,3.6475,1003.98,82.6675,33.735,"S",0.4,13.8
2017-01-13 15:00:00,"HV1",4.3,15.8582178420152,24.1,"5","1","7","2017","4",10.9,15.2,3.405,1004.995,82.525,32.06,"SW",6.3,17.1
2017-01-13 16:00:00,"HV1",3.87014475809373,15.5998506777581,42.6,"6","1","7","2017","4",4.7,7.5,2.8125,1005.9475,83.9825,30.015,"SW",3,20.3
2017-01-13 17:00:00,"HV1",3.57538350737759,15.3414835135009,25.1,"7","1","7","2017","4",14.1,15.8,2.215,1006.9,85.44,27.9725,"SW",11.4,27.1
2017-01-13 18:00:00,"HV1",2.1,15.0831163492437,44.2,"8","1","7","2017","4",21.7,27.5,1.6225,1007.8525,86.8975,25.9425,"SW",8.2,25.1
2017-01-13 19:00:00,"HV1",3.2,14.8247491849865,49.7,"9","1","7","2017","4",15.5,19.8,1.3125,1008.6225,87.28,25.32,"SW",8.2,22.9
2017-01-13 20:00:00,"HV1",10.3,15.5,49.6,"10","1","7","2017","4",17.9,20.9,1.0025,1009.39,87.6675,24.7225,"SW",10.6,23.7
2017-01-13 21:00:00,"HV1",7.5,10.8,32.9,"11","1","7","2017","4",12.2,14.7,0.6925,1010.1575,88.05,24.1575,"SW",5.5,17
2017-01-13 22:00:00,"HV1",10.3,14.1,35.2,"12","1","7","2017","4",7.4,9.5,0.265,1010.765,87.555,23.0675,"SW",7.8,18.4
2017-01-13 23:00:00,"HV1",3.1,8.3,26.9,"13","1","7","2017","4",13.5,14.4,-0.1625,1011.3725,87.0625,21.975,"SW",4.4,14.1
2017-01-14 00:00:00,"HV1",4.8,9.1,24.3,"14","1","7","2017","4",13.8,18.4,-0.5875,1011.985,86.5675,20.8825,"SW",1.7,11.5
2017-01-14 01:00:00,"HV1",3.7,7.6,17.3,"15","1","7","2017","4",4.6,6.4,-0.69,1012.1725,87.2825,20.2075,"SW",6.2,14.8
2017-01-14 02:00:00,"HV1",6.3,9.9,20.9,"16","1","7","2017","4",18.1,19.5,-0.7925,1012.3625,87.9975,19.7675,"SW",8.5,16.3
2017-01-14 03:00:00,"HV1",2.9,7.1,34.6,"17","1","7","2017","4",11.8,13.7,-0.89,1012.5525,88.715,19.5875,"SW",2.3,10.3
2017-01-14 04:00:00,"HV1",0,3.4,26.2,"18","1","7","2017","4",10.6,12.6,-0.495,1012.485,88.8275,20.225,"W",3.1,10.9
2017-01-14 05:00:00,"HV1",5.2,7.1,34.3,"19","1","7","2017","4",22.7,23.6,-0.1,1012.42,88.94,20.8975,"W",3,15
2017-01-14 06:00:00,"HV1",8.6,12.4,50.4,"20","1","7","2017","4",22.8,24.9,0.2975,1012.355,89.0525,21.595,"W",6.4,24.1
2017-01-14 07:00:00,"HV1",3.3,6.4,58.2,"21","1","7","2017","4",16.7,19.5,0.7625,1012.64,88.6725,22.2175,"W",3.7,25
2017-01-14 08:00:00,"HV1",4.8,8.1,66.1,"22","1","7","2017","4",25.6,26.3,1.2275,1012.925,88.29,22.965,"W",5.54764279232322,23.8675999339882
2017-01-14 09:00:00,"HV1",3.7,8.4,58,"23","1","7","2017","4",25.8,26.9,1.6975,1013.2125,87.91,23.825,"NW",6.42953095085027,23.609232769731
2017-01-14 10:00:00,"HV1",5.7,10.6,61.1,"0","1","1","2017","4",29.1,31.9,2.69,1013.4975,83.6975,23.525,"NW",7.31141910937732,23.3508656054738
2017-01-14 11:00:00,"HV1",1.5,6.6,34.6,"1","1","1","2017","4",33.7,35.9,3.685,1013.7775,79.4875,23.665,"NW",8.19330726790437,23.0924984412166
2017-01-14 12:00:00,"HV1",1.1,3.9,27.2,"2","1","1","2017","4",19.9,21.6,4.6775,1014.0575,75.2725,24.2325,"NW",7.5,22.8341312769594
2017-01-14 13:00:00,"HV1",6,9.6,39.8,"3","1","1","2017","4",21.9,23.3,4.3075,1014.3475,77.9225,20.02,"NW",15.5,22.5757641127022
2017-01-14 14:00:00,"HV1",4.5,6.6,48.3,"4","1","1","2017","4",16.7,18.4,3.9425,1014.6375,80.57,15.8225,"NW",11.5,22.317396948445
2017-01-14 15:00:00,"HV1",6.4,8.5,47.9,"5","1","1","2017","4",17.7,19.3,3.5775,1014.9325,83.2175,11.645,"NW",7.9,22.0590297841878
2017-01-14 16:00:00,"HV1",8.2,10.2,70.7,"6","1","1","2017","4",23.9,26.8,2.6875,1015.4125,86.4125,12.01,"NW",2.4,21.8006626199306
2017-01-14 17:00:00,"HV1",15,17,86.5,"7","1","1","2017","4",16.4,18.9,1.8,1015.8975,89.61,12.39,"NW",2.7,21.5422954556734
2017-01-14 18:00:00,"HV1",39.9,42.1,89,"8","1","1","2017","4",17.4,19.9,0.9125,1016.3775,92.8075,12.785,"NW",1.8,21.2839282914162
2017-01-14 19:00:00,"HV1",18.6,21,74.5,"9","1","1","2017","4",22,26.6,0.6725,1016.8025,93.315,13.37,"NW",5.1,21.0255611271591
2017-01-14 20:00:00,"HV1",22.3,25.9,74.3,"10","1","1","2017","4",31.1,37.6,0.435,1017.2325,93.82,13.96,"NW",5.7,20.7671939629019
2017-01-14 21:00:00,"HV1",23.6,26.1,71.9,"11","1","1","2017","4",27.1,32.6,0.1975,1017.66,94.33,14.55,"NW",9.7,20.5088267986447
2017-01-14 22:00:00,"HV1",24.4,27.2,68.6,"12","1","1","2017","4",22.8,25.6,0.0225,1017.9575,94.1125,13.885,"NW",8.3,20.2504596343875
2017-01-14 23:00:00,"HV1",20.2,22.5,59.9,"13","1","1","2017","4",19.4,22.5,-0.1525,1018.25,93.8975,13.215,"NW",5,19.9920924701303
2017-01-15 00:00:00,"HV1",20.6,22.2,62.3,"14","1","1","2017","4",18.7,21.4,-0.3275,1018.545,93.6775,12.545,"NW",4.8,19.7337253058731
2017-01-15 01:00:00,"HV1",15.6,18.7,56.2,"15","1","1","2017","4",22.5,25.8,-0.0425,1018.5475,92.45,11.9625,"NW",1.6,19.4753581416159
2017-01-15 02:00:00,"HV1",22.3,24,54.9,"16","1","1","2017","4",27.1,30.5,0.235,1018.5475,91.2225,11.42,"W",0,19.2169909773587
2017-01-15 03:00:00,"HV1",17.3,18.7,50.1,"17","1","1","2017","4",21.4,24.3,0.515,1018.55,89.995,10.925,"W",2.1,18.9586238131015
2017-01-15 04:00:00,"HV1",12.7,13.6,47,"18","1","1","2017","4",23.8,23.6,0.835,1018.3475,91.165,9.68,"W",2.7,18.7002566488443
2017-01-15 05:00:00,"HV1",8.9,10,48.8,"19","1","1","2017","4",5.7,7.6,1.155,1018.1425,92.335,8.9925,"W",0.9,18.4418894845872
2017-01-15 06:00:00,"HV1",7.5,8.6,39.6,"20","1","1","2017","4",3.2,4.9,1.4725,1017.9375,93.5025,8.985,"NW",3.9,18.18352232033
2017-01-15 07:00:00,"HV1",5,7.2,59,"21","1","1","2017","4",8.7,10.6,1.69,1017.6875,94.4925,9.335,"NW",1.9,17.9251551560728
2017-01-15 08:00:00,"HV1",11.7,13.7,51.3,"22","1","1","2017","4",8.4,9.9,1.9075,1017.4425,95.4725,10.225,"NW",6.5,17.6667879918156
2017-01-15 09:00:00,"HV1",7.9,9.8,54,"23","1","1","2017","4",19.6,19.8,2.125,1017.1925,96.4625,11.5275,"NW",6.7,17.4084208275584
2017-01-15 10:00:00,"HV1",11.3,13.1,67.5,"0","1","2","2017","4",26.4,25.8,2.6975,1016.63,97.135,11.2725,"NW",13.1,17.1500536633012
2017-01-15 11:00:00,"HV1",5.5,7.2,64.1,"1","1","2","2017","4",21.3,20.8,3.27,1016.0675,97.805,11.1975,"NW",8.6,16.891686499044
2017-01-15 12:00:00,"HV1",7.2,8.9,67.4,"2","1","2","2017","4",18.7,18.7,3.8425,1015.5,98.475,11.3025,"NW",6.8,16.6333193347868
2017-01-15 13:00:00,"HV1",11.3,13.5,80.6,"3","1","2","2017","4",15,15.7,4.69,1015.19,97.74,10.7,"NW",3.1,16.3749521705296
2017-01-15 14:00:00,"HV1",3.1,4.8,45.4,"4","1","2","2017","4",18.1,18.4,5.54,1014.885,97.005,14.245,"W",4.2,16.1165850062724
2017-01-15 15:00:00,"HV1",6.6,7.7,39,"5","1","2","2017","4",16.5,17.6,6.395,1014.575,96.2675,19.8325,"SW",4.3,15.8582178420152
2017-01-15 16:00:00,"HV1",9,9.7,45,"6","1","2","2017","4",15,16.8,6.085,1015.2075,96.8375,16.9975,"SW",3.87014475809373,15.5998506777581
2017-01-15 17:00:00,"HV1",0.7,1.7,27,"7","1","2","2017","4",7.2,10.9,5.77,1015.8375,97.4025,14.5275,"SW",3.57538350737759,15.3414835135009
2017-01-15 18:00:00,"HV1",3.1,2.9,16.4,"8","1","2","2017","4",5.2,10.5,5.46,1016.47,97.97,12.6425,"SW",2.1,15.0831163492437
2017-01-15 19:00:00,"HV1",9,9.2,20.9,"9","1","2","2017","4",1.7,12.8,5.0875,1016.9975,98.2025,11.82,"SW",3.2,14.8247491849865
2017-01-15 20:00:00,"HV1",6.2,6.4,33.7,"10","1","2","2017","4",8.6,12.3,4.7175,1017.525,98.435,11.14,"S",10.3,15.5
2017-01-15 21:00:00,"HV1",8.3,8.5,19.1,"11","1","2","2017","4",8.9,17.5,4.3425,1018.05,98.665,10.625,"S",7.5,10.8
2017-01-15 22:00:00,"HV1",10.8,10.9,15.7,"12","1","2","2017","4",9.4,15.9,4.1375,1018.5525,98.4975,9.675,"S",10.3,14.1
2017-01-15 23:00:00,"HV1",11.9,11.9,17.5,"13","1","2","2017","4",14,19.7,3.935,1019.0475,98.325,8.8875,"SW",3.1,8.3
2017-01-16 00:00:00,"HV1",8.7,8.3,13.8,"14","1","2","2017","4",10.8,15.5,3.7275,1019.55,98.16,8.305,"SW",4.8,9.1
2017-01-16 01:00:00,"HV1",12.3,12.3,13.6,"15","1","2","2017","4",4,9.6,3.535,1019.8875,97.3525,7.61,"SW",3.7,7.6
2017-01-16 02:00:00,"HV1",14.7,14.1,14.4,"16","1","2","2017","4",1.4,5.8,3.34,1020.2275,96.5525,7.1425,"SW",6.3,9.9
2017-01-16 03:00:00,"HV1",19,19.1,17.8,"17","1","2","2017","4",7.9,11,3.15,1020.5675,95.7475,6.945,"SW",2.9,7.1
2017-01-16 04:00:00,"HV1",25.5,25.8,21.1,"18","1","2","2017","4",5.2,6.8,2.9225,1020.7775,95.2875,5.97,"SW",0,3.4
2017-01-16 05:00:00,"HV1",28,28.5,28.9,"19","1","2","2017","4",8.4,12.7,2.7,1020.9825,94.8275,5.545,"SW",5.2,7.1
2017-01-16 06:00:00,"HV1",25.2,25.9,37.7,"20","1","2","2017","4",5,10.8,2.475,1021.1975,94.3675,5.7975,"SW",8.6,12.4
2017-01-16 07:00:00,"HV1",22.4,23.2,46.8,"21","1","2","2017","4",3.4,9,2.7925,1021.5725,93.2525,5.4025,"SW",3.3,6.4
2017-01-16 08:00:00,"HV1",19.1,20.3,52,"22","1","2","2017","4",1,7.3,3.1125,1021.9475,92.1375,5.2025,"SW",4.8,8.1
2017-01-16 09:00:00,"HV1",18.6,19.9,59.9,"23","1","2","2017","4",2.2,8,3.43,1022.3225,91.0275,5.22,"SW",3.7,8.4
2017-01-16 10:00:00,"HV1",18.6,21,70.2,"0","1","3","2017","4",7.2,12.5,3.59,1022.5475,90.71,4.925,"SW",5.7,10.6
2017-01-16 11:00:00,"HV1",14.6,17,66.4,"1","1","3","2017","4",4.2,9.4,3.7575,1022.77,90.39,4.6675,"SW",1.5,6.6
2017-01-16 12:00:00,"HV1",15.3,18.3,66.7,"2","1","3","2017","4",6.1,11.7,3.92,1022.9925,90.07,4.4575,"SW",1.1,3.9
2017-01-16 13:00:00,"HV1",15.2,16.5,62.1,"3","1","3","2017","4",13.7,18.5,4.0125,1022.99,89.015,4.6475,"SW",6,9.6
2017-01-16 14:00:00,"HV1",7.5,8.9,49.7,"4","1","3","2017","4",4.3,9.2,4.1025,1022.9875,87.9575,5.06,"SW",4.5,6.6
2017-01-16 15:00:00,"HV1",6.3,7.4,46.2,"5","1","3","2017","4",1.8,6.9,4.1925,1022.9825,86.8975,5.65,"SW",6.4,8.5
2017-01-16 16:00:00,"HV1",14.1,14.6,58.4,"6","1","3","2017","4",4.5,9.2,3.2575,1023.525,88.565,6.2375,"SW",8.2,10.2
2017-01-16 17:00:00,"HV1",17.2,19.4,73.3,"7","1","3","2017","4",9.8,19.2,2.3175,1024.07,90.2275,6.835,"W",15,17
2017-01-16 18:00:00,"HV1",17.8,18.6,67.6,"8","1","3","2017","4",9.7,23.6,1.3825,1024.6125,91.8925,7.4425,"W",39.9,42.1
