"utc_time","stationId","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10"
2017-01-10 00:00:00,"LW2",22.221990805584,18.3,49.9,"14","1","3","2017","4",12.9,25.3,3.6425,1005.3325,93.1775,17.3575,"NW",18.1821035516283,37.6
2017-01-10 01:00:00,"LW2",22.3061551233747,19.4,43.8,"15","1","3","2017","4",9.1,22.4,3.8425,1004.9575,92.5125,18.5,"W",18.266267869419,35.9
2017-01-10 02:00:00,"LW2",22.3903194411655,13.8,40.9,"16","1","3","2017","4",14.9,24.3,4.0475,1004.58,91.85,19.6975,"W",18.3504321872098,30.3
2017-01-10 03:00:00,"LW2",22.4744837589562,13.4,44.7,"17","1","3","2017","4",14.8,19.6,4.25,1004.2075,91.1825,20.945,"W",18.4345965050005,25.1
2017-01-10 04:00:00,"LW2",22.558648076747,15.3,46.7,"18","1","3","2017","4",19.9,24.3,3.98,1004.1325,91.275,20.52,"W",18.5187608227912,29.7
2017-01-10 05:00:00,"LW2",22.6428123945377,13.7,53.5,"19","1","3","2017","4",17.7,23,3.7125,1004.0575,91.3675,20.095,"W",18.602925140582,23.7
2017-01-10 06:00:00,"LW2",22.7269767123285,11.3,57.5,"20","1","3","2017","4",19.2,22.3,3.445,1003.98,91.455,19.67,"W",18.6870894583727,23.8
2017-01-10 07:00:00,"LW2",22.8111410301192,14.8,64.4,"21","1","3","2017","4",14,21.9,3.72,1004.175,91.0975,20.265,"W",18.7712537761635,25.3
2017-01-10 08:00:00,"LW2",22.89530534791,19.6,73.1,"22","1","3","2017","4",13.6,18.7,3.99,1004.3675,90.74,20.8875,"W",18.8554180939542,20.9
2017-01-10 09:00:00,"LW2",22.9794696657007,22.6,69.7,"23","1","3","2017","4",9,13.7,4.265,1004.5625,90.385,21.54,"W",18.939582411745,27.2
2017-01-10 10:00:00,"LW2",23.0636339834914,26.1,74.5,"0","1","4","2017","4",7.6,12.3,5.025,1004.9175,88.5875,20.73,"W",19.0237467295357,30.7
2017-01-10 11:00:00,"LW2",23.1477983012822,43.7,77.7,"1","1","4","2017","4",9.5,14.4,5.7775,1005.2775,86.795,20.0375,"W",19.1079110473265,26.8
2017-01-10 12:00:00,"LW2",23.2319626190729,37.3,74.5,"2","1","4","2017","4",3.4,13.2,6.5325,1005.6375,85,19.4725,"W",19.1920753651172,25.5
2017-01-10 13:00:00,"LW2",23.3161269368637,39.8,69.2,"3","1","4","2017","4",3.4,9.9,6.6775,1005.71,85.72,17.32,"W",19.2762396829079,20
2017-01-10 14:00:00,"LW2",23.4002912546544,41.6,68.4,"4","1","4","2017","4",15.5,14.5,6.8175,1005.7825,86.4375,15.295,"W",19.3604040006987,29.1
2017-01-10 15:00:00,"LW2",23.4844555724452,46.3,71,"5","1","4","2017","4",4.8,15,6.9625,1005.8575,87.16,13.45,"W",19.4445683184894,27
2017-01-10 16:00:00,"LW2",23.5686198902359,36.2,69,"6","1","4","2017","4",14.1,14,6.18,1006.16,89.915,12.63,"W",19.5287326362802,17
2017-01-10 17:00:00,"LW2",23.6527842080267,29.4,65.2,"7","1","4","2017","4",11.7,17.1,5.395,1006.4675,92.6725,12.195,"W",19.6128969540709,15.4
2017-01-10 18:00:00,"LW2",23.7369485258174,45.2,70.4,"8","1","4","2017","4",12.5,17.8,4.6125,1006.7725,95.4275,12.185,"W",19.6970612718617,15.1
2017-01-10 19:00:00,"LW2",23.8211128436081,44.8,65.8,"9","1","4","2017","4",10.6,12.9,5.06,1006.64,95.5725,12.685,"W",19.7812255896524,19.2
2017-01-10 20:00:00,"LW2",23.9052771613989,35.6,68.8,"10","1","4","2017","4",8.9,13.7,5.51,1006.5,95.7225,13.245,"W",19.8653899074432,12.2
2017-01-10 21:00:00,"LW2",23.9894414791896,25,61.3,"11","1","4","2017","4",10.5,18.2,5.9575,1006.365,95.8675,13.855,"W",19.9495542252339,26.3
2017-01-10 22:00:00,"LW2",24.0736057969804,22.9,58.7,"12","1","4","2017","4",11.8,19.5,5.67,1006.2175,96.495,13.9325,"W",20.0337185430246,26.5
2017-01-10 23:00:00,"LW2",24.1577701147711,22.3,44.2,"13","1","4","2017","4",10.9,19.6,5.3825,1006.07,97.125,14.0675,"W",20.1178828608154,27.1
2017-01-11 00:00:00,"LW2",24.2419344325619,27.2,43.9,"14","1","4","2017","4",15.8,22,5.095,1005.9225,97.7525,14.2625,"W",20.2020471786061,25.1
2017-01-11 01:00:00,"LW2",24.3260987503526,19.7,42.9,"15","1","4","2017","4",10.3,23.5,5.335,1005.175,97.6275,15.9225,"W",20.2862114963969,16.2
2017-01-11 02:00:00,"LW2",24.4102630681434,16,31.2,"16","1","4","2017","4",15.8,39.4,5.5775,1004.425,97.5025,17.6425,"W",20.3703758141876,14.1
2017-01-11 03:00:00,"LW2",24.4944273859341,18.6,28.6,"17","1","4","2017","4",20.2,34.7,5.815,1003.675,97.3775,19.405,"W",20.4545401319784,15.2
