"utc_time","stationId","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10"
2017-01-10 00:00:00,"MY7",7.3,25.4,NA,"14","1","3","2017","4",11.5,28.1,3.8125,1006.325,92.38,18.2475,"NW",24.2,28.7
2017-01-10 01:00:00,"MY7",8,20.1,NA,"15","1","3","2017","4",8.6,28.3,4.03,1005.9575,91.61,19.29,"W",19.6,26
2017-01-10 02:00:00,"MY7",4.3,20.9,NA,"16","1","3","2017","4",13.6,31.3,4.255,1005.5875,90.8375,20.3625,"W",17.8,24.2
2017-01-10 03:00:00,"MY7",6.5,18.6,NA,"17","1","3","2017","4",20,31,4.4775,1005.2175,90.07,21.465,"W",16.5,21.4
2017-01-10 04:00:00,"MY7",4.6,15.3,NA,"18","1","3","2017","4",18.2,33,4.19,1005.135,90.2425,21.0375,"W",15.2,19.5
2017-01-10 05:00:00,"MY7",8.5,20.6,NA,"19","1","3","2017","4",18.9,25,3.905,1005.0525,90.42,20.6125,"W",18.3,22.7
2017-01-10 06:00:00,"MY7",11.3,27.7,NA,"20","1","3","2017","4",13.2,27.5,3.6175,1004.965,90.595,20.1875,"W",18.6,25.2
2017-01-10 07:00:00,"MY7",12.9,24.9,NA,"21","1","3","2017","4",11.1,21.9,3.8825,1005.1775,90.32,20.71,"W",20,30.2
2017-01-10 08:00:00,"MY7",12,26.6,NA,"22","1","3","2017","4",12.3,24.5,4.1425,1005.385,90.0425,21.2575,"W",23.8,28
2017-01-10 09:00:00,"MY7",14.8,27.2,NA,"23","1","3","2017","4",11.6,18.1,4.4075,1005.595,89.77,21.8275,"W",21.9,26.5
2017-01-10 10:00:00,"MY7",14.6,23.7,NA,"0","1","4","2017","4",8.7,12.9,5.1475,1005.95,88.01,20.87,"W",19.4,29.8
2017-01-10 11:00:00,"MY7",11.5,23.9,NA,"1","1","4","2017","4",6.8,10.5,5.885,1006.3075,86.2525,20.02,"W",25.1,36.9
2017-01-10 12:00:00,"MY7",10.3,21,NA,"2","1","4","2017","4",7,11.6,6.6225,1006.6675,84.4925,19.3,"W",22.3,29.4
2017-01-10 13:00:00,"MY7",15.6,24.5,NA,"3","1","4","2017","4",8.4,11,6.7625,1006.7325,85.28,17.2225,"W",19.9,25
2017-01-10 14:00:00,"MY7",15.3,30.4,NA,"4","1","4","2017","4",4,11.6,6.8975,1006.8,86.07,15.2975,"W",23.5,27.8
2017-01-10 15:00:00,"MY7",21.5,35.5,NA,"5","1","4","2017","4",3.8,10.9,7.0375,1006.8675,86.8575,13.58,"W",21.6,28.1
2017-01-10 16:00:00,"MY7",23.4,40.8,NA,"6","1","4","2017","4",5.5,11.8,6.3875,1007.15,89.565,12.8625,"W",24.8,26.9
2017-01-10 17:00:00,"MY7",24.4,56.3,NA,"7","1","4","2017","4",10.1,11.3,5.735,1007.4325,92.28,12.5025,"W",17.7,21.4
2017-01-10 18:00:00,"MY7",23.2,53.7,NA,"8","1","4","2017","4",6.6,11.3,5.0875,1007.715,94.9875,12.5275,"W",17.8,21.2
2017-01-10 19:00:00,"MY7",21,51.6,NA,"9","1","4","2017","4",7,14.4,5.3775,1007.5825,95.2775,13.1125,"W",16.2,24.6
2017-01-10 20:00:00,"MY7",22.8,42.1,NA,"10","1","4","2017","4",7.2,14.4,5.6675,1007.445,95.5675,13.74,"W",19.8,27.2
2017-01-10 21:00:00,"MY7",23.8,38.6,NA,"11","1","4","2017","4",6.3,12.9,5.9575,1007.31,95.8525,14.415,"W",25.3,33.3
2017-01-10 22:00:00,"MY7",23.8,36.6,NA,"12","1","4","2017","4",6.7,17.5,5.7125,1007.16,96.315,14.51,"W",23.1,29.7
2017-01-10 23:00:00,"MY7",20,26.4,NA,"13","1","4","2017","4",9.3,27.7,5.47,1007.0075,96.775,14.67,"W",24.9,30.5
2017-01-11 00:00:00,"MY7",17.4,24.2,NA,"14","1","4","2017","4",7.3,29.2,5.225,1006.8575,97.235,14.8975,"W",19.1,20.4
2017-01-11 01:00:00,"MY7",12.7,22.7,NA,"15","1","4","2017","4",6.5,26.4,5.4025,1006.085,97.155,16.295,"W",16.1,18.3
2017-01-11 02:00:00,"MY7",12.1,18.4,NA,"16","1","4","2017","4",7.7,25.6,5.5775,1005.3075,97.0775,17.8225,"W",16,18.8
2017-01-11 03:00:00,"MY7",11.4,24.1,NA,"17","1","4","2017","4",7.4,23.6,5.755,1004.5325,96.9975,19.4475,"W",16.5,19
2017-01-11 04:00:00,"MY7",12.1,20.5,NA,"18","1","4","2017","4",6.1,20.3,6.8275,1004.3025,96.19,20.5125,"NW",15.6,20
2017-01-11 05:00:00,"MY7",14.6,19.8,NA,"19","1","4","2017","4",6.6,18.1,7.9025,1004.0725,95.38,22.3625,"NW",14,22.2
2017-01-11 06:00:00,"MY7",14.4,23.9,NA,"20","1","4","2017","4",7.2,20.7,8.9725,1003.84,94.5725,24.8325,"NW",17.4,18.5
2017-01-11 07:00:00,"MY7",16.3,23.7,NA,"21","1","4","2017","4",9.9,21.7,8.9425,1004.0175,91.6375,23.8375,"NW",15.4,23.6
2017-01-11 08:00:00,"MY7",15.5,21.9,NA,"22","1","4","2017","4",11.9,23,8.91,1004.1875,88.71,23.0575,"NW",15,19.3
2017-01-11 09:00:00,"MY7",10,20.3,NA,"23","1","4","2017","4",7.5,18.6,8.8775,1004.3625,85.7775,22.505,"NW",16.1,22
2017-01-11 10:00:00,"MY7",8.1,24.2,NA,"0","1","5","2017","4",6.3,16.1,8.865,1005.185,82.2525,24.51,"NW",16.4,22.9
2017-01-11 11:00:00,"MY7",9.2,23.5,NA,"1","1","5","2017","4",5.4,16.3,8.85,1006.0075,78.725,26.645,"NW",16.6,25.6
2017-01-11 12:00:00,"MY7",8.6,19.9,NA,"2","1","5","2017","4",8.2,14.3,8.835,1006.8225,75.2025,28.8825,"N",19,26.7
2017-01-11 13:00:00,"MY7",5.3,15.4,NA,"3","1","5","2017","4",6.5,14.4,8.44,1007.0025,75.415,26.0825,"N",15.2,26.2
2017-01-11 14:00:00,"MY7",9.7,19.9,NA,"4","1","5","2017","4",7.5,14.2,8.0425,1007.18,75.6275,23.3425,"N",20.8,24.8
2017-01-11 15:00:00,"MY7",10.4,24.9,NA,"5","1","5","2017","4",7,15.3,7.6525,1007.36,75.8425,20.695,"N",15.2,20.4
2017-01-11 16:00:00,"MY7",8.4,24.4,NA,"6","1","5","2017","4",7.3,15.7,7.1425,1008.155,76.065,21.6375,"N",10.6,22.3
2017-01-11 17:00:00,"MY7",9.1,30,NA,"7","1","5","2017","4",8.4,16.1,6.635,1008.955,76.29,22.5975,"N",23.1,23.9
2017-01-11 18:00:00,"MY7",16.5,37.1,NA,"8","1","5","2017","4",8.1,16.4,6.1275,1009.75,76.5125,23.58,"N",6.7,11.3
2017-01-11 19:00:00,"MY7",19.2,38.1,NA,"9","1","5","2017","4",14.5,20.9,6.0425,1009.7425,76.1625,23.6675,"NW",8.9,15.1
2017-01-11 20:00:00,"MY7",15.5,33.9,NA,"10","1","5","2017","4",15,23.9,5.9625,1009.7375,75.81,23.895,"NW",13.1,19.5
2017-01-11 21:00:00,"MY7",16.2,30.6,NA,"11","1","5","2017","4",11.1,28.6,5.8775,1009.7325,75.46,24.2575,"NW",13.4,27
2017-01-11 22:00:00,"MY7",12.8,28.3,NA,"12","1","5","2017","4",11.9,32.1,5.4025,1009.8625,76.5525,23.8,"NW",16.6,31.5
2017-01-11 23:00:00,"MY7",13.7,25.3,NA,"13","1","5","2017","4",12.1,37.3,4.925,1009.99,77.65,23.3425,"NW",13.9,27.8
2017-01-12 00:00:00,"MY7",12.8,23,NA,"14","1","5","2017","4",11.9,29.4,4.45,1010.12,78.7425,22.885,"NW",7.3,25.4
2017-01-12 01:00:00,"MY7",4.9,20.5,NA,"15","1","5","2017","4",16.4,33.3,4.4125,1009.8275,79.2375,22.54,"NW",8,20.1
2017-01-12 02:00:00,"MY7",9.4,16.1,NA,"16","1","5","2017","4",21.5,41.4,4.3775,1009.5325,79.7325,22.29,"N",4.3,20.9
2017-01-12 03:00:00,"MY7",9,16.1,NA,"17","1","5","2017","4",33.5,64.4,4.34,1009.2425,80.2275,22.1375,"N",6.5,18.6
