"utc_time","stationId","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10"
2017-01-10 00:00:00,"ST5",12,16,17.4,"14","1","3","2017","4",9,11,3.3375,1000.725,94.485,16.64,"NW",27,31
2017-01-10 01:00:00,"ST5",12,19,15.9,"15","1","3","2017","4",8,12,3.5725,1000.36,93.7025,17.7825,"NW",27,31
2017-01-10 02:00:00,"ST5",7,14,23.1,"16","1","3","2017","4",13,16,3.8125,1000,92.92,19.005,"W",23,27
2017-01-10 03:00:00,"ST5",6,11,13.7,"17","1","3","2017","4",12,21,4.0475,999.6425,92.1425,20.295,"W",21,22
2017-01-10 04:00:00,"ST5",9,10,13.3,"18","1","3","2017","4",13,16,3.7075,999.5775,92.4725,19.6625,"W",18,23
2017-01-10 05:00:00,"ST5",8,11,25.2,"19","1","3","2017","4",11,19,3.37,999.5075,92.8075,19.03,"W",22,23
2017-01-10 06:00:00,"ST5",9,14,39.7,"20","1","3","2017","4",12,15,3.025,999.4425,93.14,18.395,"W",25,22
2017-01-10 07:00:00,"ST5",16,19,58.1,"21","1","3","2017","4",9,16,3.2925,999.6275,92.8125,18.9125,"W",20,22
2017-01-10 08:00:00,"ST5",7,18,73.9,"22","1","3","2017","4",12,16,3.5525,999.815,92.485,19.4575,"W",16,26
2017-01-10 09:00:00,"ST5",11,19,70.1,"23","1","3","2017","4",10,9,3.8175,1000.005,92.16,20.025,"W",24,29
2017-01-10 10:00:00,"ST5",11,31,56,"0","1","4","2017","4",9,10,4.67,1000.35,89.9975,19.8325,"W",29,30
2017-01-10 11:00:00,"ST5",12,26,49.3,"1","1","4","2017","4",7,10,5.52,1000.7025,87.8375,19.7825,"W",16,22
2017-01-10 12:00:00,"ST5",11,30,47.2,"2","1","4","2017","4",7,7,6.375,1001.0525,85.675,19.885,"W",18,21
2017-01-10 13:00:00,"ST5",10,35,41.4,"3","1","4","2017","4",7,11,6.515,1001.1225,86.4875,17.2525,"W",21,22
2017-01-10 14:00:00,"ST5",14,48,39.1,"4","1","4","2017","4",8,9,6.6525,1001.1975,87.2975,14.74,"W",14,19
2017-01-10 15:00:00,"ST5",19,61,50,"5","1","4","2017","4",6,12,6.795,1001.2725,88.1075,12.4025,"W",20,29
2017-01-10 16:00:00,"ST5",17,55,69.6,"6","1","4","2017","4",6,12,5.9825,1001.5825,90.8075,11.7025,"W",23,22
2017-01-10 17:00:00,"ST5",20,54,87.7,"7","1","4","2017","4",9,12,5.1725,1001.895,93.5075,11.375,"W",16,20
2017-01-10 18:00:00,"ST5",17,46,76.2,"8","1","4","2017","4",9,16,4.3625,1002.2075,96.2075,11.4575,"W",19,23
2017-01-10 19:00:00,"ST5",18,36,68.1,"9","1","4","2017","4",14,22,4.8425,1002.065,96.5075,11.815,"W",17,24
2017-01-10 20:00:00,"ST5",18,22,50,"10","1","4","2017","4",12,15,5.325,1001.9225,96.81,12.2475,"W",30,28
2017-01-10 21:00:00,"ST5",11,18,34.7,"11","1","4","2017","4",15,17,5.8075,1001.78,97.105,12.74,"W",23,25
2017-01-10 22:00:00,"ST5",16,19,22.4,"12","1","4","2017","4",10,20,5.515,1001.655,97.5775,12.8375,"W",25,24
2017-01-10 23:00:00,"ST5",9,16,31.4,"13","1","4","2017","4",10,25,5.22,1001.5325,98.0475,13,"W",28,31
2017-01-11 00:00:00,"ST5",11,20,15.5,"14","1","4","2017","4",8,35,4.925,1001.405,98.515,13.2325,"W",12,15
2017-01-11 01:00:00,"ST5",12,18,13.3,"15","1","4","2017","4",8,42,5.1975,1000.6825,98.3925,14.905,"W",18,14
2017-01-11 02:00:00,"ST5",12,16,10.2,"16","1","4","2017","4",9,30,5.4725,999.955,98.2675,16.6525,"W",13,13
2017-01-11 03:00:00,"ST5",13,18,10,"17","1","4","2017","4",9,42,5.745,999.23,98.14,18.4525,"W",15,13
2017-01-11 04:00:00,"ST5",15,21,9,"18","1","4","2017","4",14,40,6.7375,999.005,97.445,19.5275,"NW",12,17
2017-01-11 05:00:00,"ST5",6,17,15.8,"19","1","4","2017","4",14,50,7.725,998.7775,96.7525,21.37,"NW",15,10
2017-01-11 06:00:00,"ST5",11,13,32,"20","1","4","2017","4",13,40,8.7175,998.55,96.0575,23.8025,"NW",11,11
