"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"donggaocun_aq",2017-01-10 14:00:00,15,26.8,15,0.4,41,5,"14","1","3","2017","4",395,120,2,-4.755,1002.4125,30.6075,6.2075,"N",32,31.3913043478261,37
"donggaocun_aq",2017-01-10 15:00:00,15,25.6,12,0.3,42,4,"15","1","3","2017","4",370,120,2,-5.1425,1002.3775,31.5575,5.355,"NW",24,28.4782608695652,36
"donggaocun_aq",2017-01-10 16:00:00,13,24.4,12,0.3,43,3,"16","1","3","2017","4",351,120,2,-5.4475,1002.22,33.14,4.785,"NW",14,25.5652173913044,50
"donggaocun_aq",2017-01-10 17:00:00,11,23.2,9,0.3,37,3,"17","1","3","2017","4",367,120,2,-5.755,1002.06,34.725,4.24,"N",12,22.6521739130436,40
"donggaocun_aq",2017-01-10 18:00:00,7,22,8,0.2,36,2,"18","1","3","2017","4",351,120,2,-6.0625,1001.8975,36.31,3.7375,"N",7,19.7391304347827,46
"donggaocun_aq",2017-01-10 19:00:00,24,25,12,0.4,31,2,"19","1","3","2017","4",364,120,2,-6.2825,1001.5775,37.6825,3.7725,"N",5,16.8260869565218,46
"donggaocun_aq",2017-01-10 20:00:00,37,44,33,0.6,13,6,"20","1","3","2017","4",333,120,2,-6.505,1001.255,39.055,3.8475,"NE",11,13.9130434782609,39
"donggaocun_aq",2017-01-10 21:00:00,75,84,57,0.9,2,9,"21","1","3","2017","4",289,120,2,-6.73,1000.93,40.425,3.9525,"NE",4,11,38
"donggaocun_aq",2017-01-10 22:00:00,76,79.6363636363636,66,1.2,2,7,"22","1","3","2017","4",222,120,2,-6.7525,1000.6475,40.465,4.435,"NE",8,12,40
"donggaocun_aq",2017-01-10 23:00:00,79,75.2727272727273,68,1.3,2,7,"23","1","3","2017","4",185,120,4,-6.78,1000.365,40.505,4.935,"E",13,13,38
"donggaocun_aq",2017-01-11 00:00:00,81,70.9090909090909,69,1.4,2,8,"0","1","4","2017","4",297,120,2,-6.805,1000.0825,40.5475,5.44,"E",12,14,33
"donggaocun_aq",2017-01-11 01:00:00,86,66.5454545454545,71,1.4,2,9,"1","1","4","2017","4",303,120,2,-5.15,999.895,36.0925,6.4275,"SE",8,13,32
"donggaocun_aq",2017-01-11 02:00:00,88,62.1818181818182,70,1.4,2,14,"2","1","4","2017","4",253,120,2,-3.4975,999.71,31.6425,7.445,"SE",25,16.125,23
"donggaocun_aq",2017-01-11 03:00:00,112,57.8181818181818,80,1.7,2,27,"3","1","4","2017","4",476,120,2,-1.8425,999.5225,27.19,8.4825,"SE",18,19.25,33
"donggaocun_aq",2017-01-11 04:00:00,82,53.4545454545455,80,1.7,2,29,"4","1","4","2017","4",370,120,2,-0.5875,998.98,25.3425,11.195,"SE",9,22.375,54
"donggaocun_aq",2017-01-11 05:00:00,54,49.0909090909091,69,1.69054552602918,25,31,"5","1","4","2017","4",281,120,2,0.665,998.44,23.4925,13.9125,"SE",9,25.5,55
"donggaocun_aq",2017-01-11 06:00:00,30,44.7272727272727,47,1.68334771992792,30,18,"6","1","4","2017","4",354,120,2,1.92,997.8975,21.64,16.6325,"SE",8,28.625,56
"donggaocun_aq",2017-01-11 07:00:00,36,40.3636363636364,51,1.67614991382667,33,25,"7","1","4","2017","4",173,120,12,1.03,997.4175,23.885,14.16,"SE",14,31.75,54
"donggaocun_aq",2017-01-11 08:00:00,36,36,46,1.66895210772541,41,24,"8","1","4","2017","4",206,120,13,0.1475,996.9375,26.125,11.7,"SE",19,34.875,40.8238869636914
"donggaocun_aq",2017-01-11 09:00:00,29,34,38,1.66175430162415,42,13,"9","1","4","2017","4",244,120,11,-0.7425,996.4625,28.37,9.255,"E",24,38,27
