"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"gucheng_aq",2017-01-10 14:00:00,130,182,93,1.8,7,22,"14","1","3","2017","4",626,720,5,-5.1825,1001.5125,36.85,7.0225,"NW",10,91.9444444444445,55
"gucheng_aq",2017-01-10 15:00:00,96,103,88,1.9,4,20,"15","1","3","2017","4",640,805,4,-5.5725,1001.4375,37.5525,6.9175,"W",9,85.2222222222222,50
"gucheng_aq",2017-01-10 16:00:00,47,61,77,1.8,3,18,"16","1","3","2017","4",677,819,5,-5.865,1001.2275,37.8025,6.495,"NW",10,78.5,48
"gucheng_aq",2017-01-10 17:00:00,35,70,74,1.5,3,15,"17","1","3","2017","4",658,801,5,-6.155,1001.02,38.055,6.1,"N",10,71.7777777777778,51
"gucheng_aq",2017-01-10 18:00:00,29,51,71,1.3,4,10,"18","1","3","2017","4",628,724,4,-6.4475,1000.81,38.305,5.73,"N",7,65.0555555555556,48
"gucheng_aq",2017-01-10 19:00:00,19,19,51,0.1,15,8,"19","1","3","2017","4",617,689,4,-6.735,1000.5125,38.94,5.4225,"N",9,58.3333333333333,51
"gucheng_aq",2017-01-10 20:00:00,23,23,42,0.1,20,8,"20","1","3","2017","4",561,610,3,-7.0225,1000.215,39.5725,5.11,"NE",8,51.6111111111111,53
"gucheng_aq",2017-01-10 21:00:00,22,27,47,1.1,15,8,"21","1","3","2017","4",507,535.4,3,-7.31,999.9125,40.205,4.8025,"NE",9,44.8888888888889,48
"gucheng_aq",2017-01-10 22:00:00,24,31,54,1.1,11,8,"22","1","3","2017","4",378,460.8,2,-7.3175,999.685,40.2775,5.205,"E",9,38.1666666666667,38
"gucheng_aq",2017-01-10 23:00:00,24,49,61,1.3,6,9,"23","1","3","2017","4",376,386.2,3,-7.325,999.4525,40.345,5.615,"SE",11,31.4444444444444,30
"gucheng_aq",2017-01-11 00:00:00,33,96,69,2.1,4,12,"0","1","4","2017","4",257,311.6,2,-7.33,999.22,40.4125,6.0325,"S",15,24.7222222222222,21
"gucheng_aq",2017-01-11 01:00:00,37,107,66,1.8,6,12,"1","1","4","2017","4",176,237,2,-4.7475,999.04,34.3625,5.605,"S",17,18,25
"gucheng_aq",2017-01-11 02:00:00,62,121,90,3.1,7,30,"2","1","4","2017","4",292,318,3,-2.1625,998.86,28.3125,5.1775,"S",19,20.25,33
"gucheng_aq",2017-01-11 03:00:00,71,114,102,3.5,9,33,"3","1","4","2017","4",340,399,4,0.4225,998.675,22.265,4.75,"SE",14,22.5,37
"gucheng_aq",2017-01-11 04:00:00,85,158,110,3.3,10,31,"4","1","4","2017","4",338,462,6,1.635,998.06,20.6275,5.3575,"SE",16,24.75,40
"gucheng_aq",2017-01-11 05:00:00,99,129,108,3.20208736124341,21,35,"5","1","4","2017","4",353,525,6,2.845,997.445,18.9875,5.995,"SE",22,27,41
