"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"liulihe_aq",2017-01-10 14:00:00,172,221.5,79,1.7,2,16,"14","1","3","2017","4",637,792,2,-4.07,1024.1875,39.5025,7.48,"SW",89,230.050847457628,4
"liulihe_aq",2017-01-10 15:00:00,232,281,92,5.6,2,28,"15","1","3","2017","4",486,533,2,-4.365,1024.07,39.345,6.99,"SW",86,230.27966101695,2
"liulihe_aq",2017-01-10 16:00:00,198,218,89,3.8,2,23,"16","1","3","2017","4",418,517.666666666667,2,-4.725,1023.835,40.1375,6.415,"W",93,230.508474576272,3
"liulihe_aq",2017-01-10 17:00:00,176,180,84,3.7,2,20,"17","1","3","2017","4",440,502.333333333333,2,-5.085,1023.6025,40.9325,5.8525,"W",86,230.737288135594,2
"liulihe_aq",2017-01-10 18:00:00,155,177.875,69,3.8,2,19,"18","1","3","2017","4",475,487,2,-5.445,1023.3675,41.725,5.3025,"NW",84,230.966101694916,2
"liulihe_aq",2017-01-10 19:00:00,155,175.75,60,3.9,2,15,"19","1","3","2017","4",448,478.333333333333,2,-5.785,1023.0425,42.49,4.7075,"N",104,231.194915254238,2
"liulihe_aq",2017-01-10 20:00:00,139,173.625,57,4.5,2,13,"20","1","3","2017","4",478,469.666666666667,1.99382350299094,-6.1275,1022.7175,43.2575,4.1775,"NE",100,231.42372881356,2
"liulihe_aq",2017-01-10 21:00:00,134,171.5,54,0.5,2,13,"21","1","3","2017","4",458,461,2,-6.465,1022.3925,44.02,3.725,"E",95,231.652542372882,2
"liulihe_aq",2017-01-10 22:00:00,137,169.375,59,5.6,2,13,"22","1","3","2017","4",411,450.15,2,-6.615,1022.1425,44.08,3.35,"E",85,231.881355932204,2
"liulihe_aq",2017-01-10 23:00:00,137,167.25,58,6.3,2,13,"23","1","3","2017","4",342,439.3,2,-6.765,1021.8925,44.1375,2.9975,"E",83,232.110169491526,2
"liulihe_aq",2017-01-11 00:00:00,133,165.125,50,0.6,2,13,"0","1","4","2017","4",312,428.45,2,-6.91,1021.6475,44.1925,2.67,"SE",76,232.338983050848,2
