"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"miyun_aq",2017-01-10 14:00:00,22,32,35,0.8,28,6,"14","1","3","2017","4",325,381,2,-6.5275,1005.705,37.9325,4.495,"N",13,20,67
"miyun_aq",2017-01-10 15:00:00,13,22,30,0.5,34,4,"15","1","3","2017","4",233,268,2,-6.82,1005.6725,39.5425,5.105,"N",7,11,69
"miyun_aq",2017-01-10 16:00:00,19,42,31,0.8,30,5,"16","1","3","2017","4",234,261,2,-7.1225,1005.4875,41.19,4.51,"N",8,10,68
"miyun_aq",2017-01-10 17:00:00,26,10,30,1.2,24,5,"17","1","3","2017","4",202,323,2,-7.4225,1005.305,42.8375,3.925,"N",6,8,64
"miyun_aq",2017-01-10 18:00:00,23,50,28,0.1,20,5,"18","1","3","2017","4",173,256,2,-7.725,1005.12,44.4875,3.345,"N",6,11,62
"miyun_aq",2017-01-10 19:00:00,17,36,27,0.8,21,4,"19","1","3","2017","4",168,199,3,-7.97,1004.7975,45.43,2.935,"N",4,7,67
"miyun_aq",2017-01-10 20:00:00,15,22,27,0.8,38,4,"20","1","3","2017","4",129,182.888888888889,2,-8.21,1004.4775,46.38,2.59,"N",6,11,42
"miyun_aq",2017-01-10 21:00:00,12,17,48,0.8,18,4,"21","1","3","2017","4",82,166.777777777778,2,-8.4525,1004.16,47.33,2.3425,"N",9,11,41
"miyun_aq",2017-01-10 22:00:00,13,30,34,0.9,13,3,"22","1","3","2017","4",68,150.666666666667,7,-8.435,1003.8975,46.92,2.825,"N",7,15,38
"miyun_aq",2017-01-10 23:00:00,17,25,33,0.9,11,3,"23","1","3","2017","4",60,134.555555555556,12,-8.4175,1003.6375,46.5075,3.31,"N",14,18,9
"miyun_aq",2017-01-11 00:00:00,19,30,37,1.1,5,3,"0","1","4","2017","4",55,118.444444444445,9,-8.395,1003.3825,46.0925,3.8025,"N",23,38,6
"miyun_aq",2017-01-11 01:00:00,23,42,41,0.1,4,6,"1","1","4","2017","4",52,102.333333333333,15,-5.9475,1003.1825,39.5025,4.055,"N",19,28,27
"miyun_aq",2017-01-11 02:00:00,33,57,45,1.1,4,10,"2","1","4","2017","4",42,86.2222222222224,19,-3.5,1002.985,32.9075,4.465,"SW",17,24,40
"miyun_aq",2017-01-11 03:00:00,34,57,47,1.1,7,17,"3","1","4","2017","4",44,70.1111111111113,25,-1.055,1002.7875,26.3175,4.985,"S",13,17,44
"miyun_aq",2017-01-11 04:00:00,33,54,45,0.9,16,28,"4","1","4","2017","4",37,54,35,0.2125,1002.2175,24.5575,7.345,"S",10,13,51
"miyun_aq",2017-01-11 05:00:00,44,67,59,0.923485534132055,30,26,"5","1","4","2017","4",101,245,56,1.4775,1001.645,22.7975,9.71,"S",10,12,55
"miyun_aq",2017-01-11 06:00:00,46,52,50,0.920302537698008,34,27,"6","1","4","2017","4",198,216,42,2.7425,1001.0725,21.035,12.08,"S",9,11,62
"miyun_aq",2017-01-11 07:00:00,33,49,24,0.917119541263961,64,11,"7","1","4","2017","4",226,247,40,1.195,1000.66,24.9875,10.555,"S",13,19,64
"miyun_aq",2017-01-11 08:00:00,18,35,18,0.913936544829914,66,8,"8","1","4","2017","4",235,257,32,-0.3575,1000.245,28.935,9.155,"S",16,19,55
"miyun_aq",2017-01-11 09:00:00,19,62,29,0.910753548395866,58,17,"9","1","4","2017","4",258,300,14,-1.9075,999.8325,32.885,7.955,"S",18,38,36
"miyun_aq",2017-01-11 10:00:00,39,75,65,0.907570551961819,20,24,"10","1","4","2017","4",263,292,3,-2.2775,1000.095,35.27,8.5125,"S",35,69,22
"miyun_aq",2017-01-11 11:00:00,54,77,73,0.904387555527772,12,18,"11","1","4","2017","4",279,317,3,-2.6475,1000.36,37.6525,9.655,"SW",49,83,13
"miyun_aq",2017-01-11 12:00:00,60,94,80,0.901204559093725,9,17,"12","1","4","2017","4",303,352,2,-3.0175,1000.6225,40.0425,11.205,"SW",55,76,6
"miyun_aq",2017-01-11 13:00:00,63,92,82,0.898021562659677,9,15,"13","1","4","2017","4",355,439,2,-3.3075,1000.7125,42.1725,11.0525,"SW",54,78,5
"miyun_aq",2017-01-11 14:00:00,46,50,57,0.89483856622563,24,18,"14","1","4","2017","4",377,448,2,-3.6,1000.8025,44.2975,10.9125,"W",57,82,6
"miyun_aq",2017-01-11 15:00:00,16,17,38,0.891655569791583,60,11,"15","1","4","2017","4",334,406,2,-3.8875,1000.89,46.4225,10.7725,"NW",66,89,6
"miyun_aq",2017-01-11 16:00:00,25,27,29,0.888472573357535,47,16,"16","1","4","2017","4",301,400,2,-4.3175,1000.9425,47.4525,10.225,"W",62,81,22
"miyun_aq",2017-01-11 17:00:00,33,35,40,0.885289576923488,32,4,"17","1","4","2017","4",312,422,2,-4.745,1000.9975,48.4775,9.6875,"W",42,58,38
"miyun_aq",2017-01-11 18:00:00,28,28,42,0.882106580489441,27,9,"18","1","4","2017","4",297,427,2,-5.175,1001.055,49.51,9.1575,"W",35,48,38
"miyun_aq",2017-01-11 19:00:00,24,29,46,0.878923584055394,15,8,"19","1","4","2017","4",278,434,2,-5.5225,1001.0125,49.1925,8.925,"SW",27,9,41
"miyun_aq",2017-01-11 20:00:00,22,20,39,0.875740587621346,28,3,"20","1","4","2017","4",279,409,2,-5.87,1000.9725,48.8775,8.7275,"SW",4,10,62
"miyun_aq",2017-01-11 21:00:00,20,28,53,0.872557591187299,13,3,"21","1","4","2017","4",298,402,2,-6.215,1000.9325,48.565,8.575,"SW",3,6,59
"miyun_aq",2017-01-11 22:00:00,23,23,45,0.869374594753251,12,13,"22","1","4","2017","4",322,422,2,-6.32,1000.8175,47.245,8.615,"W",8,12,44
"miyun_aq",2017-01-11 23:00:00,26,44,62,0.866191598319204,12,7,"23","1","4","2017","4",309,361,2,-6.42,1000.6975,45.9275,8.675,"W",9,16,31
"miyun_aq",2017-01-12 00:00:00,23,42,64,0.863008601885156,1,10,"0","1","5","2017","4",287,329,2,-6.525,1000.5825,44.61,8.7525,"W",15,40,19
"miyun_aq",2017-01-12 01:00:00,39,59,52,0.859825605451109,9,4,"1","1","5","2017","4",316,402,2,-4.4825,999.9675,38.4225,7.3775,"W",18,39,20
"miyun_aq",2017-01-12 02:00:00,44,73,48,0.856642609017062,15,9,"2","1","5","2017","4",315,397,2,-2.445,999.36,32.2425,6.03,"SW",11,28,34
"miyun_aq",2017-01-12 03:00:00,33,53,41,0.853459612583014,23,24,"3","1","5","2017","4",303,350,2,-0.4075,998.745,26.06,4.735,"SW",11,18,49
"miyun_aq",2017-01-12 04:00:00,31,38,26,0.850276616148967,51,14,"4","1","5","2017","4",304,367,5,0.605,998,24.3375,5.545,"SW",11,12,62
"miyun_aq",2017-01-12 05:00:00,22,24,17,0.847093619714919,69,5,"5","1","5","2017","4",298,365,11,1.625,997.2525,22.6175,8.615,"S",4,6,69
