"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"nansanhuan_aq",2017-01-10 14:00:00,100,132,94,1.8,2,31,"14","1","3","2017","4",631,665,2,-3.94,1023.9225,36.9825,7.3975,"SW",14,114.75,30
"nansanhuan_aq",2017-01-10 15:00:00,89,118,89,1.7,2,32,"15","1","3","2017","4",627,687,2,-4.3825,1023.8625,37.37,6.32,"SW",17,113.285714285714,31
"nansanhuan_aq",2017-01-10 16:00:00,91,108,83,1.6,2,33,"16","1","3","2017","4",627,694,2,-4.81,1023.6625,38.36,5.4325,"S",15,111.821428571429,35
"nansanhuan_aq",2017-01-10 17:00:00,103,119,82,1.8,2,29,"17","1","3","2017","4",652,741,3,-5.2375,1023.465,39.35,4.555,"E",15,110.357142857143,34
"nansanhuan_aq",2017-01-10 18:00:00,109,140,88,0.2,2,31,"18","1","3","2017","4",618,723,2,-5.6675,1023.2625,40.3375,3.6925,"NE",13,108.892857142857,34
"nansanhuan_aq",2017-01-10 19:00:00,115,134,86,2.1,2,37,"19","1","3","2017","4",617,690,2,-6.025,1022.965,41.255,3.205,"E",11,107.428571428571,31
"nansanhuan_aq",2017-01-10 20:00:00,127,133,88,2.7,2,33,"20","1","3","2017","4",585,653,2,-6.3775,1022.665,42.18,2.735,"E",10,105.964285714286,45
"nansanhuan_aq",2017-01-10 21:00:00,125,150,92,2.8,2,31,"21","1","3","2017","4",512,547,2,-6.735,1022.37,43.1,2.31,"E",8,104.5,45
"nansanhuan_aq",2017-01-10 22:00:00,93,102,96,2.5,2,27,"22","1","3","2017","4",509,568,2,-6.84,1022.1175,43.135,2.265,"E",11,103.035714285714,38
"nansanhuan_aq",2017-01-10 23:00:00,80,129,111,2.7,2,25,"23","1","3","2017","4",544,589,2,-6.9425,1021.87,43.1675,2.28,"E",12,101.571428571429,29
"nansanhuan_aq",2017-01-11 00:00:00,82,124,97,2.9,2,23,"0","1","4","2017","4",517,550,2,-7.045,1021.625,43.2,2.3625,"SE",15,100.107142857143,16
"nansanhuan_aq",2017-01-11 01:00:00,64,111,89,2.8,2,24,"1","1","4","2017","4",512,527.333333333333,2,-4.4,1021.4025,36.3875,2.535,"SE",14,98.6428571428572,24
"nansanhuan_aq",2017-01-11 02:00:00,67,117,94,2.9,2,25,"2","1","4","2017","4",546,504.666666666667,2,-1.7525,1021.18,29.5775,2.72,"SE",14,97.1785714285714,29
"nansanhuan_aq",2017-01-11 03:00:00,87,124,108,3.1,2,29,"3","1","4","2017","4",600,482,2,0.8925,1020.9575,22.7625,2.9225,"SE",17,95.7142857142857,29
"nansanhuan_aq",2017-01-11 04:00:00,118,153,151,4.1,3,33,"4","1","4","2017","4",626,459.333333333333,2,2.1875,1020.295,20.825,3.115,"SE",15,94.25,26
"nansanhuan_aq",2017-01-11 05:00:00,107,136.5,139.5,3.63612803587441,5.55787232951854,36,"5","1","4","2017","4",552,436.666666666667,2,3.485,1019.6325,18.8875,3.3825,"SE",19,92.7857142857143,27
"nansanhuan_aq",2017-01-11 06:00:00,96,120,128,3.61915464778687,8,39,"6","1","4","2017","4",3,414,3,4.7775,1018.965,16.945,3.725,"SE",21,91.3214285714286,31
"nansanhuan_aq",2017-01-11 07:00:00,127,134,129,3.60218125969933,4,36,"7","1","4","2017","4",3,366,5,2.6675,1018.5175,20.8575,3.8925,"SE",30,89.8571428571429,38
"nansanhuan_aq",2017-01-11 08:00:00,149,167,135,3.5852078716118,6,50,"8","1","4","2017","4",268,406,3,0.5525,1018.0725,24.7625,4.08,"E",41,88.3928571428572,29
"nansanhuan_aq",2017-01-11 09:00:00,126,150,125,3.56823448352426,9,45,"9","1","4","2017","4",405,400.133333333333,2,-1.5625,1017.62,28.6725,4.28,"E",53,86.9285714285714,20
"nansanhuan_aq",2017-01-11 10:00:00,109,140,126,3.55126109543672,9,36,"10","1","4","2017","4",369,394.266666666667,2,-1.6225,1017.825,30.7075,4.6,"E",61,85.4642857142857,11
"nansanhuan_aq",2017-01-11 11:00:00,129,166,123,3.53428770734919,6,39,"11","1","4","2017","4",441,388.4,2,-1.68,1018.0225,32.7475,7.2825,"NE",79,84,9
"nansanhuan_aq",2017-01-11 12:00:00,137,186,132,3.51731431926165,6,49,"12","1","4","2017","4",424,382.533333333333,2,-1.74,1018.2175,34.79,10.5775,"NE",109,122,2
"nansanhuan_aq",2017-01-11 13:00:00,129,159,128,3.50034093117411,6,49,"13","1","4","2017","4",372,376.666666666667,2,-2.0225,1018.3575,37.4275,10.56,"NE",144,166,2
"nansanhuan_aq",2017-01-11 14:00:00,131,162,112,3.48336754308657,9,32,"14","1","4","2017","4",379,370.8,2,-2.305,1018.495,40.0675,10.55,"NE",164,189,2
"nansanhuan_aq",2017-01-11 15:00:00,59,72,103,3.46639415499904,6,36,"15","1","4","2017","4",322,364.933333333333,2,-2.59,1018.635,42.7075,10.5575,"NE",172,185,2
"nansanhuan_aq",2017-01-11 16:00:00,33,55,75,3.4494207669115,9,34,"16","1","4","2017","4",265,359.066666666667,2,-2.875,1018.655,43.5625,10.8375,"NE",179,194,2
"nansanhuan_aq",2017-01-11 17:00:00,25,38,82,3.43244737882396,5,33,"17","1","4","2017","4",175,353.2,2,-3.1625,1018.6825,44.415,11.19,"NE",58,85,34
"nansanhuan_aq",2017-01-11 18:00:00,37,36,70,3.41547399073642,16,34,"18","1","4","2017","4",147,347.333333333333,2,-3.4475,1018.7025,45.265,11.605,"NE",7,19,56
"nansanhuan_aq",2017-01-11 19:00:00,34,35,66,3.39850060264889,16,21,"19","1","4","2017","4",162,341.466666666667,2,-3.82,1018.65,45.8075,11.26,"NE",8,40,40
"nansanhuan_aq",2017-01-11 20:00:00,26,34,63,3.38152721456135,27,20,"20","1","4","2017","4",177,335.6,2,-4.1925,1018.595,46.345,10.915,"NE",9,13,41
"nansanhuan_aq",2017-01-11 21:00:00,32,38,70,3.36455382647381,24,32,"21","1","4","2017","4",203,329.733333333333,2,-4.565,1018.5375,46.885,10.5725,"NE",7,14,42
"nansanhuan_aq",2017-01-11 22:00:00,37,33,84,3.34758043838628,9,27,"22","1","4","2017","4",256,323.866666666667,2,-4.8625,1018.49,47.335,9.485,"NE",4,12,46
"nansanhuan_aq",2017-01-11 23:00:00,25,44,80,3.33060705029874,8,26,"23","1","4","2017","4",301,318,2,-5.16,1018.4425,47.78,8.4075,"NE",6,10,42
"nansanhuan_aq",2017-01-12 00:00:00,38,39,75,3.3136336622112,14,19,"0","1","5","2017","4",257,297,2,-5.46,1018.395,48.23,7.3475,"N",8,15,28
"nansanhuan_aq",2017-01-12 01:00:00,35,58,75,3.29666027412366,21,18,"1","1","5","2017","4",254,272,2,-3.1375,1017.8375,41.66,5.4175,"N",10,19,33
"nansanhuan_aq",2017-01-12 02:00:00,43,57,86,3.27968688603613,7,25,"2","1","5","2017","4",258,286,2,-0.8125,1017.285,35.0875,3.7525,"NE",8,30,46
"nansanhuan_aq",2017-01-12 03:00:00,46,63,77,3.26271349794859,24,31,"3","1","5","2017","4",266,282.47619047619,2,1.505,1016.73,28.515,2.925,"NE",6,24,45
"nansanhuan_aq",2017-01-12 04:00:00,70,87,70,3.24574010986105,24,45,"4","1","5","2017","4",257,278.952380952381,2,2.495,1015.99,26.5,4.2325,"NE",8,24,39
"nansanhuan_aq",2017-01-12 05:00:00,90,91,81,3.22876672177351,28,43,"5","1","5","2017","4",244,275.428571428571,2,3.49,1015.2525,24.4825,6.2625,"E",7,31,46
"nansanhuan_aq",2017-01-12 06:00:00,73,100,71,3.21179333368598,28,31,"6","1","5","2017","4",214,271.904761904762,2,4.48,1014.5125,22.4675,8.5225,"E",11,42,52
"nansanhuan_aq",2017-01-12 07:00:00,93,109,87,3.19481994559844,24,35,"7","1","5","2017","4",199,268.380952380952,2,2.78,1014.1675,27.28,8.3775,"SE",10,39,42
"nansanhuan_aq",2017-01-12 08:00:00,119,125,91,3.1778465575109,25,46,"8","1","5","2017","4",194,264.857142857143,2,1.08,1013.825,32.0925,8.265,"SE",37,101,27
"nansanhuan_aq",2017-01-12 09:00:00,116,129,98,3.16087316942337,21,43,"9","1","5","2017","4",191,261.333333333333,2,-0.6225,1013.48,36.905,8.19,"SE",64,98,13
"nansanhuan_aq",2017-01-12 10:00:00,134,150,120,3.14389978133583,1,35,"10","1","5","2017","4",196,257.809523809524,2,-0.945,1013.9225,36.58,5.24,"SE",80,114,4
"nansanhuan_aq",2017-01-12 11:00:00,149,186,128,3.12692639324829,1,39,"11","1","5","2017","4",197,254.285714285714,2,-1.2675,1014.3625,36.2525,5.875,"SE",78,117,4
"nansanhuan_aq",2017-01-12 12:00:00,176,197,139,3.10995300516075,6,41,"12","1","5","2017","4",195,250.761904761905,2,-1.59,1014.8075,35.925,9.425,"SE",89,124,2
"nansanhuan_aq",2017-01-12 13:00:00,136,147,100,3.09297961707322,13,38,"13","1","5","2017","4",211,247.238095238095,2,-1.6825,1015.1725,36.8075,10.9175,"S",90,126,2
"nansanhuan_aq",2017-01-12 14:00:00,19,41,32,3.07600622898568,60,23,"14","1","5","2017","4",233,243.714285714286,2,-1.775,1015.5425,37.69,12.525,"S",100,132,2
"nansanhuan_aq",2017-01-12 15:00:00,18,41,38,3.05903284089814,59,15,"15","1","5","2017","4",217,240.190476190476,2,-1.8675,1015.91,38.5725,14.2075,"S",89,118,2
"nansanhuan_aq",2017-01-12 16:00:00,19,23,23,3.0420594528106,62,17,"16","1","5","2017","4",204,236.666666666667,2,-2.4925,1016.505,38.5225,13.345,"S",91,108,2
"nansanhuan_aq",2017-01-12 17:00:00,5,15,22,3.02508606472307,66,12,"17","1","5","2017","4",222,233.142857142857,2,-3.1125,1017.1,38.4725,12.71,"S",103,119,2
"nansanhuan_aq",2017-01-12 18:00:00,21,23,26,3.00811267663553,65,10,"18","1","5","2017","4",230,229.619047619048,2,-3.735,1017.695,38.425,12.34,"S",109,140,2
"nansanhuan_aq",2017-01-12 19:00:00,15,16.5,22,2.99113928854799,58,17,"19","1","5","2017","4",226,226.095238095238,2,-4.155,1018.08,37.8325,12.6175,"S",115,134,2
"nansanhuan_aq",2017-01-12 20:00:00,15,10,28,2.97416590046045,55,15,"20","1","5","2017","4",201,222.571428571429,2,-4.5775,1018.4625,37.24,12.9,"SE",127,133,2
"nansanhuan_aq",2017-01-12 21:00:00,18,17,32,2.95719251237292,53,13,"21","1","5","2017","4",178,219.047619047619,2,-4.9975,1018.8475,36.6475,13.1875,"E",125,150,2
"nansanhuan_aq",2017-01-12 22:00:00,21,25,47,2.94021912428538,38,16,"22","1","5","2017","4",171,215.52380952381,2,-5.3125,1019.3875,36.155,12.7725,"E",93,102,2
"nansanhuan_aq",2017-01-12 23:00:00,18,40,82,2.92324573619784,24,20,"23","1","5","2017","4",196,212,2,-5.63,1019.93,35.6575,12.3625,"E",80,129,2
"nansanhuan_aq",2017-01-13 00:00:00,16,36,63,2.9062723481103,11,13,"0","1","6","2017","4",217,210.446428571429,2,-5.945,1020.465,35.165,11.9625,"E",82,124,2
"nansanhuan_aq",2017-01-13 01:00:00,14,29,59,2.88929896002277,26,24,"1","1","6","2017","4",216,208.892857142857,2,-4.1925,1020.9,29.445,14.43,"SE",64,111,2
"nansanhuan_aq",2017-01-13 02:00:00,25,43,54,2.87232557193523,39,21,"2","1","6","2017","4",211,207.339285714286,2,-2.44,1021.3275,23.7275,17.5425,"SE",67,117,2
"nansanhuan_aq",2017-01-13 03:00:00,23,41,47,2.85535218384769,48,9,"3","1","6","2017","4",206,205.785714285714,2,-0.6875,1021.7575,18.01,21.0175,"SE",87,124,2
"nansanhuan_aq",2017-01-13 04:00:00,17,23,38,2.83837879576016,53,14,"4","1","6","2017","4",205,204.232142857143,2,0.16,1021.3975,16.165,20.2075,"SE",118,153,3
"nansanhuan_aq",2017-01-13 05:00:00,17,28,34,2.82140540767262,57,16,"5","1","6","2017","4",216,202.678571428571,2,1.01,1021.04,14.32,19.41,"S",107,136.5,5.55787232951854
"nansanhuan_aq",2017-01-13 06:00:00,17,19,33,2.80443201958508,51,17,"6","1","6","2017","4",220,201.125,2,1.8625,1020.6825,12.4775,18.625,"S",96,120,8
"nansanhuan_aq",2017-01-13 07:00:00,11,31,40,2.78745863149754,55,17,"7","1","6","2017","4",193,199.571428571429,2,0.58,1020.7425,14.19,15.8825,"SE",127,134,4
"nansanhuan_aq",2017-01-13 08:00:00,17,33,24,2.77048524341001,63,7,"8","1","6","2017","4",196,198.017857142857,2,-0.705,1020.81,15.8975,13.2825,"SE",149,167,6
