"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"xizhimenbei_aq",2017-01-10 14:00:00,92,108,95,1.5,2,17,"14","1","3","2017","4",560,559,5,-4.6125,1021.9725,37.19,6.3575,"SW",16,50,36
"xizhimenbei_aq",2017-01-10 15:00:00,97,108,94,1.6,2,18,"15","1","3","2017","4",557,559,5,-5.13,1021.93,38.2425,5.8525,"S",17,32,33
"xizhimenbei_aq",2017-01-10 16:00:00,102,110,95,1.7,2,32,"16","1","3","2017","4",572,575,5,-5.52,1021.735,39.19,5.2025,"S",15,33,34
"xizhimenbei_aq",2017-01-10 17:00:00,106,108,88,1.8,2,52,"17","1","3","2017","4",619,567.166666666667,5,-5.9075,1021.545,40.1375,4.58,"NE",13,27,35
"xizhimenbei_aq",2017-01-10 18:00:00,110,109,82,1.5,2,31,"18","1","3","2017","4",650,559.333333333333,5,-6.295,1021.3475,41.085,3.9925,"NE",13,29,33
"xizhimenbei_aq",2017-01-10 19:00:00,107,110,86,2.5,2,30,"19","1","3","2017","4",598,551.5,6,-6.6425,1021.055,41.9025,3.5525,"NE",15,34,41
"xizhimenbei_aq",2017-01-10 20:00:00,80,119,90,2.7,2.4277579555567,30,"20","1","3","2017","4",511,543.666666666667,5,-6.985,1020.7575,42.725,3.1125,"NE",14,32,47.031150016317
"xizhimenbei_aq",2017-01-10 21:00:00,74,88,91,3.6,3,33,"21","1","3","2017","4",519,535.833333333333,5,-7.3275,1020.4675,43.5425,2.675,"E",11,22,52
"xizhimenbei_aq",2017-01-10 22:00:00,58,82,91,0.3,3,31,"22","1","3","2017","4",471,528,5,-7.3725,1020.22,43.47,3.0125,"E",13,16,49
"xizhimenbei_aq",2017-01-10 23:00:00,62,95,93,3.3,3,36,"23","1","3","2017","4",372,520.166666666667,4,-7.4125,1019.98,43.39,3.3725,"E",15,21,32
"xizhimenbei_aq",2017-01-11 00:00:00,61,82,94,3.5,3,31,"0","1","4","2017","4",331,512.333333333333,5,-7.455,1019.735,43.3125,3.75,"SE",14,20,27
"xizhimenbei_aq",2017-01-11 01:00:00,51,70,86,2.7,3,26,"1","1","4","2017","4",330,504.5,5,-4.6975,1019.505,36.44,3.825,"SE",15,27,27
"xizhimenbei_aq",2017-01-11 02:00:00,43,54,84,2.1,4,24,"2","1","4","2017","4",367,496.666666666667,5,-1.935,1019.28,29.57,3.9125,"SE",15,23,37
"xizhimenbei_aq",2017-01-11 03:00:00,60,76,88,2.3,6,29,"3","1","4","2017","4",347,488.833333333333,6,0.8275,1019.05,22.7,4.015,"SE",18,27,41
"xizhimenbei_aq",2017-01-11 04:00:00,69,71,95,2.4,8,27,"4","1","4","2017","4",239,481,10,2.255,1018.3625,20.6725,5.075,"SE",18,19,46
"xizhimenbei_aq",2017-01-11 05:00:00,68,64,99,2.36087995024602,23,33,"5","1","4","2017","4",157,473.166666666667,14,3.6875,1017.68,18.6425,6.1525,"SE",17,21,40
"xizhimenbei_aq",2017-01-11 06:00:00,48,57,80,2.35285510399,28,19,"6","1","4","2017","4",215,465.333333333333,27,5.1125,1016.99,16.6125,7.2375,"SE",19,30,42
"xizhimenbei_aq",2017-01-11 07:00:00,56,59,98,2.34483025773397,24,30,"7","1","4","2017","4",304,457.5,13,2.9125,1016.5825,20.8675,6.7275,"SE",30,43,40
"xizhimenbei_aq",2017-01-11 08:00:00,63,95,111,2.33680541147795,7,32,"8","1","4","2017","4",333,449.666666666667,10,0.7075,1016.18,25.1175,6.2225,"E",38,52,43
"xizhimenbei_aq",2017-01-11 09:00:00,104,130,122,2.32878056522192,14,35,"9","1","4","2017","4",366,441.833333333333,6,-1.5,1015.77,29.37,5.7325,"E",52,67,23
"xizhimenbei_aq",2017-01-11 10:00:00,108,121,119,2.32075571896589,1,41,"10","1","4","2017","4",357,434,5,-1.6925,1016.0075,32.3025,6.9775,"E",52,62,22
"xizhimenbei_aq",2017-01-11 11:00:00,76,71,107,2.31273087270987,13,35,"11","1","4","2017","4",360,426.166666666667,5,-1.88,1016.2375,35.2325,9.0075,"E",76,82,21
"xizhimenbei_aq",2017-01-11 12:00:00,61,66,104,2.30470602645384,11,24,"12","1","4","2017","4",378,418.333333333333,5,-2.0725,1016.465,38.1675,11.3725,"NE",98,105,14
"xizhimenbei_aq",2017-01-11 13:00:00,80,108,105,2.29668118019782,10,35,"13","1","4","2017","4",394,410.5,4,-2.345,1016.5975,40.4675,11.285,"NE",123,132,9
"xizhimenbei_aq",2017-01-11 14:00:00,70,69,105,2.28865633394179,12,20,"14","1","4","2017","4",395,402.666666666667,4,-2.6175,1016.7275,42.77,11.2,"NE",135,117,5
"xizhimenbei_aq",2017-01-11 15:00:00,34,39,90,2.28063148768577,10,25,"15","1","4","2017","4",376,394.833333333333,4,-2.89,1016.86,45.0725,11.13,"NE",98,102,8
"xizhimenbei_aq",2017-01-11 16:00:00,40,33,87,2.27260664142974,14,21,"16","1","4","2017","4",258,387,3,-3.1625,1016.895,45.4575,11.2825,"NE",31,48,25
"xizhimenbei_aq",2017-01-11 17:00:00,34,35,82,2.26458179517372,21,24,"17","1","4","2017","4",190,379.166666666667,3,-3.435,1016.935,45.8425,11.4975,"NE",15,31,38
"xizhimenbei_aq",2017-01-11 18:00:00,23,34.5,48,2.25655694891769,44,13,"18","1","4","2017","4",168,371.333333333333,3,-3.7025,1016.9675,46.225,11.765,"E",13,50,29
"xizhimenbei_aq",2017-01-11 19:00:00,20,34,72,2.24853210266167,31,19,"19","1","4","2017","4",167,363.5,3,-4.0575,1016.9025,46.6425,11.56,"E",12,35,35
"xizhimenbei_aq",2017-01-11 20:00:00,28,35,82,2.24050725640564,24,19,"20","1","4","2017","4",183,355.666666666667,2.48681100620628,-4.41,1016.8325,47.06,11.3525,"E",11,25,37
"xizhimenbei_aq",2017-01-11 21:00:00,26,31,70,2.23248241014962,29,24,"21","1","4","2017","4",279,347.833333333333,2,-4.765,1016.7625,47.4775,11.1525,"E",8,25,46
"xizhimenbei_aq",2017-01-11 22:00:00,27,31,66,2.2244575638936,26,23,"22","1","4","2017","4",326,340,2,-4.9925,1016.6825,47.555,10.41,"NE",6,15,43
"xizhimenbei_aq",2017-01-11 23:00:00,27,34,70,2.21643271763757,19,21,"23","1","4","2017","4",288,303,2,-5.2225,1016.6075,47.63,9.685,"N",9,23,18
"xizhimenbei_aq",2017-01-12 00:00:00,19,37,80,2.20840787138155,20,13,"0","1","5","2017","4",267,271,2,-5.45,1016.5325,47.7075,8.98,"N",15,26,8
"xizhimenbei_aq",2017-01-12 01:00:00,31,47,79,2.20038302512552,20,14,"1","1","5","2017","4",264,267.555555555556,2,-3.12,1015.9425,41.0675,7.235,"N",11,24,25
"xizhimenbei_aq",2017-01-12 02:00:00,28,36,58,2.1923581788695,29,14,"2","1","5","2017","4",271,264.111111111111,2,-0.78,1015.3625,34.4275,5.57,"N",9,21,36
"xizhimenbei_aq",2017-01-12 03:00:00,24,44,45,2.18433333261347,48,12,"3","1","5","2017","4",256,260.666666666667,2,1.5525,1014.7775,27.7875,4.1,"NE",8,21,52
"xizhimenbei_aq",2017-01-12 04:00:00,36,48,49,2.17630848635745,51,26,"4","1","5","2017","4",232,257.222222222222,2,2.635,1014.0125,25.5,4.8,"E",7,31,64
"xizhimenbei_aq",2017-01-12 05:00:00,74,86,75,2.16828364010142,43,29,"5","1","5","2017","4",206,253.777777777778,3,3.7175,1013.25,23.2175,6.4975,"E",11,31,68
"xizhimenbei_aq",2017-01-12 06:00:00,89,87,85,2.1602587938454,35,42,"6","1","5","2017","4",203.8,250.333333333333,2.8950613618984,4.8,1012.4875,20.93,8.625,"SE",8,24,66
"xizhimenbei_aq",2017-01-12 07:00:00,86,101,86,2.15223394758937,27,44,"7","1","5","2017","4",201.6,246.888888888889,2.71573599522571,2.91,1012.18,25.7675,8.2175,"SE",7,24,63
"xizhimenbei_aq",2017-01-12 08:00:00,87,88,87,2.14420910133335,34,40,"8","1","5","2017","4",199.4,243.444444444445,2.48887994760382,1.02,1011.875,30.605,7.9225,"SE",5,19,62
"xizhimenbei_aq",2017-01-12 09:00:00,96,102,102,2.13618425507732,16,40,"9","1","5","2017","4",197.2,240,2.24134926665462,-0.8725,1011.5725,35.445,7.7575,"SE",10,20,49
"xizhimenbei_aq",2017-01-12 10:00:00,101,116,115,2.1281594088213,21,27,"10","1","5","2017","4",195,236.555555555556,2,-1.1625,1012.0775,35.3325,6.0325,"SE",22,43,27
"xizhimenbei_aq",2017-01-12 11:00:00,144,147,118,2.12013456256527,17,38,"11","1","5","2017","4",220,233.111111111111,2,-1.4525,1012.58,35.2275,7.1975,"SE",84,110,8
"xizhimenbei_aq",2017-01-12 12:00:00,154,116.5,122,2.11210971630925,15,33,"12","1","5","2017","4",226,229.666666666667,2,-1.74,1013.0825,35.115,10.33,"SE",106,118,3
"xizhimenbei_aq",2017-01-12 13:00:00,59,86,64,2.10408487005322,43,20,"13","1","5","2017","4",210,226.222222222222,2,-1.9175,1013.4475,36.76,11.33,"S",104,115,2
"xizhimenbei_aq",2017-01-12 14:00:00,15,57,22,2.0960600237972,66,18,"14","1","5","2017","4",200,222.777777777778,2,-2.095,1013.8125,38.4025,12.395,"S",92,108,2
"xizhimenbei_aq",2017-01-12 15:00:00,19,36,22.5,2.08803517754117,73.9948714627118,15,"15","1","5","2017","4",217,219.333333333334,2,-2.27,1014.1725,40.045,13.5075,"S",97,108,2
"xizhimenbei_aq",2017-01-12 16:00:00,23,15,23,2.08001033128515,79,12,"16","1","5","2017","4",202,215.888888888889,2,-2.9975,1014.7725,39.9675,12.2225,"S",102,110,2
"xizhimenbei_aq",2017-01-12 17:00:00,3,15,25,2.07198548502912,70,15,"17","1","5","2017","4",183,212.444444444445,2,-3.725,1015.365,39.8875,11.0575,"S",106,108,2
"xizhimenbei_aq",2017-01-12 18:00:00,15,26,36,2.0639606387731,45,10,"18","1","5","2017","4",184,209,2,-4.4525,1015.9625,39.8125,10.0675,"SE",110,109,2
"xizhimenbei_aq",2017-01-12 19:00:00,5,24,32,2.05593579251707,57,10,"19","1","5","2017","4",188,205.555555555556,2,-4.865,1016.36,39.17,10.175,"SE",107,110,2
"xizhimenbei_aq",2017-01-12 20:00:00,24,18.5,30,2.04791094626105,59.7934111391043,14,"20","1","5","2017","4",174,202.111111111111,2,-5.2725,1016.7575,38.5275,10.295,"E",80,119,2.4277579555567
"xizhimenbei_aq",2017-01-12 21:00:00,10,13,40,2.03988610000502,62,11,"21","1","5","2017","4",168,198.666666666667,2,-5.6825,1017.155,37.885,10.42,"E",74,88,3
"xizhimenbei_aq",2017-01-12 22:00:00,14,26,44,2.031861253749,58,9,"22","1","5","2017","4",172,195.222222222223,2,-5.985,1017.69,37.4675,10.215,"E",58,82,3
"xizhimenbei_aq",2017-01-12 23:00:00,15,32,48,2.02383640749297,47,18,"23","1","5","2017","4",177,191.777777777778,2,-6.29,1018.225,37.045,10.0225,"E",62,95,3
"xizhimenbei_aq",2017-01-13 00:00:00,13,38,63,2.01581156123695,32,18,"0","1","6","2017","4",175,188.333333333334,2,-6.5925,1018.755,36.6275,9.84,"E",61,82,3
"xizhimenbei_aq",2017-01-13 01:00:00,22,37,50,2.00778671498092,40,14,"1","1","6","2017","4",173,184.888888888889,2,-4.7875,1019.175,30.4175,13.3775,"SE",51,70,3
"xizhimenbei_aq",2017-01-13 02:00:00,19,36,44,1.9997618687249,45,20,"2","1","6","2017","4",184,181.444444444445,2,-2.9825,1019.5925,24.215,17.2975,"SE",43,54,4
"xizhimenbei_aq",2017-01-13 03:00:00,26,25,44,1.99173702246887,55,16,"3","1","6","2017","4",202,178,3,-1.1775,1020.0125,18.01,21.3875,"SE",60,76,6
"xizhimenbei_aq",2017-01-13 04:00:00,16,34,32,1.98371217621285,65,5,"4","1","6","2017","4",221,174.555555555556,4,-0.31,1019.6425,16.17,20.8875,"SE",69,71,8
"xizhimenbei_aq",2017-01-13 05:00:00,21,33,27,1.97568732995682,75,3,"5","1","6","2017","4",228,171.111111111112,5,0.56,1019.2725,14.33,20.385,"SE",68,64,23
"xizhimenbei_aq",2017-01-13 06:00:00,22,31,28,1.9676624837008,67,11,"6","1","6","2017","4",228,167.666666666667,6,1.4275,1018.905,12.4925,19.8925,"SE",48,57,28
"xizhimenbei_aq",2017-01-13 07:00:00,17,24,29,1.95963763744477,77,8,"7","1","6","2017","4",229,164.222222222223,4.80064058717749,0.1925,1018.9775,14.2925,17.1,"SE",56,59,24
"xizhimenbei_aq",2017-01-13 08:00:00,17,23,30,1.95161279118875,72,15,"8","1","6","2017","4",230,160.777777777778,3.40897981214469,-1.04,1019.055,16.09,14.3625,"SE",63,95,7
