"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"BL0",2018-03-31 07:00:00,8.5,8.8,44.8,"7","3","7",2018,1,22.3,27.6,5.3,16.7,5.2625,989.764875,82.5,10.9775,"S","cloudy"
"BL0",2018-03-31 08:00:00,4.9,10.8,68.1,"8","3","7",2018,1,25.6,28.8,3.2,16.8,5.8325,990.999025,77.75,11.325,"SW","cloudy"
"BL0",2018-03-31 09:00:00,2.4,5.6,54.1,"9","3","7",2018,1,24.9,30.7,3.9,12.9,6.395,990.456875,76.5,11.48,"SW","cloudy"
"BL0",2018-03-31 10:00:00,4.6,6.5,59.9,"10","3","7",2018,1,22.2,28.8,3.9,12.7,6.41,992.531275,72.5,9.815,"SW","rainy"
"BL0",2018-03-31 11:00:00,4.4,7,50.5,"11","3","7",2018,1,22.5,27.5,5.4,14.2,7.0675,991.992625,72.5,8.12,"SW","cloudy"
"BL0",2018-03-31 12:00:00,6.6,8.8,43.6,"12","3","7",2018,1,20.7,27.4,6.7,15,7.7725,992.35505,69.75,6.9825,"W","cloudy"
"BL0",2018-03-31 13:00:00,8.7,10.9,43.4,"13","3","7",2018,1,20,25.7,3.1,10.1,8.42,992.571375,67,7.2475,"W","rainy"
"BL0",2018-03-31 14:00:00,7.6,12.6,38.8,"14","3","7",2018,1,23.4,33.6,1.4,4.2,8.9125,992.73295,65,8.565,"NW","rainy"
"BL0",2018-03-31 15:00:00,10.2,13.1,35.8,"15","3","7",2018,1,25.4,36.5,0.8,5.1,9.13,992.9583,64,10.2975,"NW","rainy"
"BL0",2018-03-31 16:00:00,7.7,13.2,32.3,"16","3","7",2018,1,28,37,2.2,7.3,8.5875,993.858475,67,13.25,"NW","rainy"
"BL0",2018-03-31 17:00:00,9.1,11.4,29.5,"17","3","7",2018,1,24.3,34.3,4.8,10.1,8.49,995.476225,66.75,14.8975,"NW","rainy"
"BL0",2018-03-31 18:00:00,9.9,12.7,28.1,"18","3","7",2018,1,27.6,34.7,5.4,11.9,7.675,995.1414,73,16.42,"NW","rainy"
"BL0",2018-03-31 19:00:00,13.4,12.9,26.4,"19","3","7",2018,1,25.9,35.5,2.3,8.9,6.9675,995.932325,77,17.38,"NW","cloudy"
"BL0",2018-03-31 20:00:00,7.1,12.4,25.1,"20","3","7",2018,1,27.3,37,5.8,7.6,6.905,998.074975,77.25,18.595,"NW","cloudy"
