"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"CD1",2018-03-31 07:00:00,9.9,14.3,70.4,"7","3","7",2018,1,29.9,35,16.3,23,5.2625,989.764875,82.5,10.9775,"S","cloudy"
"CD1",2018-03-31 08:00:00,10.9,10.7,37.6,"8","3","7",2018,1,34.3,37.8,10.9,24.2,5.8325,990.999025,77.75,11.325,"SW","cloudy"
"CD1",2018-03-31 09:00:00,9,9.7,77.6,"9","3","7",2018,1,37.7,40.6,12.1,30.7,6.395,990.456875,76.5,11.48,"SW","cloudy"
"CD1",2018-03-31 10:00:00,10.3,10.7,59.7,"10","3","7",2018,1,37.9,45.7,13.8,25.9,6.41,992.531275,72.5,9.815,"SW","rainy"
"CD1",2018-03-31 11:00:00,11.9,14.4,59.2,"11","3","7",2018,1,32.5,46.2,11.1,17.4,7.0675,991.992625,72.5,8.12,"SW","cloudy"
"CD1",2018-03-31 12:00:00,10.2,13.7,47.5,"12","3","7",2018,1,28.1,35.8,10,14.8,7.7725,992.35505,69.75,6.9825,"W","cloudy"
"CD1",2018-03-31 13:00:00,13.2,13.8,42.1,"13","3","7",2018,1,33.2,60.6,12.1,13.4,8.42,992.571375,67,7.2475,"W","rainy"
"CD1",2018-03-31 14:00:00,12.1,12.4,32.4,"14","3","7",2018,1,32.4,71.2,8.8,12.6,8.9125,992.73295,65,8.565,"NW","rainy"
"CD1",2018-03-31 15:00:00,12.3,13.5,25.9,"15","3","7",2018,1,36.3,88.6,8.4,9.2,9.13,992.9583,64,10.2975,"NW","rainy"
"CD1",2018-03-31 16:00:00,11.2,13.7,23.5,"16","3","7",2018,1,30.3,59.5,11.3,14.9,8.5875,993.858475,67,13.25,"NW","rainy"
"CD1",2018-03-31 17:00:00,10.2,11.2,17,"17","3","7",2018,1,31.9,52.5,9.1,11.3,8.49,995.476225,66.75,14.8975,"NW","rainy"
