"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"GN0",2018-03-31 07:00:00,7.4,13.1,57.5,"7","3","7",2018,1,33,32.5,5.5,11.3,5.4375,988.5788,84,10.5625,"SW","cloudy"
"GN0",2018-03-31 08:00:00,12.6,18,67.2,"8","3","7",2018,1,32.6,37.4,5.6,15.4,6.05,988.96155,79.5,11.7975,"SW","cloudy"
"GN0",2018-03-31 09:00:00,10.4,16.9,56.6,"9","3","7",2018,1,32.6,34.8,7.1,8.82004361797441,6.5825,989.4604,76,12.5175,"SW","cloudy"
"GN0",2018-03-31 10:00:00,4.1,5.4,44.5,"10","3","7",2018,1,32,34.8,8.6,-1.9,6.4975,990.47565,75.25,11.145,"SW","cloudy"
"GN0",2018-03-31 11:00:00,7.8,6.4,40.7,"11","3","7",2018,1,28.9,32.9,6.8,18.3,7.13,990.96605,73,9.6225,"SW","cloudy"
"GN0",2018-03-31 12:00:00,6.5,7.2,32,"12","3","7",2018,1,26.6,35.8,3,11.4413846552883,7.7875,991.3221,70.75,8.28,"W","cloudy"
"GN0",2018-03-31 13:00:00,9.3,11,30.3,"13","3","7",2018,1,33,27.5,7.3,9.6,8.415,991.520725,67.75,8.0075,"W","cloudy"
"GN0",2018-03-31 14:00:00,14.8,15.5,21.1,"14","3","7",2018,1,28.3,41.2,3.7,9.7,8.8925,991.6603,65.75,8.7975,"W","rainy"
"GN0",2018-03-31 15:00:00,13.7,11.3,16.6,"15","3","7",2018,1,24.7,33.9,5,10.2,9.1025,991.86965,64.75,10.1675,"NW","rainy"
"GN0",2018-03-31 16:00:00,14.1,13.1,13.8,"16","3","7",2018,1,26.5,33.4,3.9,5.9,8.5625,992.739575,67.25,12.545,"NW","cloudy"
"GN0",2018-03-31 17:00:00,14.1,13,12,"17","3","7",2018,1,29.1,40.6,3.8,7.7,8.175,993.324875,69.25,14.27,"NW","cloudy"
"GN0",2018-03-31 18:00:00,10.1,15.5,11.9,"18","3","7",2018,1,31.9,42.3,6.6,8.8,7.5925,994.014975,72.75,15.55,"NW","cloudy"
"GN0",2018-03-31 19:00:00,15.6,18.5,10.7,"19","3","7",2018,1,31.7,44.2,5,9.2,6.885,994.795925,76.5,16.36,"NW","cloudy"
"GN0",2018-03-31 20:00:00,13.2,15.1,13.4,"20","3","7",2018,1,33.4,41.6,2.8,13.6,6.2225,995.65475,80.75,16.93,"NW","clear"
"GN0",2018-03-31 21:00:00,13.1,18.9,29.9,"21","3","7",2018,1,32.8,39.7,4.4,7.6,5.785,996.57885,83.5,17.49,"NW","clear"
"GN0",2018-03-31 22:00:00,11.9,13.1,31.8,"22","3","7",2018,1,33.2,39.5,5.7,13.7,5.76,998.5576,84.25,17.475,"NW","cloudy"
"GN0",2018-03-31 23:00:00,9.4,17.2,39.6,"23","3","7",2018,1,38.7,47.2,0.9,14.8,5.7225,999.2505,84.25,17.6275,"NW","cloudy"
"GN0",2018-04-01 00:00:00,12,18.6,42.8,"0","4","1",2018,1,40.1,47.3,2.5,8.9,5.705,999.8656,83.5,17.365,"NW","cloudy"
"GN0",2018-04-01 01:00:00,11.8,22.8,45.1,"1","4","1",2018,1,39.5,46,4.5,9.2,5.59,1000.5079,83.25,16.47,"NW","cloudy"
"GN0",2018-04-01 02:00:00,11.9,18.7,52.9,"2","4","1",2018,1,39.9,40.8,3.9,6.3,5.3075,1001.160375,83.5,15.1125,"NW","cloudy"
"GN0",2018-04-01 03:00:00,12.8,14.2,32.5,"3","4","1",2018,1,39.4,38.5,5,6.8,4.8125,1001.775475,84.5,13.59,"NW","cloudy"
"GN0",2018-04-01 04:00:00,11.9,11.1,27.2,"4","4","1",2018,1,28.9,41.3,4.9,7.1,4.1775,1002.643625,84,13.4975,"NW","cloudy"
