"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"GR9",2018-03-31 07:00:00,3.8,6.6,36.5,"7","3","7",2018,1,27,35.7,7.5,16.2,5.4375,988.5788,84,10.5625,"SW","cloudy"
"GR9",2018-03-31 08:00:00,7.8,9.7,29.5,"8","3","7",2018,1,30.9,37.2,4.9,24.3,6.05,988.96155,79.5,11.7975,"SW","cloudy"
"GR9",2018-03-31 09:00:00,5.4,10,29.9,"9","3","7",2018,1,28.8,36.6,4.1,17.4,6.5825,989.4604,76,12.5175,"SW","cloudy"
"GR9",2018-03-31 10:00:00,2.4,4.8,29,"10","3","7",2018,1,24.8,31.3,6.1,20.9,6.4975,990.47565,75.25,11.145,"SW","cloudy"
"GR9",2018-03-31 11:00:00,3.1,7.2,28.1,"11","3","7",2018,1,22.4,38.5,8,17.2,7.13,990.96605,73,9.6225,"SW","cloudy"
"GR9",2018-03-31 12:00:00,6.4,7,25.1,"12","3","7",2018,1,25.5,45.8,3.2,17,7.7875,991.3221,70.75,8.28,"W","cloudy"
"GR9",2018-03-31 13:00:00,5.4,10.2,20.5,"13","3","7",2018,1,28.8,51.5,4.9,11.8,8.415,991.520725,67.75,8.0075,"W","cloudy"
"GR9",2018-03-31 14:00:00,8.1,11.8,17.6,"14","3","7",2018,1,23.4,36.7,3.2,7.7,8.8925,991.6603,65.75,8.7975,"W","rainy"
"GR9",2018-03-31 15:00:00,8.2,12.1,16,"15","3","7",2018,1,30.7,55,2,6.7,9.1025,991.86965,64.75,10.1675,"NW","rainy"
"GR9",2018-03-31 16:00:00,10.1,12.5,13.3,"16","3","7",2018,1,30.2,55.8,3.5,9.7,8.5625,992.739575,67.25,12.545,"NW","cloudy"
"GR9",2018-03-31 17:00:00,7.8,11.3,13.1,"17","3","7",2018,1,32.9,45.5,2.5,9.3,8.175,993.324875,69.25,14.27,"NW","cloudy"
"GR9",2018-03-31 18:00:00,9,11.3,11.1,"18","3","7",2018,1,30.7,50.7,4,10.9,7.5925,994.014975,72.75,15.55,"NW","cloudy"
"GR9",2018-03-31 19:00:00,8.9,14.6,10.6,"19","3","7",2018,1,31.8,45.3,5,12,6.885,994.795925,76.5,16.36,"NW","cloudy"
"GR9",2018-03-31 20:00:00,9.9,14.3,11.3,"20","3","7",2018,1,33.5,46.2,2.6,8.2,6.2225,995.65475,80.75,16.93,"NW","clear"
"GR9",2018-03-31 21:00:00,8.1,11.2,14.3,"21","3","7",2018,1,31.8,44.9,3.7,8.9,5.785,996.57885,83.5,17.49,"NW","clear"
"GR9",2018-03-31 22:00:00,6.6,12.2,17.4,"22","3","7",2018,1,32.4,52.5,1.2,8.9,5.76,998.5576,84.25,17.475,"NW","cloudy"
"GR9",2018-03-31 23:00:00,8.2,13.3,19.6,"23","3","7",2018,1,33.8,57,0.9,4.3,5.7225,999.2505,84.25,17.6275,"NW","cloudy"
"GR9",2018-04-01 00:00:00,7.5,14.5,19.4,"0","4","1",2018,1,33.8,42.7,0.6,5.8,5.705,999.8656,83.5,17.365,"NW","cloudy"
"GR9",2018-04-01 01:00:00,10.4,16.7,23.7,"1","4","1",2018,1,38.4,45.2,1.2,7.4,5.59,1000.5079,83.25,16.47,"NW","cloudy"
"GR9",2018-04-01 02:00:00,11.3,17.5,30.4,"2","4","1",2018,1,37.4,46.2,2.7,8.7,5.3075,1001.160375,83.5,15.1125,"NW","cloudy"
"GR9",2018-04-01 03:00:00,7.5,16.1,30.5,"3","4","1",2018,1,35.1,41.7,3.1,9.8,4.8125,1001.775475,84.5,13.59,"NW","cloudy"
