"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"KF1",2018-03-31 07:00:00,5.9,6.9,NA,"7","3","7",2018,1,19,21.7,6.1,13.7,5.125,989.435525,82.75,11.3425,"S","cloudy"
"KF1",2018-03-31 08:00:00,5.3,6.6,NA,"8","3","7",2018,1,21.7,24.5,5.4,15.5,5.6625,990.678125,78.75,11.3775,"SW","cloudy"
"KF1",2018-03-31 09:00:00,4,5,NA,"9","3","7",2018,1,23.7,26.8,4.1,10.2,6.2375,990.139425,77.5,11.1875,"SW","cloudy"
"KF1",2018-03-31 10:00:00,5.6,6.5,NA,"10","3","7",2018,1,21.4,25.1,4.3,11.1,6.3175,992.229375,73.25,9.3425,"SW","rainy"
"KF1",2018-03-31 11:00:00,4.9,5.7,NA,"11","3","7",2018,1,18.7,23.2,4.7,12.4,7.1,992.5284,70.25,7.175,"SW","rainy"
"KF1",2018-03-31 12:00:00,5.9,6.8,NA,"12","3","7",2018,1,23.3,29.2,4.2,9.6,7.7075,992.0671,70.5,6.675,"W","rainy"
"KF1",2018-03-31 13:00:00,9.1,10.4,NA,"13","3","7",2018,1,20.8,25.8,3.8,9.2,8.3325,992.3081,67.75,7.41,"NW","rainy"
"KF1",2018-03-31 14:00:00,9.9,11.1,NA,"14","3","7",2018,1,20,25.1,2.1,6,8.8125,992.58435,64.75,8.79,"NW","cloudy"
"KF1",2018-03-31 15:00:00,8.7,9.6,NA,"15","3","7",2018,1,22.7,27.5,1.8,3.4,8.9875,992.7535,65,10.9975,"NW","rainy"
"KF1",2018-03-31 16:00:00,8.9,10.2,NA,"16","3","7",2018,1,24.2,30.9,3.6,6.2,8.4525,993.675225,68,14.065,"NW","rainy"
