"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"ST5",2018-03-31 07:00:00,3,4,17.3,"7","3","7",2018,1,34,45,7,17,5.0275,984.40765,88,11.1525,"SW","cloudy"
"ST5",2018-03-31 08:00:00,3,12,13.5,"8","3","7",2018,1,33,46,6,13,5.6725,987.13105,82.25,12.9325,"SW","cloudy"
"ST5",2018-03-31 09:00:00,8,10,14.3,"9","3","7",2018,1,25,31,3,11,6.1775,985.285025,81,13.715,"SW","cloudy"
"ST5",2018-03-31 10:00:00,10,9,19.4,"10","3","7",2018,1,21,34,3,21,6.035,986.300725,80.5,12.225,"SW","cloudy"
"ST5",2018-03-31 11:00:00,8,7,17.3,"11","3","7",2018,1,13,35,5,25,6.6275,986.7967,79,10.6325,"SW","cloudy"
"ST5",2018-03-31 12:00:00,7,7,17.2,"12","3","7",2018,1,19,19,6,11,7.2525,987.16915,77,9.21,"W","cloudy"
"ST5",2018-03-31 13:00:00,9,12,13.4,"13","3","7",2018,1,13,19,8,10,7.8575,987.3976,74.75,9.0475,"W","rainy"
"ST5",2018-03-31 14:00:00,9,14,10.2,"14","3","7",2018,1,20,20,6,9,8.32,987.573575,72.5,10.11,"W","rainy"
"ST5",2018-03-31 15:00:00,9,10,9.4,"15","3","7",2018,1,25,27,4,8,8.54,989.03315,70.75,11.3575,"NW","rainy"
"ST5",2018-03-31 16:00:00,9,11,7.4,"16","3","7",2018,1,25,27,4,11,7.91,988.6808,73.75,13.81,"NW","rainy"
"ST5",2018-03-31 17:00:00,12,10,6,"17","3","7",2018,1,30,34,9,9,7.4675,989.29615,75.5,14.99,"NW","rainy"
"ST5",2018-03-31 18:00:00,7,8,4.9,"18","3","7",2018,1,24,30,7,9,6.8375,990.0092,78.5,15.725,"NW","rainy"
"ST5",2018-03-31 19:00:00,6,10,5.5,"19","3","7",2018,1,32,36,6,10,6.0875,990.800825,82,16.1675,"NW","cloudy"
"ST5",2018-03-31 20:00:00,10,9,7.1,"20","3","7",2018,1,31,38,6,8,5.3975,991.657525,85.25,16.5825,"NW","cloudy"
"ST5",2018-03-31 21:00:00,10,13,8.9,"21","3","7",2018,1,32,29,6,6,4.96,992.567325,87.75,17.22,"NW","clear"
"ST5",2018-03-31 22:00:00,7,10,10.8,"22","3","7",2018,1,31,34,4,5,5.0625,994.494075,87.75,17.61,"NW","cloudy"
"ST5",2018-03-31 23:00:00,12,13,13.8,"23","3","7",2018,1,31,34,5,6,5.23,996.2925,86.5,17.5825,"NW","cloudy"
"ST5",2018-04-01 00:00:00,12,15,12.2,"0","4","1",2018,1,37,35,4,6,5.16,996.956625,87,17.3025,"NW","cloudy"
"ST5",2018-04-01 01:00:00,9,10,11.2,"1","4","1",2018,1,35,39,2,7,4.985,996.3388,86.75,16.525,"NW","cloudy"
"ST5",2018-04-01 02:00:00,12,10,13.5,"2","4","1",2018,1,34,33,5,6,4.7225,996.998625,87,14.9675,"NW","cloudy"
"ST5",2018-04-01 03:00:00,9,7,13.8,"3","4","1",2018,1,32,39,4,11,4.1525,997.627,88,13.265,"NW","cloudy"
"ST5",2018-04-01 04:00:00,8,12,15,"4","4","1",2018,1,31,43,4,7,3.07,998.517425,89,12.76,"NW","cloudy"
"ST5",2018-04-01 05:00:00,7,8,16.3,"5","4","1",2018,1,37,41,6,16,2.38,999.1069,90.5,11.2825,"NW","cloudy"
"ST5",2018-04-01 06:00:00,6,14,17.3,"6","4","1",2018,1,34,32,11,18,2.2575,999.693475,90.5,10.2475,"NW","cloudy"
"ST5",2018-04-01 07:00:00,12,12,18.3,"7","4","1",2018,1,36,34,9,10,2.9725,1000.3087,88,9.92,"NW","cloudy"
"ST5",2018-04-01 08:00:00,7,12,22.4,"8","4","1",2018,1,40,44,14,12,4.24,1000.908375,83,10.01,"NW","clear"
"ST5",2018-04-01 09:00:00,7,10,17.7,"9","4","1",2018,1,37,41,9,16,5.6375,1001.429325,77,9.9225,"NW","clear"
"ST5",2018-04-01 10:00:00,8,11,20.4,"10","4","1",2018,1,33,42,6,12,6.7025,1001.83325,70,9.015,"NW","clear"
"ST5",2018-04-01 11:00:00,9,15,23.1,"11","4","1",2018,1,29,46,14,9,7.72,1003.328625,63,7.385,"NW","cloudy"
"ST5",2018-04-01 12:00:00,9,9,18,"12","4","1",2018,1,29,32,8,6,8.7175,1004.55375,55.75,5.355,"NW","cloudy"
"ST5",2018-04-01 13:00:00,7,7,12.3,"13","4","1",2018,1,25,40,9,4,8.4825,1003.26405,56.25,3.915,"W","cloudy"
"ST5",2018-04-01 14:00:00,7,7,11.3,"14","4","1",2018,1,20,33,6,9,8.1925,1003.164925,59,3.715,"W","cloudy"
"ST5",2018-04-01 15:00:00,7,11,12.9,"15","4","1",2018,1,9,20,6,8,7.91,1002.87635,61.5,4.9825,"SW","cloudy"
"ST5",2018-04-01 16:00:00,9,10,10.8,"16","4","1",2018,1,7,13,8,8,20,940,22,18,"NO","cloudy"
"ST5",2018-04-01 17:00:00,8,8,6.1,"17","4","1",2018,1,13,19,7,13,20,940,22,18,"NO","cloudy"
"ST5",2018-04-01 18:00:00,16,6,5.7,"18","4","1",2018,1,17,21,5,7,6.9225,1003.3394,65.5,7.8975,"S","cloudy"
"ST5",2018-04-01 19:00:00,3,5,9.2,"19","4","1",2018,1,15,21,6,5,6.0925,1000.728325,72.75,7.3375,"S","cloudy"
