"stationId","utc_time","PM2.5","PM10","NO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","tdPM2.5","tdPM10","temperature","pressure","humidity","windSpeed","windDir","weather"
"TH4",2018-03-31 07:00:00,10,19.7,58.9,"7","3","7",2018,1,28.5,35.6,9.1,23.1,5.375,989.6714,83.5,10.3375,"S","cloudy"
"TH4",2018-03-31 08:00:00,12.5,24.5,78,"8","3","7",2018,1,27.9,33,7.9,29.3,5.99,990.06405,79,11.325,"SW","cloudy"
"TH4",2018-03-31 09:00:00,7,15.6,62.1,"9","3","7",2018,1,28.5,38.4,7.3,25.7,6.54,990.569525,76,11.8225,"SW","cloudy"
"TH4",2018-03-31 10:00:00,7.7,16.3,49,"10","3","7",2018,1,28,33,6.7,39.4,6.4625,991.58985,74.75,10.295,"SW","cloudy"
"TH4",2018-03-31 11:00:00,8.6,20.2,50.4,"11","3","7",2018,1,25.6,31.5,9,34.2,7.1075,992.08015,72.25,8.6925,"SW","cloudy"
"TH4",2018-03-31 12:00:00,10.1,16.1,47.2,"12","3","7",2018,1,27.6,38.6,6.9,29.8,7.7825,992.4344,70,7.3975,"W","cloudy"
"TH4",2018-03-31 13:00:00,8.4,18.8,40.1,"13","3","7",2018,1,24.2,34,7.7,21.614207460099,8.435,992.630625,67,7.2775,"W","rainy"
"TH4",2018-03-31 14:00:00,13.9,21.4,32.8,"14","3","7",2018,1,25.3,44.4,7.1,13.2,8.9425,992.76605,65,8.21,"W","rainy"
"TH4",2018-03-31 15:00:00,12,17.4,32,"15","3","7",2018,1,27.7,44.9,3.1,9.8,9.175,992.9679,64,9.6825,"NW","rainy"
"TH4",2018-03-31 16:00:00,13.6,22.6,28.7,"16","3","7",2018,1,26.4,36,9.9,13.8,8.62,993.847125,66.75,12.4,"NW","rainy"
"TH4",2018-03-31 17:00:00,10.2,17.5,22.1,"17","3","7",2018,1,24.4,36.8,6.5,15,8.2375,994.419275,69.25,14.185,"NW","rainy"
"TH4",2018-03-31 18:00:00,10.1,17.8,22.3,"18","3","7",2018,1,24.7,33.1,6.3,16.4,7.655,995.097875,73,15.625,"NW","cloudy"
"TH4",2018-03-31 19:00:00,12.2,18.7,21.4,"19","3","7",2018,1,26.8,43,8.5,16.7,6.935,995.873775,77,16.7075,"NW","cloudy"
"TH4",2018-03-31 20:00:00,13,22,28.8,"20","3","7",2018,1,30.1,38.6,8.8,19.4,6.25,996.736925,81.25,17.5275,"NW","cloudy"
"TH4",2018-03-31 21:00:00,9.2,19.7,30.3,"21","3","7",2018,1,32.9,40.4,8.8,17.9,5.8025,997.6771,84,18.1625,"NW","clear"
