"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"beibuxinqu_aq",2018-03-31 07:00:00,104,236,75,0.9,98,9,"7","3","7",2018,1,71,120,133,42,237,93,23.25,982.77515,17.25,12.3125,"SE","cloudy"
"beibuxinqu_aq",2018-03-31 08:00:00,118,253.6,80,0.9,99,9,"8","3","7",2018,1,59,148,148,40,187,104,23.75,982.688825,18,12.8625,"SE","cloudy"
"beibuxinqu_aq",2018-03-31 09:00:00,102,271.2,67,0.9,113,10,"9","3","7",2018,1,43,113,124,31,157,106,23.75,982.228525,19.5,11.96,"S","cloudy"
"beibuxinqu_aq",2018-03-31 10:00:00,115,288.8,78,0.9,107,9,"10","3","7",2018,1,36,106,115,28,185,101,24,983.299375,21.25,10.2975,"S","cloudy"
"beibuxinqu_aq",2018-03-31 11:00:00,112,306.4,56,0.9,125,10,"11","3","7",2018,1,47,70,107,35,207,97,22,983.615975,24.25,6.6425,"S","cloudy"
"beibuxinqu_aq",2018-03-31 12:00:00,143,324,75,1.1,74,7,"12","3","7",2018,1,36,69,108,26,239,82,19.75,982.266825,26.25,2.745,"S","cloudy"
"beibuxinqu_aq",2018-03-31 13:00:00,123,666,104,1.1,23,4,"13","3","7",2018,1,36,88,99,30,216,64,17,982.9234,27,1.8175,"NW","cloudy"
"beibuxinqu_aq",2018-03-31 14:00:00,260,658.574468085106,137,1.2,2,6,"14","3","7",2018,1,56,135,47,25,140,65,15,984.978475,26.5,4.2875,"NW","clear"
"beibuxinqu_aq",2018-03-31 15:00:00,174,651.148936170213,121,1.3,2,4,"15","3","7",2018,1,75,172,16,24,118,60,13.5,983.94355,24.75,6.2575,"NW","clear"
"beibuxinqu_aq",2018-03-31 16:00:00,167,643.723404255319,117.5,1.3,0.880590785283903,3.95176966925691,"16","3","7",2018,1,3,361,3,22,87,52,11.625,986.0698,28.25,4.78,"NW","clear"
"beibuxinqu_aq",2018-03-31 17:00:00,160,636.297872340426,114,1.3,2,4,"17","3","7",2018,1,200,584,2,21,89,49,11.7,984.01575,27.5,4.5425,"NW","clear"
"beibuxinqu_aq",2018-03-31 18:00:00,168,628.872340425532,118,1.2,2,3,"18","3","7",2018,1,373,664,2,23,78,44,11.3,983.897825,27.5,4.015,"NW","clear"
"beibuxinqu_aq",2018-03-31 19:00:00,154,621.446808510638,101,1.2,2,3,"19","3","7",2018,1,3,334,2,23,100,34,11.1,985.597475,28.25,3.505,"NW","clear"
"beibuxinqu_aq",2018-03-31 20:00:00,133,614.021276595745,101,1.2,2,2,"20","3","7",2018,1,51,296,2,34,115,2,11,983.8922,28.75,3.0125,"NW","clear"
"beibuxinqu_aq",2018-03-31 21:00:00,109,606.595744680851,94,1.2,2,2,"21","3","7",2018,1,79,195,2,29,111,2,11,983.590175,29.5,2.4,"NW","clear"
"beibuxinqu_aq",2018-03-31 22:00:00,117,599.170212765958,86,1.3,2,2,"22","3","7",2018,1,3,97,2,25,115,2,9,983.859025,31,1.345,"NW","clear"
"beibuxinqu_aq",2018-03-31 23:00:00,114,591.744680851064,91,1.2,2,2,"23","3","7",2018,1,149,89.6666666666667,2,32,128,2,9,986.693325,30.75,1.1525,"W","clear"
"beibuxinqu_aq",2018-04-01 00:00:00,146,584.31914893617,88,1.3,12.3399430488978,6.45448140438644,"0","4","1",2018,1,174,82.3333333333333,2,50,175,3,10.25,984.177775,29.25,2.375,"S","clear"
"beibuxinqu_aq",2018-04-01 01:00:00,178,576.893617021277,85,1.4,28.6248812230409,11.7253709706686,"1","4","1",2018,1,136.994894150851,75,22,35,123,6,16,983.98615,27.5,4.2225,"S","clear"
"beibuxinqu_aq",2018-04-01 02:00:00,210,569.468085106383,82,1.5,50,17,"2","4","1",2018,1,101.894011097609,101,46,41,113,22,5,985.3889,25.75,6.3225,"SE","haze"
"beibuxinqu_aq",2018-04-01 03:00:00,249,562.042553191489,83,1.6,75,22,"3","4","1",2018,1,66.7931280443659,74,78,35,65,66,20.25,983.478925,22.75,8.245,"SE","haze"
"beibuxinqu_aq",2018-04-01 04:00:00,235,554.617021276596,94,1.7,96,23,"4","4","1",2018,1,30,114,76,26,102,85,21.25,981.872775,26,9.7825,"SE","haze"
"beibuxinqu_aq",2018-04-01 05:00:00,253,547.191489361702,83,1.6,164,20,"5","4","1",2018,1,52,152,76,32,111,98,22.25,980.922725,22.75,11.1225,"S","haze"
"beibuxinqu_aq",2018-04-01 06:00:00,260,539.765957446809,64,1.5,199,20,"6","4","1",2018,1,49,152,89,32,97,104,23,978.560025,20,12.4825,"S","haze"
"beibuxinqu_aq",2018-04-01 07:00:00,221,532.340425531915,54,1.3,204.89315586251,15.6406174275729,"7","4","1",2018,1,54,203,107,38,140,112,24.25,980.04095,17.5,13.8825,"S","haze"
"beibuxinqu_aq",2018-04-01 08:00:00,182,524.914893617021,44,1.1,197,11,"8","4","1",2018,1,43,136,135,40,138,116,25.5,977.59205,16.25,14.5325,"S","haze"
"beibuxinqu_aq",2018-04-01 09:00:00,140,517.489361702128,32,0.9,186,10,"9","4","1",2018,1,29,122,131,49,135,111,26,979.52085,15.75,14.1625,"S","haze"
"beibuxinqu_aq",2018-04-01 10:00:00,99,510.063829787234,25,0.8,168,7,"10","4","1",2018,1,58,166,147,54,120,109,25,977.1358,18,12.075,"S","haze"
"beibuxinqu_aq",2018-04-01 11:00:00,88,502.63829787234,23,0.8,165,6,"11","4","1",2018,1,67,124,148,54,114,110,23.5,979.760925,21.5,9.4625,"S","haze"
"beibuxinqu_aq",2018-04-01 12:00:00,106,495.212765957447,46,0.9,132,6,"12","4","1",2018,1,55,90,128,55,106,102,21.75,977.29235,24,7.1375,"S","cloudy"
"beibuxinqu_aq",2018-04-01 13:00:00,120,487.787234042553,85,1.1,65,4,"13","4","1",2018,1,56,114,100,52,114,95,20,978.27635,25,6.195,"SW","haze"
"beibuxinqu_aq",2018-04-01 14:00:00,161,480.36170212766,85.5,1.25,48.4139294534897,2.85243342926818,"14","4","1",2018,1,67,122,93,60,101,69,23.25,977.0489,24.75,6.55,"SW","haze"
"beibuxinqu_aq",2018-04-01 15:00:00,202,472.936170212766,86,1.4,41,2,"15","4","1",2018,1,3,136,39,53,127,59,17,978.205975,23.75,6.5625,"SW","haze"
"beibuxinqu_aq",2018-04-01 16:00:00,201.5,465.510638297872,112,1.45,19.729976639081,1.88814753282238,"16","4","1",2018,1,32,108,4,69,144,9,20,940,22,18,"NO","cloudy"
"beibuxinqu_aq",2018-04-01 17:00:00,201,458.085106382979,138,1.5,2,2,"17","4","1",2018,1,63,95,2,68,177,2,11.8,975.890625,29.25,3,"W","haze"
"beibuxinqu_aq",2018-04-01 18:00:00,179,450.659574468085,134,1.4,2,2,"18","4","1",2018,1,43,104,2,66,243,2,11.45,976.9894,30.25,1.7075,"NW","haze"
"beibuxinqu_aq",2018-04-01 19:00:00,159,443.234042553191,120,1.2,2,2,"19","4","1",2018,1,528,108.066666666667,2,154,1002,2,11.15,975.52935,32,2.1475,"N","haze"
"beibuxinqu_aq",2018-04-01 20:00:00,171,435.808510638298,116,1.3,2,2,"20","4","1",2018,1,82,112.133333333333,2,180,1359,2,11.075,976.77305,34.25,3.375,"N","haze"
"beibuxinqu_aq",2018-04-01 21:00:00,174,428.382978723404,97,1.3,2,2,"21","4","1",2018,1,99,116.2,2,180,1503,2,11,978.2737,36.75,4.1575,"N","cloudy"
"beibuxinqu_aq",2018-04-01 22:00:00,166,420.95744680851,96,1.3,2,2,"22","4","1",2018,1,380,120.266666666667,2,95,546,2,10.75,977.450475,40.75,4.83,"N","haze"
"beibuxinqu_aq",2018-04-01 23:00:00,177,413.531914893616,96,1.4,2,2,"23","4","1",2018,1,378,124.333333333333,2,83,246,2,10.75,978.4716,41,4.5825,"NE","cloudy"
"beibuxinqu_aq",2018-04-02 00:00:00,216.5,406.106382978723,95,1.5,5.70872966762453,2.65486997556066,"0","4","2",2018,1,354.155874721451,128.4,12.1018432067667,89,223,3,2,977.981975,38.75,4.09,"NE","cloudy"
"beibuxinqu_aq",2018-04-02 01:00:00,256,398.68085106383,94,1.6,18,4,"1","4","2",2018,1,331.181783084576,132.466666666667,26.3023716590998,87,159,13,17,978.198325,35.25,4.2525,"E","haze"
"beibuxinqu_aq",2018-04-02 02:00:00,300,391.255319148936,72,1.8,57,9,"2","4","2",2018,1,308.2076914477,136.533333333333,43.4060914560145,107,178,23,18.75,979.50595,31.25,5.3825,"E","haze"
"beibuxinqu_aq",2018-04-02 03:00:00,329,383.829787234042,82,1.9,72,12,"3","4","2",2018,1,285.233599810825,140.6,62.2175086965264,95,194,49,18,980.086225,28,6.885,"SE","haze"
"beibuxinqu_aq",2018-04-02 04:00:00,346,376.404255319149,55,1.9,112,12,"4","4","2",2018,1,262.259508173949,144.666666666667,81.5411294796508,94,305,69,20.25,979.27685,32.75,7.5775,"SE","haze"
