"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"daxing_aq",2018-03-31 07:00:00,92,156,43,0.8,139,14,"7","3","7",2018,1,54,134.125,136,32,148,96,23.5,1007.2531,18,9.585,"S","cloudy"
"daxing_aq",2018-03-31 08:00:00,95,164,42,0.8,146,13,"8","3","7",2018,1,41,100.75,136,30,135,96,23.75,1006.3112,18,11.19,"S","cloudy"
"daxing_aq",2018-03-31 09:00:00,103,192,54,0.8,134,15,"9","3","7",2018,1,36,67.375,122,23,127,96,23.75,1005.71415,19,11.7625,"S","cloudy"
"daxing_aq",2018-03-31 10:00:00,121,199,52,0.9,142,17,"10","3","7",2018,1,28,34,112,32,323,85,23,1005.563575,21.25,13.415,"S","cloudy"
"daxing_aq",2018-03-31 11:00:00,121,188,52,0.9,136,18,"11","3","7",2018,1,40,48.5,100,30,280,67,20.25,1005.76345,24.5,10.9925,"SW","cloudy"
"daxing_aq",2018-03-31 12:00:00,137,206,59,1,116,19,"12","3","7",2018,1,43,63,92,24,158,59,18.25,1006.24725,27.75,7.865,"SW","cloudy"
"daxing_aq",2018-03-31 13:00:00,149,225,95,1.2,69,16,"13","3","7",2018,1,48,74,93,19,110,56,17,1006.767375,29.75,4.5375,"W","cloudy"
"daxing_aq",2018-03-31 14:00:00,156,243,149,1.5,11,13,"14","3","7",2018,1,56,90,79,22,69,62,15,1007.276575,31.5,1.975,"NW","haze"
"daxing_aq",2018-03-31 15:00:00,166,251,159,1.7,2,11,"15","3","7",2018,1,67,115,67,20,72,40,14,1007.6511,33,3.435,"N","haze"
"daxing_aq",2018-03-31 16:00:00,166.836038726533,259,158.5,1.85,0,9.5,"16","3","7",2018,1,65,124,64,25,67,20,12.125,1007.982625,37.5,6.7775,"NE","haze"
"daxing_aq",2018-03-31 17:00:00,168,267,158,2,2,8,"17","3","7",2018,1,73,132,40,23,66,28,12,1007.998525,41.25,7.2725,"NE","haze"
"daxing_aq",2018-03-31 18:00:00,167,260,146,1.8,2,6,"18","3","7",2018,1,77,135,28,16,68,13,11.375,1007.945625,45.5,7.2425,"NE","haze"
"daxing_aq",2018-03-31 19:00:00,163,331,158,1.6,2,8,"19","3","7",2018,1,75,133,12,28,82,5,11.05,1007.821525,49.5,6.85,"NE","haze"
"daxing_aq",2018-03-31 20:00:00,146,311,151,1.5,2,7,"20","3","7",2018,1,79,152,2,28,90,3,11,1007.7827,52.5,6.5225,"NE","clear"
"daxing_aq",2018-03-31 21:00:00,163,305,177,1.7,2,9,"21","3","7",2018,1,41,129,2,28,91,2,11,1007.872925,54.5,6.2925,"E","clear"
"daxing_aq",2018-03-31 22:00:00,187,318,160,1.7,2,7,"22","3","7",2018,1,64,135,2,28,103,2,9,1008.230125,56.5,6.515,"E","clear"
"daxing_aq",2018-03-31 23:00:00,196,278,124,1.6,2,5,"23","3","7",2018,1,92,204,2,34,107,2,9.25,1008.5371,53.75,6.51,"E","haze"
"daxing_aq",2018-04-01 00:00:00,217.046662553526,279.333333333333,115.666666666667,1.83333333333333,9.7755663946374,14.3333333333333,"0","4","1",2018,1,73,213,2,36,110,6,13.5,1008.692325,49.25,6.395,"E","haze"
"daxing_aq",2018-04-01 01:00:00,237.757381789778,280.666666666667,107.333333333333,2.06666666666667,23.1502418048336,23.6666666666667,"1","4","1",2018,1,71,130,11,31,117,19,15,1008.506625,43,5.7225,"SE","haze"
"daxing_aq",2018-04-01 02:00:00,259,282,99,2.3,43,33,"2","4","1",2018,1,72,124,21,23,92,54,5,1007.9775,35.75,5.52,"SE","haze"
"daxing_aq",2018-04-01 03:00:00,262,283,100,2.3,78,42,"3","4","1",2018,1,53,130,28,18,437,53,20.75,1007.159275,29.25,6.875,"S","haze"
"daxing_aq",2018-04-01 04:00:00,260,281,87,2,129,38,"4","4","1",2018,1,62,127,61,13,236,76,21.75,1006.197275,30,7.9225,"S","haze"
"daxing_aq",2018-04-01 05:00:00,246,261,62,1.7,178,30,"5","4","1",2018,1,64,89,103,27,35,89,22.75,1005.15245,25,12.2875,"S","haze"
"daxing_aq",2018-04-01 06:00:00,225,241,57,1.4,197,22,"6","4","1",2018,1,38,83,121,30,56,96,24.25,1003.986025,21,16.935,"SW","haze"
"daxing_aq",2018-04-01 07:00:00,182.248823420615,212.5,42,1.2,217.281083241986,18,"7","4","1",2018,1,35,75,142,46,111,104,24.5,1002.915175,18,20.455,"SW","haze"
"daxing_aq",2018-04-01 08:00:00,140,184,27,1,227,14,"8","4","1",2018,1,59,90,160,50,107,115,27,1001.98755,16.25,22.3175,"SW","haze"
"daxing_aq",2018-04-01 09:00:00,102,141,25,0.7,199,9,"9","4","1",2018,1,29,66,145,52,111,120,27,1001.33775,16,21.8825,"SW","haze"
