"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"donggaocun_aq",2018-03-31 07:00:00,136,150,49,1.5,143,33,"7","3","7",2018,1,41,42.0588235294118,118,11,89,96,23,988.25065,24,9.9775,"S","cloudy"
"donggaocun_aq",2018-03-31 08:00:00,129,159,42,1.5,166,28,"8","3","7",2018,1,27,29.5294117647059,112,18,95,100,23,987.015125,24.25,10.37,"S","cloudy"
"donggaocun_aq",2018-03-31 09:00:00,112,141,34,1,175,21,"9","3","7",2018,1,13,17,103,18,93,101,24,986.8927,25.5,8.875,"S","cloudy"
"donggaocun_aq",2018-03-31 10:00:00,124,151,33,0.8,183,18,"10","3","7",2018,1,20,39,101,23,176,80,24,988.129675,27.25,6.5125,"S","cloudy"
"donggaocun_aq",2018-03-31 11:00:00,143,150,38,0.9,148,16,"11","3","7",2018,1,53,66,119,23,166,69,21,987.2063,30.25,2.6275,"SE","cloudy"
"donggaocun_aq",2018-03-31 12:00:00,145,149,38,0.9,133,15,"12","3","7",2018,1,47,64,122,26,112,69,18,988.926575,33.5,3.8775,"NE","cloudy"
"donggaocun_aq",2018-03-31 13:00:00,149,150.146341463415,34,0.9,132,15,"13","3","7",2018,1,37,56,113,28,85,65,16,988.2142,36,5.5675,"NE","cloudy"
"donggaocun_aq",2018-03-31 14:00:00,144,151.292682926829,34,0.9,124,14,"14","3","7",2018,1,41,56,112,25,69,62,15,989.84555,38.75,6.1925,"NE","cloudy"
"donggaocun_aq",2018-03-31 15:00:00,156,152.439024390244,33,0.9,121,14,"15","3","7",2018,1,42,50,114,28,64,58,14,988.884175,41.75,6.245,"E","clear"
"donggaocun_aq",2018-03-31 16:00:00,161.487456362087,153.585365853659,34,0.95,115.480537020401,15,"16","3","7",2018,1,46,52,103,38,59,56,9.4,989.04235,44.75,6.5125,"E","clear"
"donggaocun_aq",2018-03-31 17:00:00,167,154.731707317073,35,1,108,16,"17","3","7",2018,1,56,58,96,45,46,53,9,989.02535,47.5,6.335,"E","haze"
"donggaocun_aq",2018-03-31 18:00:00,170,155.878048780488,41,1.1,86,16,"18","3","7",2018,1,49,67,89,32,41,56,9,988.896725,50.25,6.075,"E","clear"
"donggaocun_aq",2018-03-31 19:00:00,180,157.024390243902,52,1.1,65,15,"19","3","7",2018,1,60,68,78,23,40,58,9,988.83585,53,5.7575,"E","clear"
"donggaocun_aq",2018-03-31 20:00:00,198,158.170731707317,52,1.1,56,13,"20","3","7",2018,1,64,67.6666666666667,69.3795681678684,34,35,62,9,988.5423,54.25,5.2875,"E","clear"
"donggaocun_aq",2018-03-31 21:00:00,179,159.317073170732,57,1.1,44,12,"21","3","7",2018,1,64,67.3333333333333,62,29,37,64,10.6,988.5109,55,4.75,"E","clear"
"donggaocun_aq",2018-03-31 22:00:00,213,160.463414634146,45,2,55,14,"22","3","7",2018,1,64,67,53,29,34,58,8,988.7972,56.25,4.5375,"E","clear"
