"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"dongsihuan_aq",2018-03-31 07:00:00,97,138,89,1,97,15,"7","3","7",2018,1,38,65,97,33,147,72,22,1006.670175,18,10.01,"SE","cloudy"
"dongsihuan_aq",2018-03-31 08:00:00,96,133,68,0.9,126,14,"8","3","7",2018,1,49,74,124,30,148,70,23,1005.71875,18,10.635,"S","cloudy"
"dongsihuan_aq",2018-03-31 09:00:00,97,135,65,0.9,134,13,"9","3","7",2018,1,36,69,131,26,156,60,23,1005.139025,19,10.14,"S","cloudy"
"dongsihuan_aq",2018-03-31 10:00:00,103,148,60,0.8,133,12,"10","3","7",2018,1,23,32,117,24,159,55,24,1005.064675,21,10.0325,"S","cloudy"
"dongsihuan_aq",2018-03-31 11:00:00,120,199,71,0.9,118,14,"11","3","7",2018,1,22,48,100,26,224,36,21,1005.13255,24,6.335,"S","cloudy"
"dongsihuan_aq",2018-03-31 12:00:00,137,203,83,1,97,14,"12","3","7",2018,1,28,57,93,26,175,31,19.75,1005.556425,27,2.3975,"SE","cloudy"
"dongsihuan_aq",2018-03-31 13:00:00,143,208,129,1.3,29,12,"13","3","7",2018,1,30,60,89,23,136,39,17.25,1006.0816,28.75,1.445,"NE","cloudy"
"dongsihuan_aq",2018-03-31 14:00:00,152,208,165,1.6,2,14,"14","3","7",2018,1,34,73,83,20,105,44,15.25,1006.993825,30,2.975,"NE","cloudy"
"dongsihuan_aq",2018-03-31 15:00:00,154,221,158,1.8,2,13,"15","3","7",2018,1,36,88,77,21,89,25,14.5,1007.116375,30.75,4.395,"NE","haze"
"dongsihuan_aq",2018-03-31 16:00:00,159.5,248,166.5,1.85,0.344386689176439,16.5,"16","3","7",2018,1,35,92,75,21,89,13,12.5,1007.170325,34.75,4.9025,"NE","cloudy"
"dongsihuan_aq",2018-03-31 17:00:00,165,275,175,1.9,2,20,"17","3","7",2018,1,37,87,63,21,83,2,12.2,1007.2389,37.25,4.94,"NE","haze"
"dongsihuan_aq",2018-03-31 18:00:00,175,341,180,2.1,2,27,"18","3","7",2018,1,40,114,20,24,93,2,11.6,1007.447225,40.25,4.7875,"NE","clear"
"dongsihuan_aq",2018-03-31 19:00:00,181,351,184,2,2,29,"19","3","7",2018,1,42,122,2,28,110,2,11.2,1007.7569,43.75,4.6475,"E","clear"
"dongsihuan_aq",2018-03-31 20:00:00,177,344,175,1.7,2,27,"20","3","7",2018,1,43,117,2,30,120,2,11,1007.4149,45.75,4.1075,"E","clear"
"dongsihuan_aq",2018-03-31 21:00:00,175,324,159,1.6,2,22,"21","3","7",2018,1,47,148,2,32,124,2,11,1007.26165,46.75,3.8225,"E","clear"
"dongsihuan_aq",2018-03-31 22:00:00,201,331,139,1.5,2,16,"22","3","7",2018,1,50,134,2,33,125,2,9,1007.613025,50,4.03,"E","clear"
"dongsihuan_aq",2018-03-31 23:00:00,227,326,123,1.6,2,14,"23","3","7",2018,1,52,118,2,38,130,2,9.75,1007.98805,49,4.335,"SE","haze"
"dongsihuan_aq",2018-04-01 00:00:00,247,336.666666666667,126,2.3,6.05219963634776,30.6666666666667,"0","4","1",2018,1,45,108,4,38,164,2,13,1008.09935,46.25,4.7125,"SE","clear"
"dongsihuan_aq",2018-04-01 01:00:00,267,347.333333333333,129,3,14.9486190773954,47.3333333333333,"1","4","1",2018,1,39,85,23,27,128,17,15.5,1007.992375,42,5.2225,"SE","haze"
"dongsihuan_aq",2018-04-01 02:00:00,287,358,132,3.7,30,64,"2","4","1",2018,1,29,75,35,23,65,42,5,1007.384225,36.5,5.4925,"SE","haze"
"dongsihuan_aq",2018-04-01 03:00:00,288,361,129,3.9,68,63,"3","4","1",2018,1,26,65,48,27,57,51,20,1006.570925,30.75,6.2125,"SE","haze"
"dongsihuan_aq",2018-04-01 04:00:00,272,319,120,3.5,115,53,"4","4","1",2018,1,28,61,56,32,73,56,21,1005.8204,31.5,7.0325,"S","haze"
"dongsihuan_aq",2018-04-01 05:00:00,273,303,107,2.3,154,35,"5","4","1",2018,1,39,66,63,30,68,71,22,1004.3458,26.75,9.9275,"S","haze"
"dongsihuan_aq",2018-04-01 06:00:00,263,293,99,2.1,177,23,"6","4","1",2018,1,36,71,79,30,69,72,22,1003.419225,22.25,12.675,"S","haze"
"dongsihuan_aq",2018-04-01 07:00:00,206.5,274.5,78,1.55,194.917154787209,18,"7","4","1",2018,1,33,85,111,34,75,76,23,1002.4025,19.25,15.5125,"S","haze"
"dongsihuan_aq",2018-04-01 08:00:00,150,256,57,1,205,13,"8","4","1",2018,1,29,86,124,38,94,85,27.5,1001.054875,17.25,17.0875,"S","haze"
"dongsihuan_aq",2018-04-01 09:00:00,109,189,44,0.8,202,10,"9","4","1",2018,1,39,95,139,44,108,91,27,1000.528375,16.75,17.215,"S","haze"
"dongsihuan_aq",2018-04-01 10:00:00,94,153,47,0.8,195,9,"10","4","1",2018,1,34,97,134,50,104,89,26,1000.486675,18,15.1125,"S","cloudy"
"dongsihuan_aq",2018-04-01 11:00:00,80,162,43,0.8,171,8,"11","4","1",2018,1,33,82,123,57,98,76,23,1000.881925,21.25,12.565,"S","cloudy"
"dongsihuan_aq",2018-04-01 12:00:00,92,150,92,1,116,9,"12","4","1",2018,1,44,85,124,59,101,43,21.5,1001.496025,23.25,10.34,"S","cloudy"
"dongsihuan_aq",2018-04-01 13:00:00,131,202,141,1.3,70,12,"13","4","1",2018,1,59,83,127,57,117,20,19,1001.333175,24.5,9.5175,"S","cloudy"
"dongsihuan_aq",2018-04-01 14:00:00,137,229,142.5,1.3,48.668958794319,12,"14","4","1",2018,1,70,95,123,63,124,14,19.25,1001.563525,24.25,9.705,"SW","cloudy"
"dongsihuan_aq",2018-04-01 15:00:00,143,256,144,1.3,32,12,"15","4","1",2018,1,70,127,117,74,133,5,20,1001.550375,24.25,9.39,"SW","haze"
"dongsihuan_aq",2018-04-01 16:00:00,156.5,267.5,146.5,1.35,14.825933476752,14.5,"16","4","1",2018,1,69,141,102,84,146,2,20,940,22,18,"NO","cloudy"
"dongsihuan_aq",2018-04-01 17:00:00,170,279,149,1.4,2,17,"17","4","1",2018,1,73,133,91,88,176,2,12.2,1000.57135,32.25,6.7475,"SE","haze"
"dongsihuan_aq",2018-04-01 18:00:00,211,331,135,1.7,2,13,"18","4","1",2018,1,77,144,84,97,183,2,11.9,1000.40405,33.5,5.715,"SE","clear"
"dongsihuan_aq",2018-04-01 19:00:00,265,328,117,1.6,2,10,"19","4","1",2018,1,83,134,43,105,180,2,11.4,1000.23475,35.75,4.85,"E","cloudy"
"dongsihuan_aq",2018-04-01 20:00:00,290,347,104,1.6,2,8,"20","4","1",2018,1,86,149,10,106,191,2,11.1,1000.110425,37.75,4.4875,"E","cloudy"
"dongsihuan_aq",2018-04-01 21:00:00,286,331,109,1.5,2,9,"21","4","1",2018,1,90,141,2,110,176,2,11,1000.23265,40.25,4.585,"E","cloudy"
"dongsihuan_aq",2018-04-01 22:00:00,290,334,104,1.9,2,8,"22","4","1",2018,1,93,152,2,113,182,2,11,1000.983875,48,5.4925,"NE","cloudy"
"dongsihuan_aq",2018-04-01 23:00:00,281,327,93,2.2,2,8,"23","4","1",2018,1,93,170,2,122,178,2,11,1001.652025,50.25,5.885,"NE","cloudy"
"dongsihuan_aq",2018-04-02 00:00:00,274.5,326.5,92,2.4,1.59527728924816,10.5,"0","4","2",2018,1,96,183,2,122,189,2,6.5,1001.285675,49,5.905,"NE","cloudy"
"dongsihuan_aq",2018-04-02 01:00:00,268,326,91,2.6,3,13,"1","4","2",2018,1,106,205,2,108,182,12,15,1001.596275,45.5,5.96,"E","haze"
"dongsihuan_aq",2018-04-02 02:00:00,275,327,92,2.7,6,15,"2","4","2",2018,1,109,177,18,105,185,25,16,1001.996725,41.25,6.0575,"E","haze"
"dongsihuan_aq",2018-04-02 03:00:00,290,368,93,2.7,16,14,"3","4","2",2018,1,111,173.25,39,94,161,42,19,1001.752975,35.5,6.115,"E","haze"
"dongsihuan_aq",2018-04-02 04:00:00,293,346,91,2.3,34,15,"4","4","2",2018,1,114,169.5,51,91,138,55,21,1001.4221,42,6.0025,"E","haze"
"dongsihuan_aq",2018-04-02 05:00:00,276.5,326,93,2.25,53.6291282560076,15.5,"5","4","2",2018,1,116,165.75,62,95,129,73,23,1000.5917,36.5,5.75,"SE","haze"
"dongsihuan_aq",2018-04-02 06:00:00,260,306,95,2.2,74,16,"6","4","2",2018,1,113,162,76,101,135,81,24,1000.31785,31.5,5.1925,"SE","haze"
"dongsihuan_aq",2018-04-02 07:00:00,242,325,103,2.2,98,18,"7","4","2",2018,1,115,142,129,97,138,97,24,999.69385,28,4.3,"SE","haze"
"dongsihuan_aq",2018-04-02 08:00:00,220,288,90,2,136,18,"8","4","2",2018,1,118,139,139,96,133,126,25,999.809825,26.25,2.525,"SE","haze"
"dongsihuan_aq",2018-04-02 09:00:00,215,268,115,2,132,15,"9","4","2",2018,1,114,147,145,97,135,134,25,999.750725,27.25,2.965,"E","haze"
