"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"fengtaihuayuan_aq",2018-03-31 07:00:00,111,162,65,0.9,119,13,"7","3","7",2018,1,64,80.75,138,48.3333333333333,152,111,22,1002.738625,18,10.9825,"SE","haze"
"fengtaihuayuan_aq",2018-03-31 08:00:00,103,166,48,0.8,146,12,"8","3","7",2018,1,41,56.875,130,71,134,114,23.25,1000.816725,18,11.7,"S","cloudy"
"fengtaihuayuan_aq",2018-03-31 09:00:00,109,169,46,0.8,151,11,"9","3","7",2018,1,13,33,116,11,150,109,23.25,1000.251775,19.5,11.5025,"S","haze"
"fengtaihuayuan_aq",2018-03-31 10:00:00,123,193,59,0.9,139,12,"10","3","7",2018,1,60,47,102,32,148,102,23.5,1000.35025,21.75,11.7525,"S","haze"
"fengtaihuayuan_aq",2018-03-31 11:00:00,132,194,81,0.9,112,13,"11","3","7",2018,1,57,61,75,33,285,89,21.25,1000.9179,24.75,9.0625,"S","cloudy"
"fengtaihuayuan_aq",2018-03-31 12:00:00,138,205,107,1,75,14,"12","3","7",2018,1,57,79,55,25,182,69,18.75,1001.4355,27.25,5.8625,"SW","cloudy"
"fengtaihuayuan_aq",2018-03-31 13:00:00,149,204,114,1.2,54,13,"13","3","7",2018,1,44,89,41,37,120,70,16.5,1002.2085,28.5,3.5475,"W","cloudy"
"fengtaihuayuan_aq",2018-03-31 14:00:00,165,225,176,1.6,3,12,"14","3","7",2018,1,64,100,32,23,77,78,13.75,1002.76265,29,3.72,"NW","haze"
"fengtaihuayuan_aq",2018-03-31 15:00:00,158,256,178,1.9,3,12,"15","3","7",2018,1,63,112,16,41,65,75,13,1002.456825,28.25,5.045,"N","haze"
"fengtaihuayuan_aq",2018-03-31 16:00:00,166.722632999657,288,182.5,1.8,1.18496211368703,12.5,"16","3","7",2018,1,70,125,9,22,71,32,12.25,1003.158875,31.5,4.89,"N","haze"
"fengtaihuayuan_aq",2018-03-31 17:00:00,176,320,187,1.7,3,13,"17","3","7",2018,1,75,137,3,23,77,14,11.95,1003.4438,33.5,5.18,"N","haze"
"fengtaihuayuan_aq",2018-03-31 18:00:00,165,323,178,1.6,2,12,"18","3","7",2018,1,74,150,3,29,70,17,11.375,1003.2127,35.25,5.1525,"N","haze"
"fengtaihuayuan_aq",2018-03-31 19:00:00,145,263,151,1.3,2,10,"19","3","7",2018,1,66,155,3,29,78,5,11.1,1003.1917,37.25,4.48,"NE","clear"
"fengtaihuayuan_aq",2018-03-31 20:00:00,140,215,146,1.3,2,9,"20","3","7",2018,1,58,137,2,27,105,2,11.25,1003.80605,40,4.1025,"NE","clear"
"fengtaihuayuan_aq",2018-03-31 21:00:00,145,212,143,1.3,2,9,"21","3","7",2018,1,63,145,2,31,84,4,11.5,1003.1048,41.5,3.595,"NE","clear"
"fengtaihuayuan_aq",2018-03-31 22:00:00,147,249,152,1.5,2,9,"22","3","7",2018,1,57,121,2,63,92,3,9,1003.213525,43.75,3.425,"NE","clear"
"fengtaihuayuan_aq",2018-03-31 23:00:00,166,238,145,1.6,3,8,"23","3","7",2018,1,57,118,2,48,90,11,9.5,1003.516975,42.5,3.365,"E","clear"
"fengtaihuayuan_aq",2018-04-01 00:00:00,195.633844226593,250,135.666666666667,1.76666666666667,6.3389919383501,11.6666666666667,"0","4","1",2018,1,64,118,7,47,104,13,10.75,1004.696725,41,3.985,"SE","clear"
"fengtaihuayuan_aq",2018-04-01 01:00:00,224.314451162673,262,126.333333333333,1.93333333333333,17.7498176274706,15.3333333333333,"1","4","1",2018,1,68,105,24,33,103,27,16,1003.73425,36.75,4.565,"SE","clear"
"fengtaihuayuan_aq",2018-04-01 02:00:00,253,274,117,2.1,41,19,"2","4","1",2018,1,63,79,46,33,87,48,7.5,1002.4277,31.75,5.5725,"SE","clear"
"fengtaihuayuan_aq",2018-04-01 03:00:00,284,275.333333333333,94,2.2,99,27,"3","4","1",2018,1,59,69,67,43,68,82,20.75,1002.1159,27.25,7.1075,"SE","haze"
"fengtaihuayuan_aq",2018-04-01 04:00:00,286,276.666666666667,72,1.9,167,30,"4","4","1",2018,1,58,84,74,32,73,91,21.25,1001.547175,28.75,8.0375,"SE","haze"
"fengtaihuayuan_aq",2018-04-01 05:00:00,277,278,67,1.7,197,25,"5","4","1",2018,1,76,96,72,46,59,104,22.25,1000.466025,24.75,10.8875,"S","haze"
"fengtaihuayuan_aq",2018-04-01 06:00:00,276,256,54,1.5,224,19,"6","4","1",2018,1,72,84,131,33,69,114,23,999.198175,20.75,14.19,"S","haze"
"fengtaihuayuan_aq",2018-04-01 07:00:00,221.029739012552,234,43,1.25,234.217164789076,16,"7","4","1",2018,1,63,78,144,74,86,118,24,998.029525,18,16.6175,"S","haze"
"fengtaihuayuan_aq",2018-04-01 08:00:00,171,212,32,1,231,13,"8","4","1",2018,1,58,67,142,33,103,127,26.5,997.432525,16.25,18.44,"S","haze"
"fengtaihuayuan_aq",2018-04-01 09:00:00,110,157,23,0.7,201,8,"9","4","1",2018,1,58,83,152,62,102,128,26.25,995.8079,16,18.025,"S","haze"
"fengtaihuayuan_aq",2018-04-01 10:00:00,73,131,34,0.6,160,5,"10","4","1",2018,1,46,92,139,48.5,11,117,24.75,996.474775,17.75,15.6525,"S","cloudy"
