"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"guanyuan_aq",2018-03-31 07:00:00,95,139,66,0.8,123,13,"7","3","7",2018,1,61,107.625,151,40,141,104,22,1004.147275,17.75,10.9275,"SE","cloudy"
"guanyuan_aq",2018-03-31 08:00:00,105,153,58,0.8,140,13,"8","3","7",2018,1,51,84.75,163,37,135,109,23,1003.068525,18,11.4225,"S","cloudy"
"guanyuan_aq",2018-03-31 09:00:00,94,158,47,0.7,159,12,"9","3","7",2018,1,33,61.875,139,31,136,108,23,1002.261625,19,10.85,"S","cloudy"
"guanyuan_aq",2018-03-31 10:00:00,111,171,55,0.8,147,12,"10","3","7",2018,1,27,39,126,36,148,101,24,1002.651875,21,10.3525,"S","cloudy"
"guanyuan_aq",2018-03-31 11:00:00,117,180,58,0.8,143,13,"11","3","7",2018,1,36,51,115,43,303,77,22,1002.870275,24,7.0025,"S","cloudy"
"guanyuan_aq",2018-03-31 12:00:00,126,176,86,1,86,12,"12","3","7",2018,1,42,60,102,42,196,60,20.5,1003.052275,26.75,3.06,"S","cloudy"
"guanyuan_aq",2018-03-31 13:00:00,132,181,121,1.3,35,10,"13","3","7",2018,1,46,71,93,21,140,69,17.25,1003.665125,28.25,1.0825,"NE","cloudy"
"guanyuan_aq",2018-03-31 14:00:00,140,186,144,1.6,6,9,"14","3","7",2018,1,53,84,83,22,90,64,14.75,1004.566925,29,2.695,"N","clear"
"guanyuan_aq",2018-03-31 15:00:00,139,191,151,2.1,2,8,"15","3","7",2018,1,52,85,75,18,72,60,13.75,1004.777725,29,4.4075,"N","clear"
"guanyuan_aq",2018-03-31 16:00:00,137,194.5,149,2,0.121149827032838,7,"16","3","7",2018,1,55,92,56,20,64,52,12.5,1004.76475,32.5,4.265,"NE","cloudy"
"guanyuan_aq",2018-03-31 17:00:00,135,198,147,1.9,2,6,"17","3","7",2018,1,58,97,39,21,65,38,12.35,1004.9316,34.5,4.25,"NE","cloudy"
"guanyuan_aq",2018-03-31 18:00:00,136,196,146,1.4,2,6,"18","3","7",2018,1,58,89,17,21,61,27,11.6,1004.98845,36.25,4.0625,"NE","clear"
"guanyuan_aq",2018-03-31 19:00:00,115,188,139,1.3,2,5,"19","3","7",2018,1,55,87,2,24,61,25,11.2,1005.2157,39,3.6975,"NE","clear"
"guanyuan_aq",2018-03-31 20:00:00,124,181,136,1.2,2,6,"20","3","7",2018,1,45,80,2,20,54,39,11,1004.917775,41,3.1925,"NE","clear"
"guanyuan_aq",2018-03-31 21:00:00,125,187,139,1.3,2,7,"21","3","7",2018,1,41,74,2,21,50,44,11,1004.741325,41.5,2.715,"E","clear"
"guanyuan_aq",2018-03-31 22:00:00,147,198,138,1.4,2,8,"22","3","7",2018,1,37,76,2,17,51,43,9,1004.93165,44.5,2.9225,"E","clear"
"guanyuan_aq",2018-03-31 23:00:00,150,209,130,1.6,2,7,"23","3","7",2018,1,46,91,2,27,65,9,9.5,1005.391225,44,3.38,"SE","clear"
"guanyuan_aq",2018-04-01 00:00:00,180,221.333333333333,122.333333333333,1.8,7.26904962405731,14.6666666666667,"0","4","1",2018,1,54,105,2,29,81,13,8,1005.5512,41.75,4.1025,"SE","clear"
"guanyuan_aq",2018-04-01 01:00:00,210,233.666666666667,114.666666666667,2,21.7127764629417,22.3333333333333,"1","4","1",2018,1,57,97,14,27,78,41,16,1005.37875,38,4.895,"SE","clear"
"guanyuan_aq",2018-04-01 02:00:00,240,246,107,2.2,49,30,"2","4","1",2018,1,40,72,31,20,64,59,5,1004.969575,34,5.66,"SE","haze"
"guanyuan_aq",2018-04-01 03:00:00,261,236.5,93,2.6,110,41,"3","4","1",2018,1,42,76,47,26,74,74,20.25,1004.228025,29.25,6.5975,"SE","haze"
"guanyuan_aq",2018-04-01 04:00:00,250,227,78,2.1,176,34,"4","4","1",2018,1,51,77,80,24,73,83,21,1002.939275,30.25,7.695,"SE","haze"
"guanyuan_aq",2018-04-01 05:00:00,247,217.5,69,1.7,211,29,"5","4","1",2018,1,55,81,80,37,72,92,22,1002.002825,25.75,9.705,"S","haze"
"guanyuan_aq",2018-04-01 06:00:00,239,208,61,1.6,233,20,"6","4","1",2018,1,55,85,100,30,62,108,22,1001.17305,21.75,12.345,"S","haze"
"guanyuan_aq",2018-04-01 07:00:00,195.5,198.5,46.5,1.2,240.847541418776,15.5,"7","4","1",2018,1,55,83,152,38,79,112,23,999.72655,18.75,14.805,"S","haze"
"guanyuan_aq",2018-04-01 08:00:00,152,189,32,0.8,237,11,"8","4","1",2018,1,42,64,146,50,93,120,27,998.883075,17.25,16.37,"S","haze"
