"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"gucheng_aq",2018-03-31 07:00:00,133,193,79,0.9,110,10,"7","3","7",2018,1,57,58,161,39,189,93,23,989.30615,17.75,12.17,"SE","haze"
"gucheng_aq",2018-03-31 08:00:00,154,193,68,0.8,126,10,"8","3","7",2018,1,38,48,139,38,156,103.56603212696,23.5,986.765975,18,12.4875,"SE","cloudy"
"gucheng_aq",2018-03-31 09:00:00,245,197,50,0.8,155,10,"9","3","7",2018,1,34,54,132,28,158,112,23.5,986.1343,19.75,11.6525,"S","haze"
"gucheng_aq",2018-03-31 10:00:00,139,201,49,0.8,159,10,"10","3","7",2018,1,35,56,130,33,177,109,24,986.16765,21.75,10.6575,"S","haze"
"gucheng_aq",2018-03-31 11:00:00,78,219,66,0.9,138,11,"11","3","7",2018,1,39,70,124,33,235,97,21.5,986.73055,24.75,7.4075,"S","cloudy"
"gucheng_aq",2018-03-31 12:00:00,17,237,85,1,102,11,"12","3","7",2018,1,43,85,112,28,211,78,19.25,986.881025,27,4.0875,"SW","cloudy"
"gucheng_aq",2018-03-31 13:00:00,165,248,116,1.3,57,10,"13","3","7",2018,1,46,88,97,27,151,71,16.75,988.68125,27.5,2.61,"W","cloudy"
"gucheng_aq",2018-03-31 14:00:00,166.5,284,140,1.35,26.4230455042953,8.54703241530582,"14","3","7",2018,1,43,78,84,25,109,65,14.5,990.258075,27,4.28,"NW","haze"
"gucheng_aq",2018-03-31 15:00:00,168,320,164,1.4,2,7,"15","3","7",2018,1,45,84,62,23,99,56,13.25,989.21525,25.5,6.0475,"NW","haze"
"gucheng_aq",2018-03-31 16:00:00,165,373.5,154.5,1.25,0,5.93105876485583,"16","3","7",2018,1,50,100,25,24,100,51,11.75,989.384975,28.75,4.7125,"N","haze"
"gucheng_aq",2018-03-31 17:00:00,162,427,145,1.1,2,5,"17","3","7",2018,1,47,114,2,24,93,41,11.6,989.205425,28.75,4.5225,"N","haze"
"gucheng_aq",2018-03-31 18:00:00,134,294,134,1.1,2,4,"18","3","7",2018,1,39,94,3,26,92,20,11.3,988.444525,29,3.9725,"NW","haze"
"gucheng_aq",2018-03-31 19:00:00,127,272,128,1,2,4,"19","3","7",2018,1,49,182,2,33,121,2,11.1,989.7607,30.25,3.435,"NW","clear"
"gucheng_aq",2018-03-31 20:00:00,132,279,127,1.1,2,4,"20","3","7",2018,1,50,198,2,32,122,2,11,989.1365,31,2.7625,"NW","clear"
"gucheng_aq",2018-03-31 21:00:00,132,258,130,1.1,2,4,"21","3","7",2018,1,63,312,2,31,120,2,11,988.193225,32,2.085,"NW","clear"
"gucheng_aq",2018-03-31 22:00:00,138,307,127,1.1,2,4,"22","3","7",2018,1,64,284,2,31,134,2,9,989.65145,34.25,1.4725,"W","clear"
"gucheng_aq",2018-03-31 23:00:00,130,310,108,1,2,3,"23","3","7",2018,1,44,183,2,30,108,2,9.25,989.91695,33.5,1.335,"SW","clear"
"gucheng_aq",2018-04-01 00:00:00,152,311.666666666667,105.333333333333,1.16666666666667,11.4311409414944,5.39707470566182,"0","4","1",2018,1,39,153,6,36,107,8,10.25,989.489575,32.25,2.475,"S","clear"
"gucheng_aq",2018-04-01 01:00:00,174,313.333333333333,102.666666666667,1.33333333333333,26.5888518058213,8.48593592579704,"1","4","1",2018,1,52,131,23,36,111,19,16,988.3562,29.75,4.215,"SE","clear"
"gucheng_aq",2018-04-01 02:00:00,196,315,100,1.5,48,12,"2","4","1",2018,1,59,102,52,33,93,44,5,988.9724,27.5,6.1025,"SE","clear"
"gucheng_aq",2018-04-01 03:00:00,233,287,123,1.7,63,18,"3","4","1",2018,1,50,89,76,31,71,83,20.5,988.21685,24.25,7.92,"SE","haze"
"gucheng_aq",2018-04-01 04:00:00,245,286,99,1.5,142,21,"4","4","1",2018,1,55,91,86,33,78,101,21,987.150225,27,9.1825,"SE","haze"
"gucheng_aq",2018-04-01 05:00:00,264,301,66,1.4,209,24,"5","4","1",2018,1,61,106,78,33,67,111,22,986.984125,23.75,10.805,"S","haze"
"gucheng_aq",2018-04-01 06:00:00,249,285,58,1.2,225,18,"6","4","1",2018,1,63,101,119,29,77,121,22.5,983.944325,20.5,12.7625,"S","haze"
"gucheng_aq",2018-04-01 07:00:00,211,237.5,44.5,1,231.84241151264,15.0790626738421,"7","4","1",2018,1,59,92,156,41,90,127,23.5,984.66405,17.5,14.56,"S","haze"
"gucheng_aq",2018-04-01 08:00:00,173,190,31,0.8,228,12,"8","4","1",2018,1,108,87,155,46,103,129,26,982.5221,16,15.6325,"S","haze"
"gucheng_aq",2018-04-01 09:00:00,116,171,22,0.7,211,9,"9","4","1",2018,1,67,82,168,52,112,125,26,981.69645,15.5,15.1025,"S","haze"
"gucheng_aq",2018-04-01 10:00:00,95,147,27,0.6,190,7,"10","4","1",2018,1,91,100,170,59,118,118,25,982.35195,18,13.08,"S","cloudy"
"gucheng_aq",2018-04-01 11:00:00,100,194,42,0.7,171,6,"11","4","1",2018,1,73,93,144,56,110,111,23,982.882225,20.75,10.4675,"S","cloudy"
"gucheng_aq",2018-04-01 12:00:00,146,280,52,0.9,173,8,"12","4","1",2018,1,75,111,116,57,117,99,21,982.718075,23.25,8.2425,"S","cloudy"
"gucheng_aq",2018-04-01 13:00:00,171,264,57,1,155,11,"13","4","1",2018,1,74,108,106,58,108,90,20,983.586675,24.5,7.425,"SW","cloudy"
"gucheng_aq",2018-04-01 14:00:00,180,276,93,1.05,104.714842088731,11.7393983476587,"14","4","1",2018,1,95,136,123,61,123,70,23.25,983.077275,24,8.11,"SW","haze"
"gucheng_aq",2018-04-01 15:00:00,189,288,129,1.1,53,12,"15","4","1",2018,1,108,157,98,71,147,39,17.25,984.126275,23.25,8.19,"SW","haze"
"gucheng_aq",2018-04-01 16:00:00,189.5,292,150.5,1.1,23.4681075597277,10.6608481187923,"16","4","1",2018,1,112,152,85,73,149,15,20,940,22,18,"NO","cloudy"
