"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"huairou_aq",2018-03-31 07:00:00,86,125,52,0.8,124,12,"7","3","7",2018,1,35,45.6666666666667,100,58,165,93,21,985.16385,21,13.345,"S","cloudy"
"huairou_aq",2018-03-31 08:00:00,91,146,62,0.9,114,14,"8","3","7",2018,1,12,26,101,65,179,89,22,984.439425,21.75,13.7775,"S","cloudy"
"huairou_aq",2018-03-31 09:00:00,97,163,59,0.9,121,14,"9","3","7",2018,1,10,47,114,86,162,93,22,984.0665,23.5,11.85,"S","cloudy"
"huairou_aq",2018-03-31 10:00:00,103,167,65,1,117,12,"10","3","7",2018,1,23,77,140,393.612129760652,125,92,23,984.163725,26,7.9375,"S","cloudy"
"huairou_aq",2018-03-31 11:00:00,103,175,87,1.2,83,12,"11","3","7",2018,1,50,62,120,722.429281482341,6,85,20.75,984.54175,29.5,3.0625,"SE","cloudy"
"huairou_aq",2018-03-31 12:00:00,115,196,86,1.4,63,10,"12","3","7",2018,1,44,90,38,1046.2403683237,6,54,18,985.0559,32.5,4.8375,"NE","cloudy"
"huairou_aq",2018-03-31 13:00:00,114,180,74,1.3,61,9,"13","3","7",2018,1,61,98,31,1338.83430344338,6,58,15,985.551525,34.25,6.6,"N","cloudy"
"huairou_aq",2018-03-31 14:00:00,113,169,66,1.3,69,7,"14","3","7",2018,1,56,110,7,1574,38.5,60,14,985.966575,35,6.41,"N","cloudy"
"huairou_aq",2018-03-31 15:00:00,108,139,41,1.1,68,7,"15","3","7",2018,1,71,83,37,1462.66592462838,71,56,13,986.262,35.25,5.5375,"N","clear"
"huairou_aq",2018-03-31 16:00:00,105,131,38.5,1.05,64.955745167831,6.63693020610997,"16","3","7",2018,1,59,64.5,71,1284.92045887188,58,57,10,986.351075,37.5,3.3725,"N","clear"
"huairou_aq",2018-03-31 17:00:00,102,123,36,1,62,6,"17","3","7",2018,1,46,46,70,1057.99153775004,60,54,10,986.351975,38.5,3.1325,"N","clear"
"huairou_aq",2018-03-31 18:00:00,98,121,30,1,65,5,"18","3","7",2018,1,41,45,68,799.107096282397,61,34,10,986.248,39.75,3.1425,"N","clear"
"huairou_aq",2018-03-31 19:00:00,101,118,30,1,61,5,"19","3","7",2018,1,42,44,68,525.495069488485,50,25,10,986.077675,41.5,3.1275,"N","clear"
"huairou_aq",2018-03-31 20:00:00,102,117,31,0.9,56,4,"20","3","7",2018,1,42,43,66.3381502121358,254.383392387841,52,22,10,985.930575,42.5,2.9575,"NW","clear"
"huairou_aq",2018-03-31 21:00:00,102,118,30,1,50,4,"21","3","7",2018,1,35,45,64,3,48,28,10,985.9088,42.5,2.4475,"NW","clear"
"huairou_aq",2018-03-31 22:00:00,102,122,30,1,45,3,"22","3","7",2018,1,39,48,57,3,50,32,8,986.18195,43.75,1.245,"NW","clear"
