"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"miyun_aq",2018-03-31 07:00:00,80,125,37,0.7,159,10,"7","3","7",2018,1,17,51.6666666666667,123,6,121,111,24,990.38405,22,12.695,"S","cloudy"
"miyun_aq",2018-03-31 08:00:00,87,150,41,0.8,177,14,"8","3","7",2018,1,14,36.3333333333333,122,22,126,112,24,989.641625,22.75,13.325,"S","cloudy"
"miyun_aq",2018-03-31 09:00:00,99,154,44,0.8,171,15,"9","3","7",2018,1,9,21,116,24,150,113,24,989.25945,24,11.425,"S","cloudy"
"miyun_aq",2018-03-31 10:00:00,92,167,50,0.8,149,13,"10","3","7",2018,1,13,42,109,30,142,109,24,989.399175,27.25,7.24,"S","cloudy"
"miyun_aq",2018-03-31 11:00:00,74,159,87,0.9,106,13,"11","3","7",2018,1,55,74,123,19,125,95,23,989.79195,30.25,2.23,"SE","cloudy"
"miyun_aq",2018-03-31 12:00:00,112,187,98,1.1,76,12,"12","3","7",2018,1,62,83,84,28,232,74,22,990.30775,32.5,4.8125,"NE","cloudy"
"miyun_aq",2018-03-31 13:00:00,106,190,126,1.3,39,12,"13","3","7",2018,1,42,70,87,21,155,77,17,990.78235,34,6.4925,"NE","cloudy"
"miyun_aq",2018-03-31 14:00:00,126,207,154,1.4,2,9,"14","3","7",2018,1,59,86,17,17,90,79,13,991.16465,35,6.01,"N","clear"
"miyun_aq",2018-03-31 15:00:00,114,196,132,1.1,3,7,"15","3","7",2018,1,67,98,19,15,75,63,11,991.4319,36,4.875,"N","clear"
"miyun_aq",2018-03-31 16:00:00,104,167,112.5,1.1,14.8852743295288,6,"16","3","7",2018,1,47,96,2,14,63,65,9.5,991.542225,38.75,3.115,"N","clear"
"miyun_aq",2018-03-31 17:00:00,94,138,93,1.1,30,5,"17","3","7",2018,1,52,99,7,14,56,52,9.4,991.54265,40.5,3.0975,"NE","clear"
"miyun_aq",2018-03-31 18:00:00,96,123,80,1,30,4,"18","3","7",2018,1,51,96,3,13,54,46,9.6,991.4397,43,3.1375,"NE","clear"
"miyun_aq",2018-03-31 19:00:00,90,119,58,1,43,3,"19","3","7",2018,1,58,70,3,9,60,32,9.2,991.2673,45,2.94,"N","clear"
"miyun_aq",2018-03-31 20:00:00,98,126,87,1,11,3,"20","3","7",2018,1,45,60,23,16,80,6,9,991.11695,46.5,2.505,"N","clear"
"miyun_aq",2018-03-31 21:00:00,98,125,82,1,16,2,"21","3","7",2018,1,44,53,36,21,69,10,9,991.09405,47,1.815,"N","clear"
"miyun_aq",2018-03-31 22:00:00,111,139,82,1,10,2,"22","3","7",2018,1,41,53,24,21,82,6,8,991.376325,48.5,1.0275,"NW","clear"
"miyun_aq",2018-03-31 23:00:00,93,141,85,1.1,8,3,"23","3","7",2018,1,42,63,16,22,85,12,8,991.609825,45.75,1.9975,"SW","clear"
"miyun_aq",2018-04-01 00:00:00,101,151,77.3333333333333,1.1,23.2901060401024,5.66666666666667,"0","4","1",2018,1,47,91,28,24,103,21,0,991.704925,42.5,3.985,"S","clear"
"miyun_aq",2018-04-01 01:00:00,109,161,69.6666666666667,1.1,45.461610073201,8.33333333333333,"1","4","1",2018,1,49,83,34,28,96,22,15,991.51845,38.5,6.1175,"S","clear"
"miyun_aq",2018-04-01 02:00:00,117,171,62,1.1,74,11,"2","4","1",2018,1,44,74,68,22,42,74,12,991.060825,34.75,8.42,"S","clear"
"miyun_aq",2018-04-01 03:00:00,135,205,46,1.1,124,15,"3","4","1",2018,1,37,68,92,14,46,85,20,990.38095,30.75,11.09,"S","clear"
"miyun_aq",2018-04-01 04:00:00,174,246,49,1.4,163,20,"4","4","1",2018,1,43,55,124,39,61,89,22,989.58635,34,13.645,"S","haze"
"miyun_aq",2018-04-01 05:00:00,233,262,49,2,206,30,"5","4","1",2018,1,41,42,130,32,60,98,23,989.61625,30.5,16.0775,"S","haze"
"miyun_aq",2018-04-01 06:00:00,262,249.75,54,2.6,243,38,"6","4","1",2018,1,39,51,137,17,61,115,24,987.342825,27,18.18,"S","haze"
