"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"nongzhanguan_aq",2018-03-31 07:00:00,100,150,62,0.8,127,15,"7","3","7",2018,1,47,49,116,45,137,83.644432489167,22,1006.670175,18,10.01,"SE","cloudy"
"nongzhanguan_aq",2018-03-31 08:00:00,94,167,49,0.8,149,14,"8","3","7",2018,1,60,48.6666666666667,141,44,168,93,23,1005.71875,18,10.635,"S","cloudy"
"nongzhanguan_aq",2018-03-31 09:00:00,100,162,44,0.8,161,12,"9","3","7",2018,1,44,48.3333333333333,140,41,150,96,23,1005.139025,19,10.14,"S","cloudy"
"nongzhanguan_aq",2018-03-31 10:00:00,108,196,58,0.8,144,13,"10","3","7",2018,1,35,48,121,50,224,90,24,1005.064675,21,10.0325,"S","cloudy"
"nongzhanguan_aq",2018-03-31 11:00:00,124,214,68,0.9,129,14,"11","3","7",2018,1,33,55,106,38,297,65,21,1005.13255,24,6.335,"S","cloudy"
"nongzhanguan_aq",2018-03-31 12:00:00,109.5,9,58,0.9,129,14,"12","3","7",2018,1,41,59,91,35,187,57,19.75,1005.556425,27,2.3975,"SE","cloudy"
"nongzhanguan_aq",2018-03-31 13:00:00,95,138,103,1.3,66,13,"13","3","7",2018,1,47,69,88,32,158,57,17.25,1006.0816,28.75,1.445,"NE","cloudy"
"nongzhanguan_aq",2018-03-31 14:00:00,121.5,169,132,1.5,29.1059315311392,11.5,"14","3","7",2018,1,51,72,78,25,114,56,15.25,1006.993825,30,2.975,"NE","cloudy"
"nongzhanguan_aq",2018-03-31 15:00:00,148,200,161,1.7,2,10,"15","3","7",2018,1,55,85,76,24,88,51,14.5,1007.116375,30.75,4.395,"NE","haze"
"nongzhanguan_aq",2018-03-31 16:00:00,149,216.5,164,1.7,0,9.5,"16","3","7",2018,1,57,90,75,25,71,56,12.5,1007.170325,34.75,4.9025,"NE","cloudy"
"nongzhanguan_aq",2018-03-31 17:00:00,150,233,167,1.7,2,9,"17","3","7",2018,1,56,88,65,18,58,54,12.2,1007.2389,37.25,4.94,"NE","haze"
"nongzhanguan_aq",2018-03-31 18:00:00,153,236,169,1.9,2,9,"18","3","7",2018,1,62,87,24,22,56,49,11.6,1007.447225,40.25,4.7875,"NE","clear"
"nongzhanguan_aq",2018-03-31 19:00:00,161,280,174,2.1,2,9,"19","3","7",2018,1,67,94,2,20,61,25,11.2,1007.7569,43.75,4.6475,"E","clear"
