"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"pingchang_aq",2018-03-31 07:00:00,85,133,52,0.9,117,12,"7","3","7",2018,1,14,16,106,48,183,99,23,983.5476,17.5,13.2625,"S","cloudy"
"pingchang_aq",2018-03-31 08:00:00,98,147,68,0.9,109,12,"8","3","7",2018,1,23,47,127,41,162,104,24,982.567275,18.5,14.045,"S","cloudy"
"pingchang_aq",2018-03-31 09:00:00,106,154,70,0.8,108,11,"9","3","7",2018,1,44,74,148,34,144,110,24,982.482875,20.25,13.1325,"SE","cloudy"
"pingchang_aq",2018-03-31 10:00:00,105,168,62,0.8,118,11,"10","3","7",2018,1,28,58,120,27,137,105,24,985.337925,21.75,10.6225,"SE","cloudy"
"pingchang_aq",2018-03-31 11:00:00,104,171,69,0.9,97,10,"11","3","7",2018,1,24,56,104,31,136,94,22,982.85595,24.75,6.5175,"SE","cloudy"
"pingchang_aq",2018-03-31 12:00:00,112,177,80,1.1,72,10,"12","3","7",2018,1,33,66,77,40,272,71,21,983.42755,27,4.1375,"E","cloudy"
"pingchang_aq",2018-03-31 13:00:00,110,170,65,1,65,8,"13","3","7",2018,1,44,84,63,36,203,67,17,983.5321,28,4.475,"NE","cloudy"
"pingchang_aq",2018-03-31 14:00:00,100,153,57,0.9,66,8,"14","3","7",2018,1,42,82,76,29,141,66,16,983.196175,27.5,5.61,"N","clear"
"pingchang_aq",2018-03-31 15:00:00,103,141,52,0.9,62,8,"15","3","7",2018,1,37,81,73,28,103,54,14,983.8417,26.5,6.7275,"NW","clear"
"pingchang_aq",2018-03-31 16:00:00,103,152.5,44.7169176759158,0.85,64.2844293107991,7.5,"16","3","7",2018,1,34,116,75,27,93,36,12,985.037875,29.75,5.31,"NW","clear"
"pingchang_aq",2018-03-31 17:00:00,103,164,37,0.8,67,7,"17","3","7",2018,1,29,60,73,29,92,25,11.8,984.9694,29,5.1,"NW","clear"
"pingchang_aq",2018-03-31 18:00:00,101,155,36,0.8,65,7,"18","3","7",2018,1,30,104,73,23,69,25,11.6,983.723975,28.5,4.7725,"NW","clear"
"pingchang_aq",2018-03-31 19:00:00,102,135,36,0.8,65,7,"19","3","7",2018,1,29,42,61,23,70,24,11.2,984.401325,28,4.6825,"NW","clear"
"pingchang_aq",2018-03-31 20:00:00,107,125,40,0.8,61,7,"20","3","7",2018,1,32,60,53,21,70,29,11,984.559175,28.25,4.515,"NW","clear"
"pingchang_aq",2018-03-31 21:00:00,107,141,51,0.8,42,6,"21","3","7",2018,1,36,89,10,23,57,29,11,984.464025,28.25,4.045,"NW","clear"
"pingchang_aq",2018-03-31 22:00:00,116,135,65,0.9,24,5,"22","3","7",2018,1,42,116,2,18,55,30,9,984.80085,29,2.33,"NW","clear"
"pingchang_aq",2018-03-31 23:00:00,123,159,60,1,29,6,"23","3","7",2018,1,37,84,4,23,66,34,9,984.9461,28.75,0.7875,"NW","clear"
"pingchang_aq",2018-04-01 00:00:00,159,159.909090909091,67.2036824146091,1.6,38.617935039208,19.3333333333333,"0","4","1",2018,1,35,108,25,28,84,34,13,983.9307,27.25,2.05,"SW","clear"
"pingchang_aq",2018-04-01 01:00:00,195,160.818181818182,73.4675946879232,2.2,53.031583281444,32.6666666666667,"1","4","1",2018,1,56,105,19,30,98,43,16,984.603825,25.75,4.5475,"S","clear"
"pingchang_aq",2018-04-01 02:00:00,231,161.727272727273,81,2.8,72,46,"2","4","1",2018,1,65,162,9,34,84,41,5,983.266625,23.75,7.13,"S","clear"
"pingchang_aq",2018-04-01 03:00:00,252,162.636363636364,74,2.6,106,44,"3","4","1",2018,1,63,147,27,36,80,43,20,983.712575,21.75,9.66,"S","haze"
"pingchang_aq",2018-04-01 04:00:00,247,163.545454545455,71,2.2,140,38,"4","4","1",2018,1,56,118,57,26,64,77,22,982.8788,25.5,11.615,"S","haze"
"pingchang_aq",2018-04-01 05:00:00,245,164.454545454545,61,1.8,189,30,"5","4","1",2018,1,42,104,69,34,65,95,23,980.693125,23,13.2425,"S","haze"
"pingchang_aq",2018-04-01 06:00:00,266,165.363636363636,61,1.8,222,28,"6","4","1",2018,1,37,68,96,35,67,99,24,980.94855,21,14.6775,"S","haze"
"pingchang_aq",2018-04-01 07:00:00,256,166.272727272727,54.6668922697153,1.55,235.695716353051,23,"7","4","1",2018,1,35,66,108,43,85,108,25,979.84215,19.25,15.68,"S","haze"
"pingchang_aq",2018-04-01 08:00:00,246,167.181818181818,49,1.3,241,18,"8","4","1",2018,1,41,72,130,39,85,116,25,978.44135,17.5,15.87,"S","haze"
"pingchang_aq",2018-04-01 09:00:00,191,168.090909090909,41,1.1,212,14,"9","4","1",2018,1,35,58,141,45,98,123,26,978.15095,17.25,15.0825,"S","haze"
