"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"pinggu_aq",2018-03-31 07:00:00,119.931424074904,181.275520145704,41,1.49999999999994,167.000000000116,2,"7","3","7",2018,1,46,89.5493160606508,124,24,73,95,23,988.25065,24,9.9775,"S","cloudy"
"pinggu_aq",2018-03-31 08:00:00,120,182,41,1.5,167,2,"8","3","7",2018,1,30,77.7051602236319,114.739901681584,22,102,98,23,987.015125,24.25,10.37,"S","cloudy"
"pinggu_aq",2018-03-31 09:00:00,104,157,33,1.1,176,2,"9","3","7",2018,1,14,22,105,23,112,98,24,986.8927,25.5,8.875,"S","cloudy"
"pinggu_aq",2018-03-31 10:00:00,108,177,34,0.8,188,2,"10","3","7",2018,1,17,39,99,24,215,84,24,988.129675,27.25,6.5125,"S","cloudy"
"pinggu_aq",2018-03-31 11:00:00,133,172,45,1,163,2,"11","3","7",2018,1,46,64,111,34,138,66,21,987.2063,30.25,2.6275,"SE","cloudy"
"pinggu_aq",2018-03-31 12:00:00,135.919999004172,164.362256341297,47.3333333333333,1.13333333333333,137.308011732505,2,"12","3","7",2018,1,67,80,111,27,103,70,18,988.926575,33.5,3.8775,"NE","cloudy"
"pinggu_aq",2018-03-31 13:00:00,140.236087597923,157.958128407933,49.6666666666667,1.26666666666667,110.8081002898,2,"13","3","7",2018,1,77,114,64,29,111,56,16,988.2142,36,5.5675,"NE","cloudy"
"pinggu_aq",2018-03-31 14:00:00,144,151,52,1.4,88,2,"14","3","7",2018,1,89,93,39,31,107,40,15,989.84555,38.75,6.1925,"NE","cloudy"
"pinggu_aq",2018-03-31 15:00:00,158,146.880326219063,49,1.4,85,2,"15","3","7",2018,1,64,82.3788012579557,52,34,105,39,14,988.884175,41.75,6.245,"E","clear"
"pinggu_aq",2018-03-31 16:00:00,140.902575151881,142.206651963557,42,1.35,83.6776617948139,2,"16","3","7",2018,1,54,79.9897680628956,71,36,90,39,9.4,989.04235,44.75,6.5125,"E","clear"
"pinggu_aq",2018-03-31 17:00:00,125,137.532977708051,35,1.3,84,2,"17","3","7",2018,1,53,58,79,40,63,48,9,989.02535,47.5,6.335,"E","haze"
"pinggu_aq",2018-03-31 18:00:00,122,132.859303452546,31,1.3,83,2,"18","3","7",2018,1,50,80.1347581321839,80,40.5,78.9017381010301,30.1294876577968,9,988.896725,50.25,6.075,"E","clear"
"pinggu_aq",2018-03-31 19:00:00,117,128,31,1.2,79,2,"19","3","7",2018,1,46,82.6687813965322,72,41,62,12,9,988.83585,53,5.7575,"E","clear"
"pinggu_aq",2018-03-31 20:00:00,120,120,37,1.2,65,2,"20","3","7",2018,1,49,85.2028046608805,56.3417087173588,39.5,75.5674873454449,10.8467971690133,9,988.5423,54.25,5.2875,"E","clear"
"pinggu_aq",2018-03-31 21:00:00,118,129,44,1.1,42,2,"21","3","7",2018,1,70,87.7368279252288,40,38,75.6001163908983,13.167426405149,10.6,988.5109,55,4.75,"E","clear"
"pinggu_aq",2018-03-31 22:00:00,132,157,55,1.3,35,2,"22","3","7",2018,1,60,90.2708511895771,20,36.5,75.6327454363517,17.9043424387102,8,988.7972,56.25,4.5375,"E","clear"
"pinggu_aq",2018-03-31 23:00:00,144,159,69,1.3,27,2,"23","3","7",2018,1,52,86,27,35,64,24,8,990.333925,53.5,4.16,"E","clear"
"pinggu_aq",2018-04-01 00:00:00,160.926244484569,180.6495226903,64.3333333333333,1.4,35.8420959881344,2,"0","4","1",2018,1,66,109,27,40,90,23,12,990.46335,48.75,3.925,"SE","haze"
"pinggu_aq",2018-04-01 01:00:00,177.52240735366,199.192048927675,59.6666666666667,1.5,51.7939226441865,2,"1","4","1",2018,1,63,126,50,40,100,23,14,989.042125,43.5,4.2525,"SE","clear"
"pinggu_aq",2018-04-01 02:00:00,193,210,55,1.6,73,2,"2","4","1",2018,1,64,84,66,43,58,46,6.25,988.772375,38.5,5.6775,"S","clear"
"pinggu_aq",2018-04-01 03:00:00,224,276,70,2.3,83,2,"3","4","1",2018,1,76,87,97,43,68,66,20,988.136,33,8.035,"S","haze"
"pinggu_aq",2018-04-01 04:00:00,273,254.524953227235,80,3.3,123,2,"4","4","1",2018,1,60,85.9417488971027,118,39,82,80,22,987.2389,35,10.6825,"S","clear"
"pinggu_aq",2018-04-01 05:00:00,265,248.613396070556,53,3,194,2,"5","4","1",2018,1,57,82.8790724411807,119,40,69,89,23,986.36635,31.25,13.3475,"S","clear"
"pinggu_aq",2018-04-01 06:00:00,248,242.701838913877,43,2.4,225,2,"6","4","1",2018,1,55,79.8163959852587,131,38,54,98,24,985.3863,27.75,15.4975,"SW","clear"
"pinggu_aq",2018-04-01 07:00:00,238.705818095374,236.790281757198,39.5,2.1,240.385073398523,2,"7","4","1",2018,1,42,76.7537195293366,132,38,77,105,25,984.466925,25,16.6825,"SW","clear"
"pinggu_aq",2018-04-01 08:00:00,229,230.878724600519,36,1.8,244,2,"8","4","1",2018,1,47,56,131,40,59,106,25,981.9174,24,16.8875,"SW","cloudy"
