"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"qianmen_aq",2018-03-31 07:00:00,107,153,64,0.9,120,17,"7","3","7",2018,1,71,135.8,130,36,138,93,22.5,1005.56335,18,10.3425,"SE","cloudy"
"qianmen_aq",2018-03-31 08:00:00,112,159,55,0.8,139,16,"8","3","7",2018,1,62,104.2,143,52,156,96,23.5,1004.54445,18,11.3175,"S","cloudy"
"qianmen_aq",2018-03-31 09:00:00,105,171,57,0.8,142,14,"9","3","7",2018,1,37,72.6,126,38,137,93,23.5,1004.038225,19,11.28,"S","cloudy"
"qianmen_aq",2018-03-31 10:00:00,120,202,68,0.9,131,16,"10","3","7",2018,1,38,41,113,41,255,82,23,1004.1668,21.25,11.875,"S","cloudy"
"qianmen_aq",2018-03-31 11:00:00,136,217,76,1,122,16,"11","3","7",2018,1,39,56,100,32,235,60,21,1004.1351,24.25,9.125,"S","cloudy"
"qianmen_aq",2018-03-31 12:00:00,151,200,101,1.2,84,16,"12","3","7",2018,1,46,70,87,27,137,54,18.5,1004.415425,27,5.5675,"SW","cloudy"
"qianmen_aq",2018-03-31 13:00:00,165,229,146,1.6,27,16,"13","3","7",2018,1,51,74,77,19,98,64,17.25,1004.83725,28.75,2.7175,"W","cloudy"
"qianmen_aq",2018-03-31 14:00:00,186,249,170,2.1,5,15,"14","3","7",2018,1,57,78,70,27,80,53,14.75,1005.975225,30,2.5775,"N","cloudy"
"qianmen_aq",2018-03-31 15:00:00,192,247,172,2.1,4,15,"15","3","7",2018,1,61,83,69,26,67,45,14,1006.101925,30,4.1775,"N","haze"
"qianmen_aq",2018-03-31 16:00:00,182,250,167.5,2.35,2.0384491464173,14,"16","3","7",2018,1,60,80,64,15,47,49,12.5,1006.1822,33.5,5.1375,"NE","cloudy"
"qianmen_aq",2018-03-31 17:00:00,172,253,163,2.6,3,13,"17","3","7",2018,1,65,100,16,29,55,39,12.15,1006.473275,36.75,5.555,"NE","haze"
"qianmen_aq",2018-03-31 18:00:00,164,223,160,2.7,2,11,"18","3","7",2018,1,75,91,20,28,56,31,11.45,1006.331425,39,5.4375,"NE","haze"
"qianmen_aq",2018-03-31 19:00:00,148,198,151,1.6,2,10,"19","3","7",2018,1,70,92,6,22,58,16,11.1,1006.366475,42.25,5.0625,"NE","clear"
"qianmen_aq",2018-03-31 20:00:00,144,218,150,1.5,2,11,"20","3","7",2018,1,61,79,3.00633595842462,38,57,3,11.25,1006.41415,45.25,4.645,"NE","clear"
"qianmen_aq",2018-03-31 21:00:00,159,254,159,1.9,2,13,"21","3","7",2018,1,51,79,3,30,68,2,11.25,1006.2451,46.5,4.2425,"NE","clear"
"qianmen_aq",2018-03-31 22:00:00,199,289,152,1.8,2,13,"22","3","7",2018,1,55,88,3,37,86,2,9,1006.5882,49,4.395,"E","clear"
