"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"shunyi_aq",2018-03-31 07:00:00,104,143,52,1,142,16,"7","3","7",2018,1,9,75.5,106,48,186,102,22,1006.050275,20,12.1775,"S","cloudy"
"shunyi_aq",2018-03-31 08:00:00,102,156,58,1,137,16,"8","3","7",2018,1,12,70,113,47,188,106,22,1005.111775,20.25,12.54,"S","cloudy"
"shunyi_aq",2018-03-31 09:00:00,99,164,63,1,135,16,"9","3","7",2018,1,48,64.5,131,32,149,107,23,1004.63565,21.25,10.3975,"S","cloudy"
"shunyi_aq",2018-03-31 10:00:00,101,170,59,1.1,147,15,"10","3","7",2018,1,50,59,144,34,139,104,24,1004.583125,23.25,7.185,"S","cloudy"
"shunyi_aq",2018-03-31 11:00:00,100,168,70,1.1,125,14,"11","3","7",2018,1,39,54,112,43,237,77,21,1004.81695,26.5,2.12,"E","cloudy"
"shunyi_aq",2018-03-31 12:00:00,101,177,92,1.2,84,13,"12","3","7",2018,1,40,69,90,31,207,51,19,1005.45955,29,4.805,"NE","cloudy"
"shunyi_aq",2018-03-31 13:00:00,120,197,114,1.3,63,14,"13","3","7",2018,1,42,71,80,25,139,47,17,1005.96515,31,6.5375,"NE","cloudy"
"shunyi_aq",2018-03-31 14:00:00,137,196,104,1.4,64,15,"14","3","7",2018,1,52,77,65,23,87,57,15,1006.4542,32.75,6.4275,"NE","clear"
"shunyi_aq",2018-03-31 15:00:00,150,194,72,1.3,80,15,"15","3","7",2018,1,51,70,54,16,77,61,14,1006.8367,34.5,5.775,"NE","clear"
"shunyi_aq",2018-03-31 16:00:00,153.5,191,88,1.35,61.4428485782208,14,"16","3","7",2018,1,52,107,14,22,69,60,11.5,1007.01715,37.5,4.325,"NE","clear"
"shunyi_aq",2018-03-31 17:00:00,157,188,104,1.4,38,13,"17","3","7",2018,1,43,77,2,22,60,56,11,1007.0602,40,4.2875,"NE","haze"
"shunyi_aq",2018-03-31 18:00:00,137,177,110,1.4,26,12,"18","3","7",2018,1,67,68,10,22,65,28,11,1007.03525,43,4.2575,"NE","haze"
"shunyi_aq",2018-03-31 19:00:00,131,161,125,1.4,10,10,"19","3","7",2018,1,60,82,11,25,69,13,11,1006.824425,45.5,3.7125,"NE","clear"
"shunyi_aq",2018-03-31 20:00:00,126,162,123,1.4,3,8,"20","3","7",2018,1,58,70,14,28,73,8,11,1006.71515,47.5,3.01,"NE","clear"
"shunyi_aq",2018-03-31 21:00:00,141,168,121,1.5,4,10,"21","3","7",2018,1,60,68,22,31,78,6,11,1006.8145,48.75,2.3975,"NE","clear"
"shunyi_aq",2018-03-31 22:00:00,170,192,121,1.6,5,12,"22","3","7",2018,1,57,75,8,34,65,2,9,1007.156975,50.75,2.3375,"E","clear"
"shunyi_aq",2018-03-31 23:00:00,153,175,113,1.4,6,11,"23","3","7",2018,1,50,63,5,39,93,5,11,1007.2976,48,3.0875,"SE","haze"
"shunyi_aq",2018-04-01 00:00:00,162.666666666667,185.333333333333,106.333333333333,1.6,13.8541042686622,16.6666666666667,"0","4","1",2018,1,58,84,25,39,79,13,13,1007.48795,45.25,4.575,"S","haze"
"shunyi_aq",2018-04-01 01:00:00,172.333333333333,195.666666666667,99.6666666666667,1.8,29.5249720061317,22.3333333333333,"1","4","1",2018,1,50,86,66,36,98,21,15.75,1007.323875,41.75,5.9725,"S","clear"
"shunyi_aq",2018-04-01 02:00:00,182,206,93,2,55,28,"2","4","1",2018,1,50,68,84,33,44,63,18,1006.812625,37.75,7.4975,"S","clear"
"shunyi_aq",2018-04-01 03:00:00,225,229,76,2.4,97,37,"3","4","1",2018,1,42,54,99,26,57,78,19,1006.155675,32.5,8.9075,"S","haze"
"shunyi_aq",2018-04-01 04:00:00,275,230.571428571429,79,3.2,147,48,"4","4","1",2018,1,52,59,102,39,75,83,23,1005.0986,34.5,10.885,"S","haze"
"shunyi_aq",2018-04-01 05:00:00,283,232.142857142857,64,3.4,214,48,"5","4","1",2018,1,41,54,101,39,63,100,24,1004.133375,29.5,13.205,"S","haze"
"shunyi_aq",2018-04-01 06:00:00,260,233.714285714286,52,2.4,249,35,"6","4","1",2018,1,37,49,108,44,64,110,25,1003.011575,25.25,15.5975,"S","haze"
"shunyi_aq",2018-04-01 07:00:00,254.5,235.285714285714,53.5,2.25,260.547445256716,28,"7","4","1",2018,1,43,52,117,41,87,109,25.5,1001.84605,22,17.17,"S","haze"
"shunyi_aq",2018-04-01 08:00:00,249,236.857142857143,55,2.1,258,21,"8","4","1",2018,1,42,50,137,54,92,107,26.5,1000.689675,20.5,18.06,"S","haze"
"shunyi_aq",2018-04-01 09:00:00,250,238.428571428572,55,1.9,251,21,"9","4","1",2018,1,44,65,147,55,97,99,26.25,1000.0751,19.5,17.5475,"S","haze"
"shunyi_aq",2018-04-01 10:00:00,249,240,61,1.9,228,20,"10","4","1",2018,1,46,75,148,56,103,89,25,999.872575,21.5,15.24,"S","haze"
"shunyi_aq",2018-04-01 11:00:00,262,241.571428571429,72,2,196,20,"11","4","1",2018,1,50,86,111,49.6666666666667,54.5,62,22,1000.250975,24.75,12.1175,"S","haze"
"shunyi_aq",2018-04-01 12:00:00,266,243.142857142857,68,1.9,163,18,"12","4","1",2018,1,52,90,101,43.3333333333333,6,41,20,1000.67355,27.5,9.2425,"S","haze"
"shunyi_aq",2018-04-01 13:00:00,270,244.714285714286,80,1.9,117,17,"13","4","1",2018,1,62,99,89,37,61,59,18,1001.0476,29.5,7.6925,"S","haze"
"shunyi_aq",2018-04-01 14:00:00,267,246.285714285714,74,1.8,82.3138575351968,17,"14","4","1",2018,1,68,101,39,59,81,47,16,1001.122175,30,6.95,"S","haze"
"shunyi_aq",2018-04-01 15:00:00,264,247.857142857143,68,1.7,60,17,"15","4","1",2018,1,87,141,7,65,93,36,18,1001.0878,30.75,6.5075,"S","haze"
"shunyi_aq",2018-04-01 16:00:00,268.5,249.428571428572,57,1.8,70.8699917897301,17.5,"16","4","1",2018,1,90,135,10,72,104,31,20,940,22,18,"NO","cloudy"
"shunyi_aq",2018-04-01 17:00:00,273,251,46,1.9,86,18,"17","4","1",2018,1,101,137,30,76,104,35,11.8,1000.464475,45.75,8.89,"E","haze"
"shunyi_aq",2018-04-01 18:00:00,256,252.571428571429,48,1.7,79,15,"18","4","1",2018,1,111,153,39,89,116,29,11.3,1000.165175,49.75,8.05,"E","haze"
"shunyi_aq",2018-04-01 19:00:00,257,254.142857142857,56,1.7,61,16,"19","4","1",2018,1,113,163,22,88,111,25,11.2,999.992575,52.25,7.125,"E","haze"
"shunyi_aq",2018-04-01 20:00:00,261,255.714285714286,60,1.8,49,15,"20","4","1",2018,1,111,148,22,94,113,16,11,1000.053875,55.25,6.415,"E","haze"
"shunyi_aq",2018-04-01 21:00:00,262,257.285714285714,65,2.1,36,14,"21","4","1",2018,1,108,123,16,91,114,8,11,999.961225,55.75,5.9,"NE","cloudy"
"shunyi_aq",2018-04-01 22:00:00,298,258.857142857143,67,2.3,26,13,"22","4","1",2018,1,95,114,4,90,119,4,9,1000.5601,60,5.7425,"NE","cloudy"
"shunyi_aq",2018-04-01 23:00:00,264,260.428571428571,68,2.5,21,11,"23","4","1",2018,1,94,104,10,88,116,4,9,1000.886825,58,5.4825,"NE","haze"
"shunyi_aq",2018-04-02 00:00:00,262,262,70,2.9,20.4202685723592,15.5,"0","4","2",2018,1,85,116,15,85,140,8,1.75,1001.09755,53.5,5.02,"NE","cloudy"
"shunyi_aq",2018-04-02 01:00:00,260,263.571428571429,72,3.3,24,20,"1","4","2",2018,1,116,173,22,81,128,24,15,1001.3526,48.5,5.1325,"E","haze"
"shunyi_aq",2018-04-02 02:00:00,261,265.142857142857,71,3.5,29,22,"2","4","2",2018,1,119,170,63,70,93,74,16.25,1001.361275,43,6.57,"SE","haze"
"shunyi_aq",2018-04-02 03:00:00,271,266.714285714286,69,3.5,42,25,"3","4","2",2018,1,123,140,91,76,87,90,19,1001.1149,38,8.67,"SE","haze"
"shunyi_aq",2018-04-02 04:00:00,285,268.285714285714,57,3.2,72,26,"4","4","2",2018,1,132,143,117,81,88,117,21,1000.7188,43.75,8.29,"SE","haze"
"shunyi_aq",2018-04-02 05:00:00,286,269.857142857143,50,2.8,103,22,"5","4","2",2018,1,143,148,145,81,98,133,22,1000.349725,39,8.8675,"SE","haze"
"shunyi_aq",2018-04-02 06:00:00,280,271.428571428571,45,2.5,136,20,"6","4","2",2018,1,157,152.714285714286,172,93,116,131,24,999.867475,34.5,8.9375,"SE","haze"
"shunyi_aq",2018-04-02 07:00:00,265,273,43,2.4,173,21,"7","4","2",2018,1,141,157.428571428571,179,104,143,142,24,999.503925,30.25,7.93,"SE","haze"
"shunyi_aq",2018-04-02 08:00:00,268,274.571428571428,44,2.4,181,22,"8","4","2",2018,1,144,162.142857142857,177,102,156,137,24,999.251325,28.75,6.4725,"SE","haze"
"shunyi_aq",2018-04-02 09:00:00,266,276.142857142857,45,2.4,185,21,"9","4","2",2018,1,144,166.857142857143,188,99,164,135,24,999.480025,30,4.7225,"SE","haze"
"shunyi_aq",2018-04-02 10:00:00,249,277.714285714286,42,2.3,191,20,"10","4","2",2018,1,145,171.571428571429,175,101,170,147,23,1000.70155,38,4.32,"E","haze"
"shunyi_aq",2018-04-02 11:00:00,249,279.285714285714,42,2.2,181,18,"11","4","2",2018,1,141,176.285714285714,141,100,168,125,22,1002.083975,43.5,7.445,"NE","haze"
