"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"tongzhou_aq",2018-03-31 07:00:00,105,146,38,0.7,138,16,"7","3","7",2018,1,17,135.875,107,45,174,98,24,1008.4222,18.25,8.9725,"S","cloudy"
"tongzhou_aq",2018-03-31 08:00:00,98,162,36,0.8,149,17,"8","3","7",2018,1,43,110.25,130,34,149,99,24,1007.4721,18,10.4925,"S","cloudy"
"tongzhou_aq",2018-03-31 09:00:00,107,180,38,0.8,158,16,"9","3","7",2018,1,56,84.625,150,32,147,99,24,1006.815925,19,10.695,"S","cloudy"
"tongzhou_aq",2018-03-31 10:00:00,119,203,46,0.9,157,16,"10","3","7",2018,1,41,59,141,29,240,79,24,1006.793975,21,11.44,"S","cloudy"
"tongzhou_aq",2018-03-31 11:00:00,133,218,56,0.9,140,18,"11","3","7",2018,1,38,53,118,35,255,46,24,1006.92075,24.25,8.4575,"SW","cloudy"
"tongzhou_aq",2018-03-31 12:00:00,148,239,84,1,91,17,"12","3","7",2018,1,40,60,98,31,180,41,24,1007.460425,28,4.4225,"S","cloudy"
"tongzhou_aq",2018-03-31 13:00:00,163,252,135,1.3,33,43,"13","3","7",2018,1,45,77,98,31,144,40,16,1007.966475,30.5,2.3875,"E","cloudy"
"tongzhou_aq",2018-03-31 14:00:00,173,317,157,1.3,9,18,"14","3","7",2018,1,49,77,93,30,114,33,15,1008.509575,33.5,2.8875,"E","cloudy"
"tongzhou_aq",2018-03-31 15:00:00,197,355,139,1.3,19,18,"15","3","7",2018,1,58,92,67,29,108,26,13,1008.933975,36.5,4.73,"E","clear"
"tongzhou_aq",2018-03-31 16:00:00,198.907175742992,317,141,1.3,12.5356376390248,16.5,"16","3","7",2018,1,69,111,48,27,99,15,12,1009.2754,40.5,7.665,"E","cloudy"
"tongzhou_aq",2018-03-31 17:00:00,202,279,143,1.3,7,15,"17","3","7",2018,1,72,109,29,28,98,4,11.2,1009.302125,45,7.72,"E","haze"
"tongzhou_aq",2018-03-31 18:00:00,211,344,156,1.3,2,14,"18","3","7",2018,1,72,111,13,25,105,2,10.9,1009.1837,49.25,7.36,"E","cloudy"
"tongzhou_aq",2018-03-31 19:00:00,213,367,141,1.4,2,11,"19","3","7",2018,1,75,112,2,29,95,2,10.2,1009.130025,53.25,6.92,"E","haze"
"tongzhou_aq",2018-03-31 20:00:00,216,319,111,1.5,2,8,"20","3","7",2018,1,74,123,2,28,84,2,10,1009.08285,56,6.4825,"E","haze"
"tongzhou_aq",2018-03-31 21:00:00,223,244,92,1.4,2,8,"21","3","7",2018,1,74,147,2,28,82,2,10,1009.0928,57.25,6.225,"E","haze"
"tongzhou_aq",2018-03-31 22:00:00,240,240.181818181818,77,1.9,14,17,"22","3","7",2018,1,79,136,2,31,79,13,8,1009.4468,58.75,6.38,"E","haze"
"tongzhou_aq",2018-03-31 23:00:00,253,236.363636363636,83,2.3,11,27,"23","3","7",2018,1,72,127,2,34,90,20,10,1009.7986,55.25,6.4825,"E","haze"
"tongzhou_aq",2018-04-01 00:00:00,257.710167354267,232.545454545455,82.6666666666667,3.13333333333333,25.3191548306718,47.3333333333333,"0","4","1",2018,1,65,114,6,41,83,28,12,1009.88865,50.25,6.425,"SE","haze"
"tongzhou_aq",2018-04-01 01:00:00,263.065713089258,228.727272727273,82.3333333333333,3.96666666666667,46.5767965647074,67.6666666666667,"1","4","1",2018,1,65,102,22,33,61,51,15,1009.728475,44.5,6.18,"SE","haze"
"tongzhou_aq",2018-04-01 02:00:00,268,224.909090909091,82,4.8,74,88,"2","4","1",2018,1,66,101,35,36,68,63,5.5,1009.23745,37.5,6.0225,"SE","haze"
"tongzhou_aq",2018-04-01 03:00:00,280,221.090909090909,72,4.2,109,76,"3","4","1",2018,1,58,80,54,39,72,73,20,1008.361775,31,6.88,"S","haze"
"tongzhou_aq",2018-04-01 04:00:00,272,217.272727272727,70,2.9,141,57,"4","4","1",2018,1,63,76,71,37,33,83,16,1007.41475,31.25,8.18,"S","haze"
"tongzhou_aq",2018-04-01 05:00:00,267,213.454545454545,46,2.1,202,37,"5","4","1",2018,1,58,78,92,35,6,88,20,1006.325025,26.25,11.9,"S","haze"
"tongzhou_aq",2018-04-01 06:00:00,264,209.636363636364,46,2.2,219,29,"6","4","1",2018,1,56,68,121,33,66,91,23,1005.22015,21.75,15.7975,"SW","haze"
"tongzhou_aq",2018-04-01 07:00:00,226.512315469883,205.818181818182,38,1.6,232.224029944246,22.5,"7","4","1",2018,1,54,76,143,42,83,94,26,1004.09225,18.75,18.7725,"SW","haze"
"tongzhou_aq",2018-04-01 08:00:00,192,202,30,1,236,16,"8","4","1",2018,1,51,73,175,48,84,94,28,1003.1123,17.25,20.4925,"SW","haze"
"tongzhou_aq",2018-04-01 09:00:00,151,211,25,0.9,234,14,"9","4","1",2018,1,60,84,187,50,99,98,27,1002.38675,17,20.39,"SW","haze"
"tongzhou_aq",2018-04-01 10:00:00,128,196,26,0.8,213,13,"10","4","1",2018,1,56,87,163,48,105,120,26,1002.35345,19.25,17.975,"SW","cloudy"
"tongzhou_aq",2018-04-01 11:00:00,124.829046428806,190,38,0.8,187.78860175786,13.5,"11","4","1",2018,1,44,85,133,58,107,111,23,1002.6682,22.75,14.63,"SW","cloudy"
"tongzhou_aq",2018-04-01 12:00:00,117,184,50,0.8,155,14,"12","4","1",2018,1,70,117,136,60,130,55,22,1003.139125,25.75,12.275,"SW","cloudy"
"tongzhou_aq",2018-04-01 13:00:00,150,256,109,1,96,23,"13","4","1",2018,1,91,141,149,67,128,45,18,1003.453375,27,11.7475,"SW","cloudy"
"tongzhou_aq",2018-04-01 14:00:00,177.809467583739,271.5,97.5,1.25,71.1957643267598,18,"14","4","1",2018,1,93,139,143,74,135,28,18,1003.583025,27.5,12.0725,"SW","cloudy"
"tongzhou_aq",2018-04-01 15:00:00,205,287,86,1.5,55,13,"15","4","1",2018,1,89,138,130,82,145,14,17,1003.5615,27.75,11.92,"S","clear"
"tongzhou_aq",2018-04-01 16:00:00,242.553373452051,282.545454545455,76.5,1.55,40.2745627618371,11.5,"16","4","1",2018,1,88,133,111,98,164,9,20,940,22,18,"NO","cloudy"
"tongzhou_aq",2018-04-01 17:00:00,283,278.090909090909,67,1.6,32,10,"17","4","1",2018,1,90,134,105,111,204,5,12.2,1002.643625,37,10.1675,"S","haze"
"tongzhou_aq",2018-04-01 18:00:00,276,273.636363636364,58,1.7,39,10,"18","4","1",2018,1,90,127,94,121,178,9,11.6,1002.37945,37.25,9.2375,"SE","haze"
"tongzhou_aq",2018-04-01 19:00:00,252,269.181818181818,43,1.4,54,9,"19","4","1",2018,1,100,117,71,117,151,10,11.8,1002.1624,38.5,8.3675,"SE","haze"
"tongzhou_aq",2018-04-01 20:00:00,259,264.727272727273,59,1.8,23,10,"20","4","1",2018,1,102,117,64,118,171,2,11.4,1002.02595,40.5,7.5675,"SE","haze"
"tongzhou_aq",2018-04-01 21:00:00,257,260.272727272727,61,2.3,16,12,"21","4","1",2018,1,103,122,51,120,157,2,11,1002.00795,42.75,6.845,"SE","cloudy"
"tongzhou_aq",2018-04-01 22:00:00,238,255.818181818182,68,2.4,6,12,"22","4","1",2018,1,101,122,22,126,176,2,11,1002.681975,52.75,6.7775,"E","cloudy"
"tongzhou_aq",2018-04-01 23:00:00,223,251.363636363636,69,2.6,7,14,"23","4","1",2018,1,107,154,2,121,170.5,6.51648460818005,11,1002.978,53.5,6.825,"E","cloudy"
"tongzhou_aq",2018-04-02 00:00:00,225.986000579152,246.909090909091,70,2.8,9.76293743852331,17.5,"0","4","2",2018,1,103,152,12,116,165,15,2,1003.267175,52,6.9725,"E","cloudy"
"tongzhou_aq",2018-04-02 01:00:00,227,242.454545454545,71,3,15,21,"1","4","2",2018,1,109,130,41,104,148,44,14,1003.475725,48,7.0225,"E","haze"
"tongzhou_aq",2018-04-02 02:00:00,236,238,71,3,19,23,"2","4","2",2018,1,121,142,56,106,145,39,15,1003.583125,42.5,6.86,"E","haze"
"tongzhou_aq",2018-04-02 03:00:00,244,261,67,3,27,25,"3","4","2",2018,1,122,133,85,105,143,59,19,1003.4822,36.75,6.3475,"SE","haze"
"tongzhou_aq",2018-04-02 04:00:00,247,264,66,2.9,35,26,"4","4","2",2018,1,132,145.5,101,110,137,84,23,1002.7616,40.75,4.21,"E","haze"
"tongzhou_aq",2018-04-02 05:00:00,261,269.5,52,2.4,71,30,"5","4","2",2018,1,137,158,134,103,152,99,23,1002.38965,34.25,3.1325,"SE","haze"
"tongzhou_aq",2018-04-02 06:00:00,262,275,45,2.3,116,31,"6","4","2",2018,1,145,150.5,150,104,137,119,24,1001.97665,28.75,3.0925,"SE","haze"
"tongzhou_aq",2018-04-02 07:00:00,261,280.5,47,2.1,158,30,"7","4","2",2018,1,142,143,179,105,146,138,24.25,1001.486825,24.5,2.92,"S","haze"
"tongzhou_aq",2018-04-02 08:00:00,248,286,53,2,185,26,"8","4","2",2018,1,139,140,186,98,162,149,24.75,1001.244775,22.25,3.055,"S","haze"
"tongzhou_aq",2018-04-02 09:00:00,272,291.5,52,2.1,194,22,"9","4","2",2018,1,140,142,198,107,180,158,24,1001.2733,23.5,3.185,"N","haze"
"tongzhou_aq",2018-04-02 10:00:00,285,297,62,2.6,162,20,"10","4","2",2018,1,137,145,184,119,203,157,23,1002.420875,30,6.6325,"NE","haze"
"tongzhou_aq",2018-04-02 11:00:00,294,312,75,2.7,135,19,"11","4","2",2018,1,143,159,152,133,218,140,21,1003.9315,36,14.89,"NE","haze"
"tongzhou_aq",2018-04-02 12:00:00,301,328,77,2.6,117,19,"12","4","2",2018,1,155,177,71,148,239,91,21,1005.941625,39,21.965,"E","haze"
"tongzhou_aq",2018-04-02 13:00:00,290,295,61,2.1,130,18,"13","4","2",2018,1,170,206,25,163,252,33,20,1008.43295,36.5,24.75,"E","haze"
"tongzhou_aq",2018-04-02 14:00:00,266,281,52,2.2,130,22,"14","4","2",2018,1,182,220,48,173,317,9,21,1010.865575,31,24.115,"E","haze"
"tongzhou_aq",2018-04-02 15:00:00,104,579,24,0.9,88,13,"15","4","2",2018,1,179,208,43,197,355,19,19,1012.9243,26.25,21.5875,"E","haze"
