"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"xizhimenbei_aq",2018-03-31 07:00:00,114,147,89,0.9,95,17,"7","3","7",2018,1,71,93,115,42,132,82,22,1004.147275,17.75,10.9275,"SE","cloudy"
"xizhimenbei_aq",2018-03-31 08:00:00,115,156,88,0.9,102,18,"8","3","7",2018,1,58,75.6666666666667,133,41,128,84,23,1003.068525,18,11.4225,"S","cloudy"
"xizhimenbei_aq",2018-03-31 09:00:00,111,162,83,0.9,115,17,"9","3","7",2018,1,43,58.3333333333333,107,45,122,81,23,1002.261625,19,10.85,"S","cloudy"
"xizhimenbei_aq",2018-03-31 10:00:00,117,170,105,1,91,17,"10","3","7",2018,1,30,41,88,40,149,70,24,1002.651875,21,10.3525,"S","cloudy"
"xizhimenbei_aq",2018-03-31 11:00:00,134,185,96,1,101,19,"11","3","7",2018,1,35,51,71,43,255,58,22,1002.870275,24,7.0025,"S","cloudy"
"xizhimenbei_aq",2018-03-31 12:00:00,151,192,125,1.2,56,18,"12","3","7",2018,1,45,64,55,38,158,45,20.5,1003.052275,26.75,3.06,"S","cloudy"
"xizhimenbei_aq",2018-03-31 13:00:00,161,192,145,1.4,24,17,"13","3","7",2018,1,52,73,50,29,68,56,17.25,1003.665125,28.25,1.0825,"NE","cloudy"
"xizhimenbei_aq",2018-03-31 14:00:00,177,209,167,1.8,2,15,"14","3","7",2018,1,57,81,39,25,86,46,14.75,1004.566925,29,2.695,"N","clear"
"xizhimenbei_aq",2018-03-31 15:00:00,183,229,165,2.2,2,17,"15","3","7",2018,1,58,76,52,25,56,47,13.75,1004.777725,29,4.4075,"N","clear"
"xizhimenbei_aq",2018-03-31 16:00:00,177,236.5,164.5,2.05,0.754353554612337,15.5,"16","3","7",2018,1,64,82,34,22,49,52,12.5,1004.76475,32.5,4.265,"NE","cloudy"
"xizhimenbei_aq",2018-03-31 17:00:00,171,244,164,1.9,2,14,"17","3","7",2018,1,67,98,9,27,52,38,12.35,1004.9316,34.5,4.25,"NE","cloudy"
"xizhimenbei_aq",2018-03-31 18:00:00,156,238,157,1.6,2,14,"18","3","7",2018,1,64,119,2,29,44,39,11.6,1004.98845,36.25,4.0625,"NE","clear"
"xizhimenbei_aq",2018-03-31 19:00:00,149,223,148,1.5,2,14,"19","3","7",2018,1,62,151,2,28,51,30,11.2,1005.2157,39,3.6975,"NE","clear"
"xizhimenbei_aq",2018-03-31 20:00:00,138,211,146,1.3,2,14,"20","3","7",2018,1,60,147,1.24752812052736,26,40,35,11,1004.917775,41,3.1925,"NE","clear"
