"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"yanqin_aq",2018-03-31 07:00:00,54,259,15,0.4,121,5,"7","3","7",2018,1,13,30,105,46,226,92,23,932.42835,16,14.675,"W","cloudy"
"yanqin_aq",2018-03-31 08:00:00,51,257,17,0.4,122,5,"8","3","7",2018,1,10,40,106,41,225,103,23,931.79595,15.25,14.1825,"SW","cloudy"
"yanqin_aq",2018-03-31 09:00:00,68,234,36,0.6,116,7,"9","3","7",2018,1,15,54,108,38,211,109,23,931.551925,15.75,12.245,"SW","cloudy"
"yanqin_aq",2018-03-31 10:00:00,84,204,61,0.8,100,9,"10","3","7",2018,1,21,58,104,35,210,111,22,931.821325,15.5,8.9675,"W","cloudy"
"yanqin_aq",2018-03-31 11:00:00,123,237,80,0.9,91,11,"11","3","7",2018,1,25,75,95,31,183,102,20,932.42495,18.5,3.9375,"W","cloudy"
"yanqin_aq",2018-03-31 12:00:00,106,208,94,1,67,10,"12","3","7",2018,1,28,83,87,29,161,98,17,933.171725,21.25,2.12,"NW","cloudy"
"yanqin_aq",2018-03-31 13:00:00,106,212,101,1,53,10,"13","3","7",2018,1,46,106,32,27,202,88,15,933.87655,22,3.27,"N","cloudy"
"yanqin_aq",2018-03-31 14:00:00,110,214,110,1,35,9,"14","3","7",2018,1,55,130,12,25,197,75,14,934.451175,22.25,4.545,"NW","cloudy"
"yanqin_aq",2018-03-31 15:00:00,121,307,118,1.1,12,8,"15","3","7",2018,1,111,149,14,26,158,62,12,934.831575,22,6.2475,"NW","clear"
"yanqin_aq",2018-03-31 16:00:00,117,247.5,105.5,1.15,8.7339664912585,7.5,"16","3","7",2018,1,109,154,13,23,117,61,8.5,934.583625,25,5.3025,"W","clear"
"yanqin_aq",2018-03-31 17:00:00,113,188,93,1.2,9,7,"17","3","7",2018,1,71,141,12,19,91,57,8.4,934.5108,24,5.7725,"W","clear"
"yanqin_aq",2018-03-31 18:00:00,110,153,81,1.2,7,4,"18","3","7",2018,1,92,100,7,19,77,52,8.3,934.33055,23.5,5.965,"NW","clear"
"yanqin_aq",2018-03-31 19:00:00,95,148,64,1,14,3,"19","3","7",2018,1,46,84,4,19,58,44,8,934.0948,23.5,6.0175,"NW","clear"
"yanqin_aq",2018-03-31 20:00:00,96,150,75,1.1,3,4,"20","3","7",2018,1,61,95,4,17,73,44,8,933.878175,23.5,5.9225,"NW","clear"
"yanqin_aq",2018-03-31 21:00:00,96,168,75,1,2,4,"21","3","7",2018,1,46,90,5,18,80,38,8,933.76095,23,5.6925,"NW","clear"
"yanqin_aq",2018-03-31 22:00:00,92,135,64,1,5,3,"22","3","7",2018,1,59,99,7,19,90,34,5,933.829225,22.25,4.7475,"NW","clear"
"yanqin_aq",2018-03-31 23:00:00,108,168,73,1.1,8,5,"23","3","7",2018,1,64,101,13,28,89,31,5,933.909975,20.5,4.2675,"W","clear"
"yanqin_aq",2018-04-01 00:00:00,101.666666666667,170.666666666667,77,1.06666666666667,7.90031117615254,7.66666666666667,"0","4","1",2018,1,158,177,30,39,104,35,9,933.877125,18.25,4.88,"W","clear"
"yanqin_aq",2018-04-01 01:00:00,95.3333333333333,173.333333333333,81,1.03333333333333,10.6978879142318,10.3333333333333,"1","4","1",2018,1,128.333333333333,231,24,30,91,56,13,933.613675,16,7.9225,"SW","clear"
"yanqin_aq",2018-04-01 02:00:00,89,176,85,1,18,13,"2","4","1",2018,1,98.6666666666667,148,30,20,72,64,9,933.13565,13.25,12.09,"SW","clear"
