"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"yizhuang_aq",2018-03-31 07:00:00,90,148,42,0.9,153,18,"7","3","7",2018,1,46,109.818181818182,129,31.1428571428571,147.6,95,22.75,1007.878375,18,9.16,"S","cloudy"
"yizhuang_aq",2018-03-31 08:00:00,93,150,41,0.8,161,15,"8","3","7",2018,1,49,89.3636363636364,145,30,183,94,23.25,1006.9471,18,10.9175,"S","cloudy"
"yizhuang_aq",2018-03-31 09:00:00,98,161,47,0.9,159,16,"9","3","7",2018,1,32,68.9090909090909,139,24,188,93,23.5,1006.32055,19,11.6225,"S","cloudy"
"yizhuang_aq",2018-03-31 10:00:00,108,200,60,0.9,149,18,"10","3","7",2018,1,33,48.4545454545455,121,28,261,54,24,1006.190025,21,13.4025,"SW","cloudy"
"yizhuang_aq",2018-03-31 11:00:00,118,187,68,1,135,17,"11","3","7",2018,1,23,28,92,27,212,39,22.25,1006.38905,24.25,10.95,"SW","cloudy"
"yizhuang_aq",2018-03-31 12:00:00,123,190,88,1.1,102,15,"12","3","7",2018,1,33,61,77,24,161,58,21,1006.8546,28,7.715,"SW","cloudy"
"yizhuang_aq",2018-03-31 13:00:00,130,209,143,1.3,39,13,"13","3","7",2018,1,43,90,52,21,120,56,17,1007.382175,30.25,4.1175,"SW","cloudy"
"yizhuang_aq",2018-03-31 14:00:00,134,201,152,1.5,22,11,"14","3","7",2018,1,47,91,52,18,101,49,15.25,1007.903675,32.5,1.1225,"NW","cloudy"
"yizhuang_aq",2018-03-31 15:00:00,137,192,166,1.6,5,9,"15","3","7",2018,1,55,85,76,17,109,37,14,1008.281825,35,3.08,"NE","clear"
"yizhuang_aq",2018-03-31 16:00:00,140.432418820071,205.5,172.5,1.7,1.00206845896651,7.195012288156,"16","3","7",2018,1,62,83,73,19,91,49,12.125,1008.6414,39.75,7.46,"E","cloudy"
"yizhuang_aq",2018-03-31 17:00:00,144,219,179,1.8,2,6,"17","3","7",2018,1,64,90,61,20,67,52,12.35,1008.639475,43.75,7.8475,"E","cloudy"
"yizhuang_aq",2018-03-31 18:00:00,144,235,179,1.8,2,7,"18","3","7",2018,1,70,101,32,23,62,40,11.85,1008.584325,48.75,7.745,"E","cloudy"
"yizhuang_aq",2018-03-31 19:00:00,158,251,187,1.9,2,9,"19","3","7",2018,1,74,118,13,20,61,23,11.35,1008.458125,52.75,7.335,"E","clear"
"yizhuang_aq",2018-03-31 20:00:00,181,291,181,1.7,2,8,"20","3","7",2018,1,79,115,2,30,87,2,11.25,1008.41815,55.75,7.035,"E","clear"
"yizhuang_aq",2018-03-31 21:00:00,190,253,118,1.6,2,4,"21","3","7",2018,1,74,114,2,29,95,2,10.5,1008.5088,57.5,6.8575,"E","clear"
"yizhuang_aq",2018-03-31 22:00:00,203,208,105,1.6,2,3,"22","3","7",2018,1,71,110,2,28,96,2,8.5,1008.8685,59,7.095,"E","clear"
"yizhuang_aq",2018-03-31 23:00:00,209,217.5,104,1.7,2,3,"23","3","7",2018,1,75,139,2,33,124,2,10,1009.17795,55.25,7.115,"E","clear"
"yizhuang_aq",2018-04-01 00:00:00,220.648513745454,227,99.3333333333333,2.06666666666667,16.9198565702371,13.2234634911071,"0","4","1",2018,1,69,129,3,31,131,10,12.75,1009.35235,50.5,6.9775,"E","haze"
"yizhuang_aq",2018-04-01 01:00:00,231.998182369749,236.5,94.6666666666667,2.43333333333333,38.8814806232085,25.6486244178847,"1","4","1",2018,1,63,101,12,26,82,34,15,1009.14275,43.75,6.14,"E","haze"
"yizhuang_aq",2018-04-01 02:00:00,244,246,90,2.8,67,38,"2","4","1",2018,1,47,76,43,25,59,61,5.25,1008.606975,36.5,5.7025,"SE","haze"
"yizhuang_aq",2018-04-01 03:00:00,244,246,83,2.9,106,51,"3","4","1",2018,1,52,81,47,27,64,73,20.25,1007.8037,29.5,6.885,"S","haze"
"yizhuang_aq",2018-04-01 04:00:00,254,263,97,2.7,132,48,"4","4","1",2018,1,53,62,61,29,59,85,20.75,1006.8193,30.5,8.115,"S","haze"
"yizhuang_aq",2018-04-01 05:00:00,250,256,64,2.5,195,40,"5","4","1",2018,1,54,56,102,29,55,90,22.5,1005.813325,25,12.65,"S","haze"
"yizhuang_aq",2018-04-01 06:00:00,234,226.333333333333,65,1.9,208,32,"6","4","1",2018,1,56,70,122,34,62,94,24,1004.627525,21,17.245,"SW","haze"
"yizhuang_aq",2018-04-01 07:00:00,188.462791519695,196.666666666667,48,1.45,225.147109394064,23.107387200429,"7","4","1",2018,1,54,61,159,36,73,101,24.75,1003.541125,18,20.7625,"SW","haze"
"yizhuang_aq",2018-04-01 08:00:00,145,167,31,1,232,15,"8","4","1",2018,1,44,60,174,38,85,123,27.5,1002.6449,16.75,22.6075,"SW","haze"
"yizhuang_aq",2018-04-01 09:00:00,92,148,28,0.8,214,11,"9","4","1",2018,1,59,83,174,39,109,135,27,1001.9771,16.25,22.1575,"SW","cloudy"
"yizhuang_aq",2018-04-01 10:00:00,98,165,34,0.8,202,12,"10","4","1",2018,1,36,54,139,51,102,132,26,1001.8888,19,19.27,"SW","cloudy"
"yizhuang_aq",2018-04-01 11:00:00,79,156,52,0.8,161,9,"11","4","1",2018,1,38,84,116,52,100,113,23.5,1002.24585,23,15.7325,"SW","cloudy"
"yizhuang_aq",2018-04-01 12:00:00,100,199,57,1,155,9,"12","4","1",2018,1,60,131,94,56,115,74,21.5,1002.63355,26,13.2175,"SW","cloudy"
"yizhuang_aq",2018-04-01 13:00:00,143,207,45,1.1,168,11,"13","4","1",2018,1,82,192,84,63,109,56,20,1002.9843,27,12.7675,"SW","cloudy"
"yizhuang_aq",2018-04-01 14:00:00,130.098013060047,183.5,67.5,1.05,130.388257199724,11.1592683419959,"14","4","1",2018,1,94,217,83,67,138,16,18.25,1003.114825,26.75,13.5225,"SW","cloudy"
"yizhuang_aq",2018-04-01 15:00:00,120,160,90,1,86,11,"15","4","1",2018,1,88,158,98,75,153,5,18.25,1003.051725,26.25,14.22,"SW","haze"
"yizhuang_aq",2018-04-01 16:00:00,115.080239104533,165.5,114,0.95,49.1454979632093,10.7763385878333,"16","4","1",2018,1,82,149,98,83,164,2,20,940,22,18,"NO","cloudy"
"yizhuang_aq",2018-04-01 17:00:00,109,171,138,0.9,19,10,"17","4","1",2018,1,95,167,94,86,148,2,12.55,1002.0861,32.5,11.5,"S","cloudy"
"yizhuang_aq",2018-04-01 18:00:00,118,187,134,1,13,7,"18","4","1",2018,1,90,152,79,95,154,2,12,1001.79595,32.5,10.36,"S","cloudy"
"yizhuang_aq",2018-04-01 19:00:00,126,186,122,1.2,14,5,"19","4","1",2018,1,91,115,74,106,158,2,11.95,1001.5619,33.5,9.075,"S","cloudy"
"yizhuang_aq",2018-04-01 20:00:00,215,251,109,1.9,2,3,"20","4","1",2018,1,91,124,67,107,165,2,11.675,1001.37755,35.25,7.6075,"S","cloudy"
"yizhuang_aq",2018-04-01 21:00:00,220,249,90,1.6,2,2,"21","4","1",2018,1,94,103,57,103,154,2,11.25,1001.359325,37.75,6.33,"SE","cloudy"
"yizhuang_aq",2018-04-01 22:00:00,223,247,85,2.1,2,3,"22","4","1",2018,1,96,111,50,103,161,2,10.75,1002.040825,48.5,5.4975,"E","cloudy"
"yizhuang_aq",2018-04-01 23:00:00,213,245,82,2.5,2,3,"23","4","1",2018,1,97,120,55,102,166,2,11,1002.3243,49.75,5.6275,"E","cloudy"
"yizhuang_aq",2018-04-02 00:00:00,206.68913318041,243,82,2.75,5.35780301383631,4.78226642474285,"0","4","2",2018,1,97,112,45,107,184,7,1.5,1002.5834,48.5,6.1475,"NE","cloudy"
"yizhuang_aq",2018-04-02 01:00:00,199,241,82,3,11,7,"1","4","2",2018,1,91,116,40,107,173,21,14.75,1002.9016,45.5,6.51,"E","haze"
"yizhuang_aq",2018-04-02 02:00:00,212,239,83,3,14,8,"2","4","2",2018,1,102,126,58,110,181,34,16,1002.93955,40.25,6.32,"E","haze"
"yizhuang_aq",2018-04-02 03:00:00,238,274,74,2.8,28,10,"3","4","2",2018,1,111,122,75,110,162,53,19,1002.849075,34.5,5.085,"E","haze"
"yizhuang_aq",2018-04-02 04:00:00,235,242,59,2.5,53,15,"4","4","2",2018,1,122,124,95,97,129,90,21.75,1002.183125,38.75,3.22,"E","haze"
"yizhuang_aq",2018-04-02 05:00:00,241,243,59,2.5,70,20,"5","4","2",2018,1,116,120,117,83,121,100,23.5,1001.82725,32.5,1.565,"E","haze"
"yizhuang_aq",2018-04-02 06:00:00,236,244,62,2.5,101,28,"6","4","2",2018,1,128,123.6,137,85,130,125,24.75,1001.394475,27.5,2.3425,"S","haze"
"yizhuang_aq",2018-04-02 07:00:00,234,245,62,2.3,136,28,"7","4","2",2018,1,123,127.2,166,90,148,153,24.25,1000.991175,23.25,3.17,"W","haze"
"yizhuang_aq",2018-04-02 08:00:00,230,246,59,2.1,168,24,"8","4","2",2018,1,121,130.8,177,93,150,161,25,1000.702125,21.25,4.415,"NW","haze"
"yizhuang_aq",2018-04-02 09:00:00,238,247,58,2.2,191,19,"9","4","2",2018,1,122,134.4,182,98,161,159,25,1000.6869,22.75,5.0175,"N","haze"
"yizhuang_aq",2018-04-02 10:00:00,239,261,69,2.3,181,15,"10","4","2",2018,1,131,138,168,108,200,149,23.5,1001.68585,28.5,8.1275,"N","haze"
"yizhuang_aq",2018-04-02 11:00:00,252,287,87,2.8,132,12,"11","4","2",2018,1,138,147,133,118,187,135,21.5,1003.099225,34.25,15.3725,"NE","haze"
"yizhuang_aq",2018-04-02 12:00:00,267,311,116,3,81,11,"12","4","2",2018,1,140,169,91,123,190,102,21.5,1005.154875,37,22.9625,"NE","haze"
"yizhuang_aq",2018-04-02 13:00:00,274,309,118,2.8,69,11,"13","4","2",2018,1,147,165,78,130,209,39,21.5,1007.629875,34.25,26.5625,"E","haze"
"yizhuang_aq",2018-04-02 14:00:00,255,284,88,2.5,95,12,"14","4","2",2018,1,140,172,53,134,201,22,20.75,1010.260075,28.75,27.535,"E","haze"
"yizhuang_aq",2018-04-02 15:00:00,218,388,55,3.1,98,21,"15","4","2",2018,1,136,163,36,137,192,5,19,1012.35005,24,26.585,"E","haze"
"yizhuang_aq",2018-04-02 16:00:00,66,391,24,0.8,73,14,"16","4","2",2018,1,123,142,58,136.98706540685,191.984405100467,-18.1615856313825,14,1012.362775,22.75,29.84,"E","cloudy"
"yizhuang_aq",2018-04-02 17:00:00,28,338,28,0.7,66,9,"17","4","2",2018,1,129,162,34,136.974130813699,191.968810200934,-41.3231712627649,15.725,1013.509075,21.5,25.5325,"E","haze"
"yizhuang_aq",2018-04-02 18:00:00,21,219,24,0.5,71,6,"18","4","2",2018,1,129,149,25,136.961196220549,191.953215301401,-64.4847568941474,15.65,1014.521675,21.25,21.385,"E","cloudy"
"yizhuang_aq",2018-04-02 19:00:00,17.7647178684561,195.5,22.5,0.45,68.2467199656825,4.62297533306921,"19","4","2",2018,1,128,143,32,136.948261627399,191.937620401868,-87.6463425255298,15.375,1015.301175,20.5,17.925,"E","cloudy"
"yizhuang_aq",2018-04-02 20:00:00,14,172,21,0.4,66,4,"20","4","2",2018,1,132,145,16,136.935327034249,191.922025502335,-110.807928156912,15.15,1016.137575,20.5,16.1,"E","cloudy"
