"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"yongdingmennei_aq",2018-03-31 07:00:00,100,134,69,0.9,129,21,"7","3","7",2018,1,59,97.3564951476361,82,39,125,65,22.5,1005.56335,18,10.3425,"SE","cloudy"
"yongdingmennei_aq",2018-03-31 08:00:00,107,149,64,0.9,146,21,"8","3","7",2018,1,64,83.7175809104368,92,40,137,62,23.5,1004.54445,18,11.3175,"S","cloudy"
"yongdingmennei_aq",2018-03-31 09:00:00,104,161,60,0.8,152,19,"9","3","7",2018,1,40,70.0786666732375,86,35,129,64,23.5,1004.038225,19,11.28,"S","cloudy"
"yongdingmennei_aq",2018-03-31 10:00:00,122,175,78,0.9,132,20,"10","3","7",2018,1,31,56.4397524360382,83,41,300,54,23,1004.1668,21.25,11.875,"S","cloudy"
"yongdingmennei_aq",2018-03-31 11:00:00,134,172,83,0.9,134,22,"11","3","7",2018,1,36,42,70,31,231,41,21,1004.1351,24.25,9.125,"S","cloudy"
"yongdingmennei_aq",2018-03-31 12:00:00,141,173,146,1.1,55,21,"12","3","7",2018,1,41,55,62,26,96,36,18.5,1004.415425,27,5.5675,"SW","cloudy"
"yongdingmennei_aq",2018-03-31 13:00:00,156,190,171,1.4,3,17,"13","3","7",2018,1,47,64,58,22,89,43,17.25,1004.83725,28.75,2.7175,"W","cloudy"
"yongdingmennei_aq",2018-03-31 14:00:00,162,218,180,1.9,2,14,"14","3","7",2018,1,55,70,51,25,86,32,14.75,1005.975225,30,2.5775,"N","cloudy"
"yongdingmennei_aq",2018-03-31 15:00:00,161,224,180,2.1,2,12,"15","3","7",2018,1,60,80,51,24,64,28,14,1006.101925,30,4.1775,"N","haze"
"yongdingmennei_aq",2018-03-31 16:00:00,157.5,199.5,163,1.95,0.759733614327079,10.5,"16","3","7",2018,1,65,87,41,18,53,32,12.5,1006.1822,33.5,5.1375,"NE","cloudy"
"yongdingmennei_aq",2018-03-31 17:00:00,154,175,146,1.8,2,9,"17","3","7",2018,1,70,96,18,22,54,21,12.15,1006.473275,36.75,5.555,"NE","haze"
"yongdingmennei_aq",2018-03-31 18:00:00,161,171,141,2,2,10,"18","3","7",2018,1,70,88.7137308486135,8.64409591176189,24,57,13,11.45,1006.331425,39,5.4375,"NE","haze"
"yongdingmennei_aq",2018-03-31 19:00:00,152,187,154,1.8,2,9,"19","3","7",2018,1,70,82,2,25,52,13,11.1,1006.366475,42.25,5.0625,"NE","clear"
"yongdingmennei_aq",2018-03-31 20:00:00,144,189,146,1.5,2,9,"20","3","7",2018,1,72,72,0.965593285126548,25,50,10,11.25,1006.41415,45.25,4.645,"NE","clear"
