"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"yongledian_aq",2018-03-31 07:00:00,106,172,52,1.2,170,16,"7","3","7",2018,1,54,177.363636363636,150,16,124,115,22.75,1009.0834,18,8.0875,"S","cloudy"
"yongledian_aq",2018-03-31 08:00:00,118,180,47,1.3,179,18,"8","3","7",2018,1,54,151.090909090909,163,24,136,116,23,1008.1288,18,10.0525,"S","cloudy"
"yongledian_aq",2018-03-31 09:00:00,122,193,50,1.4,185,21,"9","3","7",2018,1,52,124.818181818182,176,30,180,88,23.25,1007.5592,18.25,10.9075,"S","cloudy"
"yongledian_aq",2018-03-31 10:00:00,156,241,86,3.5,171,30,"10","3","7",2018,1,45,98.5454545454545,161,34,229,59,22.75,1007.391525,21,12.7075,"S","cloudy"
"yongledian_aq",2018-03-31 11:00:00,241,374,112,2.4,188,32,"11","3","7",2018,1,51,72.2727272727272,154,34,181,49,22.5,1007.582,24.5,10.2,"SW","cloudy"
"yongledian_aq",2018-03-31 12:00:00,286,378,92,2,181,29,"12","3","7",2018,1,41,46,145,3,160,36,21.5,1008.021025,28.25,7.07,"SW","cloudy"
"yongledian_aq",2018-03-31 13:00:00,257,314,78,1.9,158,20,"13","3","7",2018,1,50,49.5,140,30,140,34,16.5,1008.56455,31.5,4.3675,"S","cloudy"
"yongledian_aq",2018-03-31 14:00:00,253,333,203,1.9,36,17,"14","3","7",2018,1,47,53,133,19,94,16,15.5,1009.10095,35,3.46,"SE","cloudy"
"yongledian_aq",2018-03-31 15:00:00,273,352,210,2.1,4,12,"15","3","7",2018,1,63,57,127,22,84,8,13.75,1009.52345,39,4.6575,"E","cloudy"
"yongledian_aq",2018-03-31 16:00:00,268,333.5,193,2.05,0,8,"16","3","7",2018,1,60,61,124,29,86,2,13,1009.82045,43,8.54,"E","cloudy"
"yongledian_aq",2018-03-31 17:00:00,263,315,176,2,2,4,"17","3","7",2018,1,73,85,116,26,86,2,11.8,1009.878775,47.5,8.76,"E","cloudy"
"yongledian_aq",2018-03-31 18:00:00,262,327,178,2.1,2,5,"18","3","7",2018,1,89,102,101,28,98,2,11.575,1009.78675,51.75,8.39,"E","cloudy"
"yongledian_aq",2018-03-31 19:00:00,260,309,147,2.1,2,2,"19","3","7",2018,1,97,106,99,41,93,2,11.1,1009.6863,55.5,7.9725,"E","cloudy"
"yongledian_aq",2018-03-31 20:00:00,242,291,134,2,2,2,"20","3","7",2018,1,94,124,16,40,96,2,11.75,1009.63625,58.25,7.6125,"E","clear"
"yongledian_aq",2018-03-31 21:00:00,209,286.5,104,1.9,2,2,"21","3","7",2018,1,108,133,2,36,111,2,11,1009.71855,58.75,7.3925,"E","clear"
"yongledian_aq",2018-03-31 22:00:00,211,282,101,1.9,2,2,"22","3","7",2018,1,142,420,2,28,89,2,9,1010.0699,59,7.645,"E","clear"
"yongledian_aq",2018-03-31 23:00:00,225,277.5,97,2.2,4,3,"23","3","7",2018,1,178,572,2,29,81,2,10.25,1010.38505,54.75,7.6525,"E","clear"
"yongledian_aq",2018-04-01 00:00:00,232.666666666667,273,90.6666666666667,2.73333333333333,22.2353923870074,13.6666666666667,"0","4","1",2018,1,147,314,12,36,96,8,12,1010.587,48.75,7.4075,"E","clear"
"yongledian_aq",2018-04-01 01:00:00,240.333333333333,268.5,84.3333333333333,3.26666666666667,46.2643028408397,24.3333333333333,"1","4","1",2018,1,127,188,31,31,92,52,14.75,1010.3633,42.25,6.69,"SE","clear"
"yongledian_aq",2018-04-01 02:00:00,248,264,78,3.8,75,35,"2","4","1",2018,1,106,168,46,38,86,74,6,1009.80635,36,6.1625,"SE","haze"
"yongledian_aq",2018-04-01 03:00:00,253,259.5,74,3.5,109,37,"3","4","1",2018,1,104,110,174.183244376967,46,70,80,19.75,1008.98065,29.5,7.095,"S","haze"
"yongledian_aq",2018-04-01 04:00:00,252,255,70,2.9,142,32,"4","4","1",2018,1,82,106,288,41,77,91,19,1008.022375,30.25,8.7975,"S","haze"
"yongledian_aq",2018-04-01 05:00:00,266,250.5,73,2.5,185,33,"5","4","1",2018,1,87,102,173,41,71,97,22.5,1006.93755,25.5,12.635,"S","haze"
"yongledian_aq",2018-04-01 06:00:00,246,246,64,2.4,236,29,"6","4","1",2018,1,82,98.5,195,50,81,97,24,1005.8328,21.25,16.8575,"SW","haze"
"yongledian_aq",2018-04-01 07:00:00,196,223,44.5,1.85,257.552644638569,21,"7","4","1",2018,1,95,95,206,48,90,100,26.25,1004.76085,18.25,20.0775,"SW","haze"
"yongledian_aq",2018-04-01 08:00:00,146,200,25,1.3,267,13,"8","4","1",2018,1,64,91.5,196,42,96,108,28,1003.834225,17,21.66,"SW","cloudy"
"yongledian_aq",2018-04-01 09:00:00,122,168,23,1.2,252,11,"9","4","1",2018,1,60,88,183,42,97,116,27,1003.2398,17,21.3125,"SW","cloudy"
"yongledian_aq",2018-04-01 10:00:00,126,193,30,1.4,243,14,"10","4","1",2018,1,48,84.5,169,33,97,111,26,1003.135475,19.75,18.5575,"SW","cloudy"
"yongledian_aq",2018-04-01 11:00:00,164,249,49,1.6,217,16,"11","4","1",2018,1,54,81,164,41,121,82,23.5,1003.4544,23.5,15.19,"SW","cloudy"
