"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","tdPM2.5","tdPM10","tdO3","temperature","pressure","humidity","windSpeed","windDir","weather"
"yufa_aq",2018-03-31 07:00:00,121,183,53,0.8,141,17,"7","3","7",2018,1,41,196.6,139,26.75,126.75,107,24,1007.96715,18,8.78,"S","cloudy"
"yufa_aq",2018-03-31 08:00:00,146,204,45,0.9,164,19,"8","3","7",2018,1,38,163.2,140,26,118,106,24,1007.064375,18,10.05,"S","cloudy"
"yufa_aq",2018-03-31 09:00:00,142,193,41,0.9,176,18,"9","3","7",2018,1,28,129.8,137,25,130,98,24,1006.47545,19,10.3625,"S","cloudy"
"yufa_aq",2018-03-31 10:00:00,148,190,46,1,166,19,"10","3","7",2018,1,31,96.4,136,24.8,120.6,87,23,1006.38615,22,11.5475,"SW","cloudy"
"yufa_aq",2018-03-31 11:00:00,157,216,51,1,148,19,"11","3","7",2018,1,40,63,129,24.6,111.2,85,20.5,1006.5833,25.25,9.485,"SW","cloudy"
"yufa_aq",2018-03-31 12:00:00,167,226,50,1.1,135,19,"12","3","7",2018,1,43,80,118,24.4,101.8,75,18.5,1006.9791,28.25,7.64,"SW","cloudy"
"yufa_aq",2018-03-31 13:00:00,189,249,55,1.2,116,19,"13","3","7",2018,1,55,90,109,24.2,92.4,69,16,1007.4426,30.5,6.4025,"W","cloudy"
"yufa_aq",2018-03-31 14:00:00,218,255,55,1.4,87,13,"14","3","7",2018,1,62,94,99,24,83,69,14.5,1007.88085,31.75,5.2,"NW","haze"
"yufa_aq",2018-03-31 15:00:00,227,268,76,1.6,47,11,"15","3","7",2018,1,71,98,80,23,65,66,13.5,1008.229975,32.75,4.6425,"NW","clear"
"yufa_aq",2018-03-31 16:00:00,220.5,253.5,105.5,1.55,20.4497100229799,9.5,"16","3","7",2018,1,88,119,60,25,59,63,11.5,1008.463375,36.25,6.7475,"NE","cloudy"
"yufa_aq",2018-03-31 17:00:00,214,239,135,1.5,2,8,"17","3","7",2018,1,98,134,49,22,61,42,11.4,1008.482825,39.5,7.805,"NE","cloudy"
"yufa_aq",2018-03-31 18:00:00,212,238,120,1.5,2,7,"18","3","7",2018,1,106,148,52,29,66,7,11.15,1008.423375,43.25,8.1975,"NE","haze"
"yufa_aq",2018-03-31 19:00:00,218,240,153,1.4,2,9,"19","3","7",2018,1,110,140,52,34,72,2,11,1008.353725,47.75,8.2275,"NE","cloudy"
"yufa_aq",2018-03-31 20:00:00,217,233,142,1.4,2,5,"20","3","7",2018,1,115,146,28,34,79,2,11,1008.3441,52,8.105,"NE","clear"
"yufa_aq",2018-03-31 21:00:00,234,249,127,1.4,2,5,"21","3","7",2018,1,124,158,17,31,67,2,11,1008.464925,54,8,"NE","clear"
"yufa_aq",2018-03-31 22:00:00,227,244,110,1.4,2,3,"22","3","7",2018,1,119,142,15,36,59,2,9,1008.813075,55.5,8.31,"NE","clear"
"yufa_aq",2018-03-31 23:00:00,244,265,100,1.4,3,3,"23","3","7",2018,1,120,146,6,33,84,2,9,1009.10765,52.75,7.985,"NE","clear"
"yufa_aq",2018-04-01 00:00:00,259,279.666666666667,107.666666666667,1.5,3.73468852246048,9,"0","4","1",2018,1,140,200,10,44,100,6,13,1009.27475,48,7.0875,"E","clear"
"yufa_aq",2018-04-01 01:00:00,274,294.333333333333,115.333333333333,1.6,12.1605564753244,15,"1","4","1",2018,1,129,171,35,35,86,39,15.5,1009.139575,41.25,5.5275,"E","clear"
"yufa_aq",2018-04-01 02:00:00,289,309,123,1.7,33,21,"2","4","1",2018,1,101,132,53,25,62,81,5,1008.647775,34.25,4.7625,"SE","haze"
"yufa_aq",2018-04-01 03:00:00,292,289.666666666667,109,1.7,86,22,"3","4","1",2018,1,101,163,60,32,64,87,21,1007.8743,27.25,6.75,"S","haze"
"yufa_aq",2018-04-01 04:00:00,288,270.333333333333,90,1.6,139,21,"4","4","1",2018,1,81,102,113,41,75,88,20.5,1006.83795,28.5,7.72,"S","haze"
"yufa_aq",2018-04-01 05:00:00,288,251,64,1.6,208,24,"5","4","1",2018,1,79,90,158,53,79,93,22,1005.832375,24,12.5875,"SW","haze"
"yufa_aq",2018-04-01 06:00:00,241,231.666666666667,42,1.3,249,19,"6","4","1",2018,1,80,88,179,53,76,110,24.5,1004.75715,21,17.515,"SW","haze"
"yufa_aq",2018-04-01 07:00:00,187,212.333333333333,31.5,1.05,256.90491998013,15,"7","4","1",2018,1,98,140,209,54,79,128,26.5,1003.725025,18,21.0375,"SW","haze"
"yufa_aq",2018-04-01 08:00:00,133,193,21,0.8,248,11,"8","4","1",2018,1,83,101,180,58,93,131,27.5,1002.83005,16,22.6225,"SW","haze"
"yufa_aq",2018-04-01 09:00:00,104,161,20,0.7,214,8,"9","4","1",2018,1,54,61,162,56,97,120,27,1002.1711,16,21.99,"SW","clear"
"yufa_aq",2018-04-01 10:00:00,124,213,28,0.9,219,11,"10","4","1",2018,1,66,153,171,54,99,115,25,1002.059925,18.75,19.1725,"SW","cloudy"
"yufa_aq",2018-04-01 11:00:00,189,282,35,1.1,211,15,"11","4","1",2018,1,87,207,170,54,115,101,23,1002.397575,22.75,15.5475,"SW","cloudy"
"yufa_aq",2018-04-01 12:00:00,229,277,38,1.1,175,12,"12","4","1",2018,1,91,163,165,58,131,87,21,1002.7195,26,12.665,"SW","cloudy"
"yufa_aq",2018-04-01 13:00:00,161,216,35,0.9,155,11,"13","4","1",2018,1,89,155,151,80,134,74,18.5,1003.2062,27.25,11.715,"SW","cloudy"
"yufa_aq",2018-04-01 14:00:00,134.5,193,33.5,0.8,142.281291524649,25.5,"14","4","1",2018,1,94,145,134,85,132,46,17.5,1003.42385,27.25,12.36,"SW","cloudy"
"yufa_aq",2018-04-01 15:00:00,108,170,32,0.7,131,40,"15","4","1",2018,1,94,172,112,110,156,26,16.5,1003.361525,26.5,13.4425,"SW","clear"
"yufa_aq",2018-04-01 16:00:00,117.5,181.5,35,0.75,111.147706228777,26.5,"16","4","1",2018,1,95,158,106,115,158,6,20,940,22,18,"NO","cloudy"
"yufa_aq",2018-04-01 17:00:00,127,193,38,0.8,95,13,"17","4","1",2018,1,91,133,107,113,156,2,12.2,1002.18535,30.25,12.435,"SW","cloudy"
"yufa_aq",2018-04-01 18:00:00,156,236,29,1,112,12,"18","4","1",2018,1,93,128,87,119,215,2,11.6,1001.824575,30.25,11.5375,"SW","cloudy"
"yufa_aq",2018-04-01 19:00:00,177,212,33,1,106,11,"19","4","1",2018,1,98,118,71,111,228,2,11.1,1001.523425,31.5,10.2725,"SW","cloudy"
"yufa_aq",2018-04-01 20:00:00,192,199,45,1,47,8,"20","4","1",2018,1,100,115,66,113,193,2,11.05,1001.324075,33.25,8.77,"S","cloudy"
"yufa_aq",2018-04-01 21:00:00,146,147,101,0.8,2,6,"21","4","1",2018,1,90,108,77,100,191,2,11,1001.2643,35.75,7.0675,"S","cloudy"
"yufa_aq",2018-04-01 22:00:00,147,176,96,0.9,2,4,"22","4","1",2018,1,90,101,56,116,178,2,9.5,1001.8498,44.75,3.62,"SE","cloudy"
"yufa_aq",2018-04-01 23:00:00,166,221,84,1,2,2,"23","4","1",2018,1,97,120,46,116,168,2,10,1002.093375,45.5,2.8375,"E","cloudy"
"yufa_aq",2018-04-02 00:00:00,221,224.375,79,1.25,5.86332453255181,4.5,"0","4","2",2018,1,99,131,31,130,182,7,1,1002.459225,43.75,3.3575,"NE","cloudy"
"yufa_aq",2018-04-02 01:00:00,276,227.75,74,1.5,17,7,"1","4","2",2018,1,120,146,58,131,200,17,16,1002.7432,40,4.355,"NE","cloudy"
"yufa_aq",2018-04-02 02:00:00,286,231.125,69,1.7,37,10,"2","4","2",2018,1,140,178,69,132,196,33,18,1002.8956,35.75,4.6375,"E","cloudy"
"yufa_aq",2018-04-02 03:00:00,288,234.5,60,1.7,70,12,"3","4","2",2018,1,147,174,88,120,179,68,21,1002.811275,30.25,3.6375,"E","haze"
"yufa_aq",2018-04-02 04:00:00,276,237.875,55,1.7,101,12,"4","4","2",2018,1,144,174,109,102,131,109,23.5,1002.10715,33.5,1.97,"E","haze"
"yufa_aq",2018-04-02 05:00:00,266,241.25,52,1.6,130,12,"5","4","2",2018,1,132,146,135,106,120,118,25,1001.767325,28.75,1.4775,"SE","haze"
"yufa_aq",2018-04-02 06:00:00,263,244.625,48,1.4,175,15,"6","4","2",2018,1,135,151,172,110,141,131,26,1001.341025,24,2.695,"S","haze"
"yufa_aq",2018-04-02 07:00:00,246,248,40,1.4,212,16,"7","4","2",2018,1,145,156,182,121,183,141,27,1000.9194,21.25,2.7575,"NW","haze"
"yufa_aq",2018-04-02 08:00:00,260,281,49,1.6,196,13,"8","4","2",2018,1,155,178,182,146,204,164,27,1000.595725,20.25,4.6725,"N","haze"
"yufa_aq",2018-04-02 09:00:00,273,305,52,2,189,12,"9","4","2",2018,1,139,159,189,142,193,176,26,1000.491875,21.75,8.275,"N","haze"
"yufa_aq",2018-04-02 10:00:00,287,296,54,2,179,11,"10","4","2",2018,1,137,183,182,148,190,166,24.5,1001.208,25.5,10.5775,"N","haze"
"yufa_aq",2018-04-02 11:00:00,290,297,67,2.1,153,10,"11","4","2",2018,1,126,211,166,157,216,148,23,1002.436675,30.75,17.1025,"NE","haze"
"yufa_aq",2018-04-02 12:00:00,314,334,63,2.5,131,12,"12","4","2",2018,1,127,179,151,167,226,135,22.75,1004.396125,33.75,23.8325,"NE","haze"
"yufa_aq",2018-04-02 13:00:00,324,324,64,2.6,107,15,"13","4","2",2018,1,120,175,147,189,249,116,22.5,1006.988075,31.5,29.4525,"NE","haze"
"yufa_aq",2018-04-02 14:00:00,322,540.5,65,2.4,97,15,"14","4","2",2018,1,115,205,133,218,255,87,22,1009.731125,27.25,32.6725,"NE","haze"
"yufa_aq",2018-04-02 15:00:00,255,757,37,2,115,15,"15","4","2",2018,1,121,193,104,227,268,47,17.5,1012.073575,23,34.6575,"E","haze"
"yufa_aq",2018-04-02 16:00:00,165,503,30,1.6,83,15,"16","4","2",2018,1,116,188,98,226.994679387217,267.995046326031,13.6161317321063,17.5,1011.944475,25.5,34.11,"E","haze"
"yufa_aq",2018-04-02 17:00:00,133,381,39,1.6,55,18,"17","4","2",2018,1,117,180,92,226.989358774433,267.990092652062,-19.7677365357875,17.3,1013.30105,21.25,31.125,"E","haze"
"yufa_aq",2018-04-02 18:00:00,125,351,40,1.8,46,22,"18","4","2",2018,1,119,164,75,226.98403816165,267.985138978094,-53.1516048036812,16.8,1014.3629,18.25,27.2775,"E","haze"
"yufa_aq",2018-04-02 19:00:00,77.5,293.5,30,1.15,52.0512805281933,14,"19","4","2",2018,1,129,160,72,226.978717548866,267.980185304125,-86.535473071575,16.45,1015.20125,17.25,24.145,"E","cloudy"
"yufa_aq",2018-04-02 20:00:00,30,236,20,0.5,63,6,"20","4","2",2018,1,126,153,38,226.973396936083,267.975231630156,-119.919341339469,15.9,1015.975725,17.5,22.0025,"E","cloudy"
"yufa_aq",2018-04-02 21:00:00,23,220,18,0.4,70,4,"21","4","2",2018,1,145,186,35,226.968076323299,267.970277956187,-153.303209607362,15.5,1016.872975,18,20.895,"E","cloudy"
"yufa_aq",2018-04-02 22:00:00,22,172,16,0.3,77,3,"22","4","2",2018,1,140,186,4,226.962755710516,267.965324282219,-186.687077875256,13.5,1017.3546,21.5,23.175,"E","cloudy"
"yufa_aq",2018-04-02 23:00:00,18,131,15,0.3,77,2,"23","4","2",2018,1,155,188,15,226.957435097732,267.96037060825,-220.07094614315,14,1018.810775,22.75,23.1725,"NE","cloudy"
"yufa_aq",2018-04-03 00:00:00,14,132,19,0.3,73,2,"0","4","3",2018,1,164,200,21,226.952114484949,267.955416934281,-253.454814411044,13,1020.3387,23.75,23.5575,"NE","cloudy"
"yufa_aq",2018-04-03 01:00:00,16,131,17,0.3,77,2,"1","4","3",2018,1,176,272,39,226.946793872165,267.950463260312,-286.838682678937,13,1021.552,26,22.9075,"NE","cloudy"
"yufa_aq",2018-04-03 02:00:00,16,108,20,0.3,74,2,"2","4","3",2018,1,192,266,68,226.941473259382,267.945509586344,-320.222550946831,13,1022.445625,29.75,21.985,"NE","cloudy"
"yufa_aq",2018-04-03 03:00:00,14,100,19,0.3,73,3,"3","4","3",2018,1,208,259,87,226.936152646598,267.940555912375,-353.606419214725,12,1023.068575,34.75,21.3625,"NE","cloudy"
"yufa_aq",2018-04-03 04:00:00,11,127,19,0.3,72,4,"4","4","3",2018,1,218,261,127,226.930832033815,267.935602238406,-386.990287482619,12,1021.0436,24.5,21.0125,"NE","cloudy"
"yufa_aq",2018-04-03 05:00:00,13,114,16,0.3,73,4,"5","4","3",2018,1,196,238,154,226.925511421031,267.930648564437,-420.374155750512,12,1021.477375,28.5,21.9675,"NE","cloudy"
"yufa_aq",2018-04-03 06:00:00,10,153,13,0.2,81,2,"6","4","3",2018,1,179,207,187,226.920190808248,267.925694890468,-453.758024018406,13.5,1021.9873,34.25,23.2175,"NE","cloudy"
"yufa_aq",2018-04-03 07:00:00,13,301,14,0.2,75,2,"7","4","3",2018,1,173,106.5,178.495819663042,226.914870195464,267.9207412165,-487.1418922863,8.5,1022.475875,40.75,24.3175,"NE","cloudy"
"yufa_aq",2018-04-03 08:00:00,16,289,14,0.2,72.8297313599793,2,"8","4","3",2018,1,167,6,164,226.909549582681,267.915787542531,-520.525760554194,6,1022.92475,46.25,25.19,"NE","cloudy"
"yufa_aq",2018-04-03 09:00:00,12,144,17,0.2,70,2,"9","4","3",2018,1,161,160.5,184,226.904228969897,267.910833868562,-553.909628822087,6,1023.303075,52.75,24.105,"NE","rainy"
"yufa_aq",2018-04-03 10:00:00,10,42,18,0.2,66,2,"10","4","3",2018,1,226,315,179,226.898908357114,267.905880194593,-587.293497089981,5,1024.361775,65.75,23.1575,"NE","snowy"
"yufa_aq",2018-04-03 11:00:00,8,16,19,0.3,60,2,"11","4","3",2018,1,219,329,141,226.89358774433,267.900926520625,-620.677365357875,3.5,1024.93225,65.5,19.0275,"NE","snowy"
"yufa_aq",2018-04-03 12:00:00,13,17.25,20,0.3,54,2,"12","4","3",2018,1,201,325,108,226.888267131547,267.895972846656,-654.061233625768,3,1025.6222,65.25,15.8575,"E","snowy"
"yufa_aq",2018-04-03 13:00:00,16,18.5,16,0.3,53,2,"13","4","3",2018,1,223,335,98,226.882946518763,267.891019172687,-687.445101893662,3.5,1026.3862,66.25,13.5575,"E","cloudy"
"yufa_aq",2018-04-03 14:00:00,8,19.75,18,0.3,43,2,"14","4","3",2018,1,237,310,70,226.87762590598,267.886065498718,-720.828970161556,3,1027.10445,68.25,11.4725,"E","cloudy"
"yufa_aq",2018-04-03 15:00:00,12,21,18,0.3,41,2,"15","4","3",2018,1,271,375,51,108,170,131,3,1027.500575,70,9.145,"SE","cloudy"
"yufa_aq",2018-04-03 16:00:00,16,22.25,17,0.3,45,2,"16","4","3",2018,1,261,360,44,117.5,181.5,111.147706228777,3.75,1026.35945,73,7.5275,"E","cloudy"
"yufa_aq",2018-04-03 17:00:00,17,23.5,13,0.3,37,2,"17","4","3",2018,1,258,342,17,127,193,95,2.6,1026.163775,74.25,4.7675,"SE","cloudy"
"yufa_aq",2018-04-03 18:00:00,14,24.75,19,0.3,36,2,"18","4","3",2018,1,251,351,2,156,236,112,3,1025.984325,75.25,2.3825,"SE","cloudy"
"yufa_aq",2018-04-03 19:00:00,17,26,35,0.3,22,2,"19","4","3",2018,1,252,342,2,177,212,106,3.6,1025.810025,76.5,1.2975,"SW","cloudy"
"yufa_aq",2018-04-03 20:00:00,14,27.25,35,0.3,17,2,"20","4","3",2018,1,245,354,2,192,199,47,4.65,1025.718025,77.25,2.805,"W","clear"
"yufa_aq",2018-04-03 21:00:00,23,28.5,25,0.3,18,2,"21","4","3",2018,1,264,334,2,146,147,2,3.7,1025.7438,76.5,4.6825,"NW","clear"
"yufa_aq",2018-04-03 22:00:00,25,29.75,23,0.3,17,2,"22","4","3",2018,1,223,801,59,147,176,2,0,1026.299575,74.5,5.7975,"NW","clear"
"yufa_aq",2018-04-03 23:00:00,26,31,20,0.3,16,2,"23","4","3",2018,1,202,2605,67,166,221,2,1.5,1026.659575,68.75,6.5375,"N","clear"
"yufa_aq",2018-04-04 00:00:00,45,78,37,0.5,12,2,"0","4","4",2018,1,207,3000,56,221,224.375,5.86332453255181,5,1026.8878,59,7.06,"N","clear"
"yufa_aq",2018-04-04 01:00:00,21,74,28,0.4,39,2,"1","4","4",2018,1,183,2263,50,276,227.75,17,7,1026.767825,45.25,9.0375,"NE","clear"
"yufa_aq",2018-04-04 02:00:00,25,70,19,0.4,53,2,"2","4","4",2018,1,146,1602,52,286,231.125,37,8,1026.409475,29.75,13.0525,"E","cloudy"
"yufa_aq",2018-04-04 03:00:00,10,66,14,0.3,71,2,"3","4","4",2018,1,125,1917,75,288,234.5,70,8.5,1025.780925,16.5,15.8825,"E","cloudy"
"yufa_aq",2018-04-04 04:00:00,13,62,13,0.35,76.8808910368082,2.5,"4","4","4",2018,1,106,1553,80,276,237.875,101,9,1025.156475,8,13.52,"SE","cloudy"
"yufa_aq",2018-04-04 05:00:00,16,58,12,0.4,78,3,"5","4","4",2018,1,100,1373,82,266,241.25,130,8,1024.589275,8.25,8.1275,"SE","cloudy"
"yufa_aq",2018-04-04 06:00:00,17,54,14,0.4,76,3,"6","4","4",2018,1,93,1334,82,263,244.625,175,8,1024.153025,16,2.2675,"SE","rainy"
"yufa_aq",2018-04-04 07:00:00,12,50,16,0.5,72,3,"7","4","4",2018,1,77,1135,82,246,248,212,6,1023.93185,29.5,7.915,"N","rainy"
"yufa_aq",2018-04-04 08:00:00,18,57,17,0.5,63,2,"8","4","4",2018,1,65,768,83,260,281,196,2.5,1023.86115,45.5,16.995,"N","cloudy"
"yufa_aq",2018-04-04 09:00:00,16,30,17,0.5,58,2,"9","4","4",2018,1,49,554,78,273,305,189,2,1023.773275,60.75,21.41,"N","cloudy"
"yufa_aq",2018-04-04 10:00:00,26,27,20,0.5,52,2,"10","4","4",2018,1,40,457,77,287,296,179,2,1022.80085,32.5,15.71,"N","snowy"
"yufa_aq",2018-04-04 11:00:00,30.5,30.3636363636364,31,0.55,39.7067465076998,2,"11","4","4",2018,1,43,352,67,290,297,153,2,1022.85615,40.5,13.84,"NE","snowy"
"yufa_aq",2018-04-04 12:00:00,35,33.7272727272727,42,0.6,27,2,"12","4","4",2018,1,31,286,59,314,334,131,1.5,1023.073925,49.5,10.8975,"NE","snowy"
"yufa_aq",2018-04-04 13:00:00,33,37.0909090909091,43,0.6,19,2,"13","4","4",2018,1,35,243,40,324,324,107,0.5,1023.26445,59.75,7.6675,"E","snowy"
"yufa_aq",2018-04-04 14:00:00,36,40.4545454545455,53,0.7,7,2,"14","4","4",2018,1,39,245,39,322,540.5,97,0,1023.3931,68.75,4.7875,"E","snowy"
"yufa_aq",2018-04-04 15:00:00,37,43.8181818181818,53,0.7,2,2,"15","4","4",2018,1,29,161,61,255,757,115,0,1023.38035,75.25,3.4575,"S","snowy"
"yufa_aq",2018-04-04 16:00:00,31,47.1818181818182,43,0.7,10,2,"16","4","4",2018,1,32,195,29,165,503,83,0.9,1022.5271,96.25,8.8175,"SW","snowy"
"yufa_aq",2018-04-04 17:00:00,28,50.5454545454545,20,0.5,38,2,"17","4","4",2018,1,34,234,4,133,381,55,0.75,1021.7382,93.5,9.0825,"SW","cloudy"
"yufa_aq",2018-04-04 18:00:00,25,53.9090909090909,14,0.5,47,2,"18","4","4",2018,1,46,233,4,125,351,46,0.6,1020.92835,89.5,8.5125,"SW","cloudy"
